timeframe_min,arm,policy,stage,reason,n
15,v9_both,baseline,outcome,closed,6969
15,v9_both,baseline,outcome,censored_boundary,91
15,v9_both,baseline,serial,closed,5842
15,v9_both,baseline,serial,skipped_in_position,1147
15,v9_both,baseline,serial,censored_boundary,71
15,v9_both,baseline,reached,breakout_i,0
15,v9_both,baseline,reached,retest_i,0
15,v9_both,baseline,reached,confirmation_i,0
15,v9_both,wait3,outcome,closed,6643
15,v9_both,wait3,outcome,cancel_stop,319
15,v9_both,wait3,outcome,censored_boundary,87
15,v9_both,wait3,outcome,pending_boundary,9
15,v9_both,wait3,outcome,no_next_bar,2
15,v9_both,wait3,serial,closed,5710
15,v9_both,wait3,serial,skipped_in_position,950
15,v9_both,wait3,serial,cancel_stop,319
15,v9_both,wait3,serial,censored_boundary,70
15,v9_both,wait3,serial,pending_boundary,9
15,v9_both,wait3,serial,no_next_bar,2
15,v9_both,wait3,reached,breakout_i,0
15,v9_both,wait3,reached,retest_i,0
15,v9_both,wait3,reached,confirmation_i,6732
15,v9_both,retest,outcome,cancel_lost_level,3250
15,v9_both,retest,outcome,cancel_stop_touch,1702
15,v9_both,retest,outcome,expired,1218
15,v9_both,retest,outcome,closed,798
15,v9_both,retest,outcome,cancel_raw_opposite,51
15,v9_both,retest,outcome,pending_boundary,21
15,v9_both,retest,outcome,censored_boundary,20
15,v9_both,retest,serial,cancel_lost_level,3250
15,v9_both,retest,serial,cancel_stop_touch,1702
15,v9_both,retest,serial,expired,1218
15,v9_both,retest,serial,closed,776
15,v9_both,retest,serial,cancel_raw_opposite,51
15,v9_both,retest,serial,skipped_in_position,23
15,v9_both,retest,serial,pending_boundary,21
15,v9_both,retest,serial,censored_boundary,19
15,v9_both,retest,reached,breakout_i,4702
15,v9_both,retest,reached,retest_i,2011
15,v9_both,retest,reached,confirmation_i,818
15,joint,baseline,outcome,closed,2737
15,joint,baseline,outcome,censored_boundary,53
15,joint,baseline,serial,closed,2736
15,joint,baseline,serial,censored_boundary,53
15,joint,baseline,serial,skipped_in_position,1
15,joint,baseline,reached,breakout_i,0
15,joint,baseline,reached,retest_i,0
15,joint,baseline,reached,confirmation_i,0
15,joint,wait3,outcome,closed,2606
15,joint,wait3,outcome,cancel_stop,124
15,joint,wait3,outcome,censored_boundary,53
15,joint,wait3,outcome,pending_boundary,5
15,joint,wait3,outcome,no_next_bar,2
15,joint,wait3,serial,closed,2599
15,joint,wait3,serial,cancel_stop,124
15,joint,wait3,serial,censored_boundary,53
15,joint,wait3,serial,skipped_in_position,7
15,joint,wait3,serial,pending_boundary,5
15,joint,wait3,serial,no_next_bar,2
15,joint,wait3,reached,breakout_i,0
15,joint,wait3,reached,retest_i,0
15,joint,wait3,reached,confirmation_i,2661
15,joint,retest,outcome,cancel_lost_level,1304
15,joint,retest,outcome,cancel_stop_touch,703
15,joint,retest,outcome,expired,419
15,joint,retest,outcome,closed,328
15,joint,retest,outcome,cancel_raw_opposite,17
15,joint,retest,outcome,pending_boundary,10
15,joint,retest,outcome,censored_boundary,9
15,joint,retest,serial,cancel_lost_level,1304
15,joint,retest,serial,cancel_stop_touch,703
15,joint,retest,serial,expired,419
15,joint,retest,serial,closed,327
15,joint,retest,serial,cancel_raw_opposite,17
15,joint,retest,serial,pending_boundary,10
15,joint,retest,serial,censored_boundary,9
15,joint,retest,serial,skipped_in_position,1
15,joint,retest,reached,breakout_i,1885
15,joint,retest,reached,retest_i,802
15,joint,retest,reached,confirmation_i,337
60,v9_both,baseline,outcome,closed,1564
60,v9_both,baseline,outcome,censored_boundary,51
60,v9_both,baseline,serial,closed,1281
60,v9_both,baseline,serial,skipped_in_position,293
60,v9_both,baseline,serial,censored_boundary,41
60,v9_both,baseline,reached,breakout_i,0
60,v9_both,baseline,reached,retest_i,0
60,v9_both,baseline,reached,confirmation_i,0
60,v9_both,wait3,outcome,closed,1500
60,v9_both,wait3,outcome,cancel_stop,59
60,v9_both,wait3,outcome,censored_boundary,55
60,v9_both,wait3,outcome,delayed_risk_invalid,1
60,v9_both,wait3,serial,closed,1265
60,v9_both,wait3,serial,skipped_in_position,242
60,v9_both,wait3,serial,cancel_stop,59
60,v9_both,wait3,serial,censored_boundary,48
60,v9_both,wait3,serial,delayed_risk_invalid,1
60,v9_both,wait3,reached,breakout_i,0
60,v9_both,wait3,reached,retest_i,0
60,v9_both,wait3,reached,confirmation_i,1556
60,v9_both,retest,outcome,cancel_lost_level,727
60,v9_both,retest,outcome,expired,358
60,v9_both,retest,outcome,cancel_stop_touch,317
60,v9_both,retest,outcome,closed,190
60,v9_both,retest,outcome,censored_boundary,16
60,v9_both,retest,outcome,cancel_raw_opposite,6
60,v9_both,retest,outcome,pending_boundary,1
60,v9_both,retest,serial,cancel_lost_level,727
60,v9_both,retest,serial,expired,358
60,v9_both,retest,serial,cancel_stop_touch,317
60,v9_both,retest,serial,closed,183
60,v9_both,retest,serial,censored_boundary,16
60,v9_both,retest,serial,skipped_in_position,7
