timeframe_min,arm,policy,period,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,target_request_mean_bp,random_request_mean_bp,target_filled,random_filled,requests_before_unresolved_filter
15,v9_both,baseline,all,6925,10,-21.8658655643956,0.947265625,-42.37340540138087,-1.1054892233614304,0.0009765625,-25.346820372009283,-3.480954807613681,6925,6925,7060
15,v9_both,baseline,earlier,3260,5,-21.960271587315983,0.96875,-44.859452099328514,-2.89965598043108,0.03125,-3.7403030178492016,18.219968569466786,3260,3260,3276
15,v9_both,baseline,later,3643,5,-23.19799992275373,0.71875,-53.19652426931512,7.010114448058641,0.03125,-45.66537925912982,-22.467379336376094,3643,3643,3778
15,v9_both,baseline,cross_split,6,1,664.5385421806006,,,,,224.2712528006087,-440.267289379992,6,6,6
15,v9_both,wait3,all,6912,10,-12.279065740217467,0.8408203125,-29.898143897636743,6.578417815856198,0.0009765625,-14.744139685400555,-2.4650739451830885,6596,6298,7060
15,v9_both,wait3,earlier,3260,5,-20.087228903617106,0.90625,-49.25072907138711,2.7658179704901484,0.03125,0.5882034929879111,20.675432396605018,3121,2984,3275
15,v9_both,wait3,later,3630,5,-6.587899866161522,0.59375,-28.420888845709342,17.266774657975436,0.03125,-29.326854274839533,-22.738954408678005,3453,3292,3778
15,v9_both,wait3,cross_split,7,1,641.3409367774274,,,,,125.1096923065346,-516.2312444708928,7,7,7
15,v9_both,retest,all,6995,10,-3.9376520213849093,0.91015625,-9.515110104738788,0.9303536963704645,0.0009765625,1.425239887790397,5.362891909175305,796,937,7060
15,v9_both,retest,earlier,3274,5,-6.232706343440515,0.84375,-16.73708667399352,0.5230309014947132,0.03125,8.736254154931364,14.968960498371882,405,443,3280
15,v9_both,retest,later,3713,5,-3.026448426122,0.875,-7.1079771521391315,2.390702641052904,0.03125,-5.84078489958898,-2.8143364734669802,389,491,3778
15,v9_both,retest,cross_split,2,1,1866.397272954604,,,,,1526.9456220112074,-339.4516509433965,2,1,2
15,joint,baseline,all,2698,10,-10.056639703768443,0.7333984375,-37.218372508937925,17.584945992346604,0.0009765625,-3.8519005658334784,6.204739137934961,2698,2698,2790
15,joint,baseline,earlier,1318,5,5.24816260002988,0.40625,-19.956896006966048,31.682244003436512,0.03125,34.79081608697447,29.542653486944605,1318,1318,1323
15,joint,baseline,later,1373,5,-24.391679616838992,0.84375,-60.29454900235619,26.027761445931834,0.03125,-39.35956361042282,-14.967883993583824,1373,1373,1465
15,joint,baseline,cross_split,2,1,-402.2777560196655,,,,,-844.9910248539824,-442.71326883431703,2,2,2
15,joint,wait3,all,2693,10,-2.650163977710371,0.580078125,-28.376559265485607,24.33859922018789,0.0009765625,0.424032059157368,3.0741960368677366,2570,2480,2790
15,joint,wait3,earlier,1318,5,13.72776088972809,0.25,-11.79966815269269,42.46289173547628,0.03125,39.42112509793278,25.69336420820468,1278,1220,1323
15,joint,wait3,later,1368,5,-19.52455026791381,0.84375,-51.75513433793075,21.436461378183335,0.03125,-36.6223552929989,-17.097805025085083,1285,1253,1465
15,joint,wait3,cross_split,2,1,134.2197811295125,,,,,-597.4283191340625,-731.648100263575,2,2,2
15,joint,retest,all,2747,10,6.807080163819986,0.2275390625,-8.24588703662242,21.864133818527208,0.0009765625,6.7911798721438155,-0.015900291676170585,327,340,2790
15,joint,retest,earlier,1324,5,13.3345644737195,0.25,-18.67132659175116,43.92329841690764,0.03125,21.868120874205104,8.5335564004856,168,135,1325
15,joint,retest,later,1422,5,0.7342375856602563,0.40625,-8.147636512349301,6.791064157787769,0.03125,-7.241927516644511,-7.976165102304767,159,205,1465
15,joint,retest,cross_split,0,0,,,,,,,,0,0,0
60,v9_both,baseline,all,1551,10,-57.06457841883848,0.91796875,-117.87351878954232,13.161016528852954,0.0009765625,32.17568187898994,89.24026029782843,1551,1551,1615
60,v9_both,baseline,earlier,959,5,-9.611665345194945,0.59375,-83.17395128157185,83.67502081382244,0.03125,126.32599261871864,135.9376579639136,959,959,963
60,v9_both,baseline,later,579,5,-135.72528797316792,1.0,-172.94788919299,-68.0189235258942,0.03125,-129.78212602954983,5.943161943618092,579,579,643
60,v9_both,baseline,cross_split,9,2,-138.19970715589852,1.0,-187.867568038656,-131.99122454555385,0.25,453.33180289305096,591.5315100489495,9,9,9
