stop_policy,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp,all_halfyears_gross_positive,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided,ranking_events,score_auc_net_positive,top_decile_events,top_decile_mean_gross_bp,top_decile_mean_net_bp,top_decile_win_rate,ranking_permutation_p_one_sided,single_feature_top_decile_mean_net_bp,exit_target,exit_original_stop,exit_fee_cover_stop,exit_dynamic_profit_stop,exit_catastrophe_stop,exit_structure_next_open,exit_sma40_next_open,exit_timeout,changed_trades_vs_baseline,improved_trades_vs_baseline,worsened_trades_vs_baseline,mean_net_r
baseline_close_fee_cover_1p5r,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.4131579349231824,-0.41539069101989323,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,False,100,-0.45735336669693416,0.5292247077529225,100,0.4984984984984985,10,10.733356511930747,-9.266643488069253,0.5,0.34043297835108244,-29.684456219652862,24,61,12,0,0,0,0,3,0,0,0,-0.5175275993242435
wick_r_ladder,100,4.575335061612506,-15.4246649383875,-37.07311831123437,0.46,0.468450159695615,-0.43045501668199393,-0.43262196262798347,14,51,0,2,21,True,-17.283185003177554,-23.770180295797704,22,21,27,30,-23.770180295797704,-16.05106743600158,-13.607779568648144,-10.501335427388904,False,100,1.51307334990012,0.4018659813401866,100,0.5293880837359098,10,6.402284034258909,-13.597715965741092,0.6,0.43742812859357033,-17.785250557655882,14,51,0,33,0,0,0,2,24,14,10,-0.5511531685661835
close_r_ladder,100,3.8858310497231874,-16.11416895027682,-40.68424232561594,0.37,0.5281676486288095,-0.41324833745157596,-0.415480749594081,24,61,0,2,21,True,-18.905109112692237,-26.290192192845385,22,21,27,30,-26.290192192845385,-20.40496690658817,-10.705194238271407,-10.516270577113447,False,100,-0.971736138381453,0.5594244057559424,100,0.4984984984984985,10,10.733356511930747,-9.266643488069253,0.5,0.3396830158492075,-30.065108028500696,24,61,0,13,0,0,0,2,2,1,1,-0.5176828459849773
atr_chandelier_1p5,100,4.053740630694646,-15.946259369305361,-40.68424232561594,0.37,0.5330841399881826,-0.4166130431990326,-0.41883265365652156,22,61,0,2,21,True,-20.80751477598841,-25.730320486943913,22,21,27,30,-25.730320486943913,-24.343890997022026,-9.279498914311928,-8.893023486462836,False,100,-0.5974771252124728,0.5366246337536624,100,0.4984984984984985,10,12.601264961650038,-7.398735038349963,0.5,0.30353482325883707,-15.366242640754464,22,61,0,15,0,0,0,2,7,5,2,-0.5238587691121088
sma40_close_invalidation,100,1.8350250956562508,-18.164974904343758,-38.06026290876284,0.32,0.45198724672388046,-0.4403242907589461,-0.4424536871099478,21,45,10,0,21,True,-18.74912351687996,-28.171687074500987,22,21,27,30,-28.171687074500987,-15.817291603201447,-14.153694215977486,-16.08025024322437,False,100,-0.8060590264860605,0.5589144108558914,100,0.4921875,10,5.165735730337295,-14.834264269662704,0.4,0.4015299235038248,-50.34426277585012,21,45,10,0,0,0,24,0,24,19,5,-0.5665185822964779
soft_structure_reclaim_0p25atr,100,-0.3524575347763404,-20.352457534776345,-45.47959238235587,0.37,0.47025312453568446,-0.48666852445924536,-0.48666852445924536,24,0,12,3,21,True,-22.609304669850502,-31.82038116096922,22,21,27,30,-31.82038116096922,-22.351529857107042,-16.03630744733948,-14.427831328629923,False,100,-4.867891640767342,0.7607423925760742,100,0.4984984984984985,10,6.512293224847476,-13.487706775152525,0.5,0.34918254087295636,-32.787767277735675,24,0,12,0,46,15,0,3,61,9,52,-0.6487565751848795
