stop_policy,fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout
baseline_close_fee_cover_1p5r,2023H1,22,-6.333195228105785,-26.33319522810579,-42.60584919574982,0.2727272727272727,0.2858755992102658,-0.1626598116286776,-0.1658456371205198,5,16,1,0
baseline_close_fee_cover_1p5r,2023H2,21,-0.40496690658816825,-20.40496690658817,-42.41894688434165,0.3333333333333333,0.3987740515358607,-0.137253918862689,-0.15423866415185505,4,13,3,1
baseline_close_fee_cover_1p5r,2024H1,27,9.294805761728595,-10.705194238271407,-36.330003494065,0.4444444444444444,0.6326395107121608,-0.10582128853341644,-0.15577096660969503,7,15,5,0
baseline_close_fee_cover_1p5r,2024H2,30,9.610613359169166,-10.389386640830836,-40.89923937781568,0.4,0.7177988113773637,-0.09152709390360891,-0.16176886931238643,8,17,3,2
wick_r_ladder,2023H1,22,-3.7701802957976964,-23.770180295797704,-40.9815412138481,0.3181818181818182,0.3080970409486861,-0.14916077926691151,-0.15239796448328446,5,15,0,0
wick_r_ladder,2023H2,21,3.948932563998425,-16.05106743600158,-1.0928757898653885e-12,0.47619047619047616,0.3242917011701588,-0.11968692231420375,-0.14145710772020925,2,9,0,1
wick_r_ladder,2024H1,27,6.3922204313518565,-13.607779568648144,1.734723475976807e-14,0.5555555555555556,0.4302401533373794,-0.12980625062712714,-0.1553476533106627,3,12,0,0
wick_r_ladder,2024H2,30,9.498664572611096,-10.501335427388904,-38.58131834055199,0.4666666666666667,0.6856920733315262,-0.12616906248586313,-0.16411796028180559,4,15,0,1
close_r_ladder,2023H1,22,-6.2901921928453834,-26.290192192845385,-42.60584919574982,0.2727272727272727,0.28704178950815634,-0.16247071175119632,-0.1656572567107274,5,16,0,0
close_r_ladder,2023H2,21,-0.40496690658816825,-20.40496690658817,-42.41894688434165,0.3333333333333333,0.3987740515358607,-0.137253918862689,-0.15423866415185505,4,13,0,1
close_r_ladder,2024H1,27,9.294805761728595,-10.705194238271407,-36.330003494065,0.4444444444444444,0.6326395107121608,-0.10582128853341644,-0.15577096660969503,7,15,0,0
close_r_ladder,2024H2,30,9.483729422886556,-10.516270577113447,-40.89923937781568,0.4,0.7143523328821512,-0.09187212953587753,-0.16176886931238643,8,17,0,1
atr_chandelier_1p5,2023H1,22,-5.7303204869439055,-25.730320486943913,-42.60584919574982,0.2727272727272727,0.30222483292665075,-0.1600087536510285,-0.16320466561453761,5,16,0,0
atr_chandelier_1p5,2023H2,21,-4.343890997022021,-24.343890997022026,-42.41894688434165,0.3333333333333333,0.2827148889289994,-0.1534109324482138,-0.16202780582545984,3,13,0,1
atr_chandelier_1p5,2024H1,27,10.720501085688076,-9.279498914311928,-36.330003494065,0.4444444444444444,0.6815638104612245,-0.09599117530489498,-0.14841455766579015,7,15,0,0
atr_chandelier_1p5,2024H2,30,11.106976513537168,-8.893023486462836,-40.89923937781568,0.4,0.758443699797841,-0.09252090566892535,-0.1747786382598121,7,17,0,1
sma40_close_invalidation,2023H1,22,-8.17168707450098,-28.171687074500987,-40.9815412138481,0.22727272727272727,0.2109067615216146,-0.1759312452856573,-0.17906657699702067,4,13,1,0
sma40_close_invalidation,2023H2,21,4.182708396798557,-15.817291603201447,-32.89020452098999,0.3333333333333333,0.46110343841958445,-0.11023163237940903,-0.13543884216642843,4,7,3,0
sma40_close_invalidation,2024H1,27,5.846305784022516,-14.153694215977486,-36.02200612889959,0.37037037037037035,0.5310198771085739,-0.1408820357443894,-0.16725814722758126,6,13,4,0
sma40_close_invalidation,2024H2,30,3.919749756775633,-16.08025024322437,-39.64686280395311,0.3333333333333333,0.5606651603606188,-0.11152901761933187,-0.14812283833707163,7,12,2,0
soft_structure_reclaim_0p25atr,2023H1,22,-11.820381160969214,-31.82038116096922,-50.565227240639814,0.2727272727272727,0.24884587806135464,-0.19463677339138963,-0.19463677339138963,5,0,1,0
soft_structure_reclaim_0p25atr,2023H2,21,-2.3515298571070393,-22.351529857107042,-42.68241741396393,0.3333333333333333,0.3771430615293295,-0.1513297749727076,-0.16034461094680952,4,0,3,1
soft_structure_reclaim_0p25atr,2024H1,27,3.963692552660524,-16.03630744733948,-42.1520747219095,0.4444444444444444,0.534801347438107,-0.14390024620707997,-0.18703942155918962,7,0,5,0
soft_structure_reclaim_0p25atr,2024H2,30,5.572168671370077,-14.427831328629923,-48.540824885100456,0.4,0.6468438861919628,-0.122710844100818,-0.18549387202874323,8,0,3,2
