feature,standardized_logistic_coefficient,absolute_coefficient,analysis_status
confirmation_wick_share,0.9317429741543912,0.9317429741543912,descriptive_full_development_fit_not_rule_selection
confirmation_body_ratio,0.5562430042479861,0.5562430042479861,descriptive_full_development_fit_not_rule_selection
k1_close_location,-0.4400570572808656,0.4400570572808656,descriptive_full_development_fit_not_rule_selection
confirmation_atr_release_24,0.40569691821199594,0.40569691821199594,descriptive_full_development_fit_not_rule_selection
entry_gap_directional_atr,-0.3193995445393237,0.3193995445393237,descriptive_full_development_fit_not_rule_selection
confirmation_rejection_close_location,-0.285329772784768,0.285329772784768,descriptive_full_development_fit_not_rule_selection
fee_to_risk,0.2788907947098802,0.2788907947098802,descriptive_full_development_fit_not_rule_selection
touch_body_ratio,0.23504909259431755,0.23504909259431755,descriptive_full_development_fit_not_rule_selection
gap_bars,0.23136881917754348,0.23136881917754348,descriptive_full_development_fit_not_rule_selection
k1_range_atr,-0.1867101869340333,0.1867101869340333,descriptive_full_development_fit_not_rule_selection
directional_sma_slope_6_atr,-0.1751643204660617,0.1751643204660617,descriptive_full_development_fit_not_rule_selection
touch_depth_atr,-0.16866400240816695,0.16866400240816695,descriptive_full_development_fit_not_rule_selection
k1_sma40_cross_depth_atr,-0.15245899842867153,0.15245899842867153,descriptive_full_development_fit_not_rule_selection
touch_wick_share,-0.13084022537175513,0.13084022537175513,descriptive_full_development_fit_not_rule_selection
confirmation_volume_ratio_20,0.12465487862395541,0.12465487862395541,descriptive_full_development_fit_not_rule_selection
stop_distance_atr,-0.12233210584164436,0.12233210584164436,descriptive_full_development_fit_not_rule_selection
k1_body_ratio,0.11929261618696607,0.11929261618696607,descriptive_full_development_fit_not_rule_selection
confirmation_delay_bars,0.06556615671135982,0.06556615671135982,descriptive_full_development_fit_not_rule_selection
secondary_score,-0.006833345119177965,0.006833345119177965,descriptive_full_development_fit_not_rule_selection
touch_rejection_close_location,0.003507035240138781,0.003507035240138781,descriptive_full_development_fit_not_rule_selection
