failure_path,events,share,stop_policy,baseline_group_mean_net_bp,baseline_contribution_to_all_mean_bp,policy_group_mean_net_bp,policy_improvement_within_group_bp,policy_improvement_contribution_to_all_mean_bp
"wick >=1.5R, no close protection",11,0.11,baseline_close_fee_cover_1p5r,-52.335003319035565,-5.756850365093912,-52.335003319035565,0.0,0.0
"wick >=1.5R, no close protection",11,0.11,wick_r_ladder,-52.335003319035565,-5.756850365093912,-5.661970591093476,46.673032727942086,5.1340336000736295
"wick >=1.5R, no close protection",11,0.11,close_r_ladder,-52.335003319035565,-5.756850365093912,-52.335003319035565,0.0,0.0
"wick >=1.5R, no close protection",11,0.11,atr_chandelier_1p5,-52.335003319035565,-5.756850365093912,-52.335003319035565,0.0,0.0
"wick >=1.5R, no close protection",11,0.11,sma40_close_invalidation,-52.335003319035565,-5.756850365093912,-45.95155178120065,6.383451537834915,0.7021796691618398
"wick >=1.5R, no close protection",11,0.11,soft_structure_reclaim_0p25atr,-52.335003319035565,-5.756850365093912,-61.40830110474927,-9.073297785713706,-0.9980627564285084
3R target,24,0.24,baseline_close_fee_cover_1p5r,73.87188329296771,17.72925199031225,73.87188329296771,0.0,0.0
3R target,24,0.24,wick_r_ladder,73.87188329296771,17.72925199031225,51.88378409261139,-21.988099200356316,-5.2771438080855155
3R target,24,0.24,close_r_ladder,73.87188329296771,17.72925199031225,73.87188329296771,0.0,0.0
3R target,24,0.24,atr_chandelier_1p5,73.87188329296771,17.72925199031225,66.3298563322571,-7.542026960710615,-1.8100864705705488
3R target,24,0.24,sma40_close_invalidation,73.87188329296771,17.72925199031225,57.412575916231184,-16.459307376736525,-3.9502337704167667
3R target,24,0.24,soft_structure_reclaim_0p25atr,73.87188329296771,17.72925199031225,73.87188329296771,0.0,0.0
"SL after 0.5R, before 1.5R",20,0.2,baseline_close_fee_cover_1p5r,-53.86254346895168,-10.772508693790337,-53.86254346895168,0.0,0.0
"SL after 0.5R, before 1.5R",20,0.2,wick_r_ladder,-53.86254346895168,-10.772508693790337,-53.86254346895168,0.0,0.0
"SL after 0.5R, before 1.5R",20,0.2,close_r_ladder,-53.86254346895168,-10.772508693790337,-53.86254346895168,0.0,0.0
"SL after 0.5R, before 1.5R",20,0.2,atr_chandelier_1p5,-53.86254346895168,-10.772508693790337,-53.86254346895168,0.0,0.0
"SL after 0.5R, before 1.5R",20,0.2,sma40_close_invalidation,-53.86254346895168,-10.772508693790337,-50.80955009995162,3.052993369000056,0.6105986738000113
"SL after 0.5R, before 1.5R",20,0.2,soft_structure_reclaim_0p25atr,-53.86254346895168,-10.772508693790337,-62.0136252511954,-8.151081782243722,-1.6302163564487437
SL before 0.5R,30,0.3,baseline_close_fee_cover_1p5r,-54.13462796567157,-16.24038838970147,-54.13462796567157,0.0,0.0
SL before 0.5R,30,0.3,wick_r_ladder,-54.13462796567157,-16.24038838970147,-54.13462796567157,0.0,0.0
SL before 0.5R,30,0.3,close_r_ladder,-54.13462796567157,-16.24038838970147,-54.13462796567157,0.0,0.0
SL before 0.5R,30,0.3,atr_chandelier_1p5,-54.13462796567157,-16.24038838970147,-54.13462796567157,0.0,0.0
SL before 0.5R,30,0.3,sma40_close_invalidation,-54.13462796567157,-16.24038838970147,-51.59303773957552,2.541590226096048,0.7624770678288151
SL before 0.5R,30,0.3,soft_structure_reclaim_0p25atr,-54.13462796567157,-16.24038838970147,-59.59667458150413,-5.462046615832563,-1.6386139847497705
protected / dynamic stop,12,0.12,baseline_close_fee_cover_1p5r,1.734723475976807e-14,2.0816681711721685e-15,1.734723475976807e-14,0.0,0.0
protected / dynamic stop,12,0.12,wick_r_ladder,1.734723475976807e-14,2.0816681711721685e-15,2.8553129660399863,2.855312966039969,0.3426375559247963
protected / dynamic stop,12,0.12,close_r_ladder,1.734723475976807e-14,2.0816681711721685e-15,0.0788388979774205,0.07883889797740315,0.009460667757288377
protected / dynamic stop,12,0.12,atr_chandelier_1p5,1.734723475976807e-14,2.0816681711721685e-15,5.869675212471706,5.869675212471688,0.7043610254966026
protected / dynamic stop,12,0.12,sma40_close_invalidation,1.734723475976807e-14,2.0816681711721685e-15,-4.712047574193968,-4.712047574193986,-0.5654457089032783
protected / dynamic stop,12,0.12,soft_structure_reclaim_0p25atr,1.734723475976807e-14,2.0816681711721685e-15,1.734723475976807e-14,0.0,0.0
timeout,3,0.03,baseline_close_fee_cover_1p5r,-34.83563262919504,-1.0450689788758512,-34.83563262919504,0.0,0.0
timeout,3,0.03,wick_r_ladder,-34.83563262919504,-1.0450689788758512,-19.456560934231188,15.379071694963852,0.46137215084891553
timeout,3,0.03,close_r_ladder,-34.83563262919504,-1.0450689788758512,-36.10447199202114,-1.2688393628260997,-0.03806518088478317
timeout,3,0.03,atr_chandelier_1p5,-34.83563262919504,-1.0450689788758512,6.665384468068647,41.501017097263684,1.2450305129179104
timeout,3,0.03,sma40_close_invalidation,-34.83563262919504,-1.0450689788758512,-22.80184591803012,12.033786711164918,0.3610136013349474
timeout,3,0.03,soft_structure_reclaim_0p25atr,-34.83563262919504,-1.0450689788758512,-34.83563262919504,0.0,0.0
