model,test_events,early_failure_prevalence,roc_auc,brier_score,top_30pct_events,top_30pct_early_failure_rate,lift_vs_prevalence
logistic_l2,78,0.28205128205128205,0.411525974025974,0.3526194290568772,24,0.20833333333333334,0.7386363636363636
tree_depth2,78,0.28205128205128205,0.3956980519480519,0.34395898638116673,24,0.25,0.8863636363636364
training_prior_dummy,78,0.28205128205128205,0.5316558441558441,0.20541645028942485,24,0.3333333333333333,1.1818181818181817
