counterfactual,mean_net_bp,improvement_bp
observed baseline,-16.085564437149326,0.0
perfectly flatten SL before 0.5R,0.15482395255215167,16.24038838970148
perfectly flatten every baseline SL,16.6841830114364,32.769747448585726
