policy,scope,rows,wins,win_rate,sum_net_r,static_removed_negative_r,realized_ge10,stock_unknown
all_closed,source_with_daily,6170,1732,0.2807131280388979,838.178470318197,-838.178470318197,53,0
all_closed,30m_1h_4h,6116,1721,0.2813930673642904,854.6991098267195,-854.6991098267195,53,0
rv_gt50,source_with_daily,329,58,0.1762917933130699,-170.9373707384256,170.9373707384256,2,0
rv_gt50,30m_1h_4h,323,57,0.17647058823529413,-166.63714503327046,166.63714503327046,2,0
joint_rv_gt50_tratr_gt10,source_with_daily,153,23,0.1503267973856209,-90.89133675233934,90.89133675233934,1,0
joint_rv_gt50_tratr_gt10,30m_1h_4h,149,23,0.15436241610738255,-86.87758459477436,86.87758459477436,1,0
risk_gt30pct,source_with_daily,104,15,0.14423076923076922,-62.32444978307748,62.32444978307748,0,0
risk_gt30pct,30m_1h_4h,78,14,0.1794871794871795,-37.91783878039935,37.91783878039935,0,0
usdc_base,source_with_daily,16,0,0.0,-101.00552224191485,101.00552224191485,0,0
usdc_base,30m_1h_4h,16,0,0.0,-101.00552224191485,101.00552224191485,0,0
stock_linked_all,source_with_daily,224,62,0.2767857142857143,-66.34168748663265,66.34168748663265,0,0
stock_linked_all,30m_1h_4h,224,62,0.2767857142857143,-66.34168748663265,66.34168748663265,0,0
h00_utc,source_with_daily,319,89,0.27899686520376177,-31.695703642830495,31.695703642830495,3,0
h00_utc,30m_1h_4h,265,78,0.2943396226415094,-15.17506413430824,15.17506413430824,3,0
sunday_utc,source_with_daily,1147,235,0.2048823016564952,-413.98652778127905,413.98652778127905,6,0
sunday_utc,30m_1h_4h,1135,231,0.20352422907488987,-408.29054421349787,408.29054421349787,6,0
h00_asia_shanghai,source_with_daily,484,116,0.2396694214876033,-159.52965999931695,159.52965999931695,1,0
h00_asia_shanghai,30m_1h_4h,484,116,0.2396694214876033,-159.52965999931695,159.52965999931695,1,0
sunday_asia_shanghai,source_with_daily,952,227,0.23844537815126052,-270.68388843285965,270.68388843285965,4,0
sunday_asia_shanghai,30m_1h_4h,940,223,0.2372340425531915,-264.98790486507846,264.98790486507846,4,0
holding_lt4h_NONCAUSAL,source_with_daily,386,28,0.07253886010362694,-348.61915538252134,348.61915538252134,1,0
holding_lt4h_NONCAUSAL,30m_1h_4h,386,28,0.07253886010362694,-348.61915538252134,348.61915538252134,1,0
