venue,symbol,stock_class,size,sum
okx,GLW-USDT-SWAP,stock_linked,2,-2.11261937954432
okx,GME-USDT-SWAP,stock_linked,4,0.24667397055443963
okx,GOOGL-USDT-SWAP,stock_linked,5,0.3285473499927838
okx,HIMS-USDT-SWAP,stock_linked,6,5.371293833113528
okx,HOOD-USDT-SWAP,stock_linked,4,-1.496110053258519
okx,HPE-USDT-SWAP,stock_linked,3,-3.222151799632698
okx,IBM-USDT-SWAP,stock_linked,2,-0.4569892063492066
okx,INFQ-USDT-SWAP,stock_linked,2,0.5552730416645617
okx,INTC-USDT-SWAP,stock_linked,3,2.1278419193940974
okx,ISRG-USDT-SWAP,stock_linked,4,-0.44901299057484323
okx,IWM-USDT-SWAP,stock_linked,2,4.065920381507823
okx,JNJ-USDT-SWAP,stock_linked,1,2.0040273972602622
okx,KLAC-USDT-SWAP,stock_linked,2,-2.092846669102424
okx,KO-USDT-SWAP,stock_linked,2,-2.559432982456153
okx,LLY-USDT-SWAP,stock_linked,2,-0.23184694067158262
okx,META-USDT-SWAP,stock_linked,2,-2.351622834226547
okx,MINIMAX-USDT-SWAP,stock_linked,3,-3.1096655108389064
okx,MRVL-USDT-SWAP,stock_linked,3,-0.7936277532585374
okx,MSFT-USDT-SWAP,stock_linked,4,-4.3837615013899
okx,MSTR-USDT-SWAP,stock_linked,2,0.48525094442384664
okx,MU-USDT-SWAP,stock_linked,1,1.511155682903534
okx,NFLX-USDT-SWAP,stock_linked,6,-7.225612411768786
okx,NOK-USDT-SWAP,stock_linked,2,-1.5672768809016127
okx,NOW-USDT-SWAP,stock_linked,1,1.2867443037974666
okx,NVDA-USDT-SWAP,stock_linked,2,-2.1158023781473476
okx,ON-USDT-SWAP,stock_linked,5,-5.270226930516195
okx,ONDS-USDT-SWAP,stock_linked,3,-2.0784889173420247
okx,ORCL-USDT-SWAP,stock_linked,3,2.217252946410089
okx,OSCR-USDT-SWAP,stock_linked,1,-1.0249083333333338
okx,PLTR-USDT-SWAP,stock_linked,2,4.91402864867816
okx,POET-USDT-SWAP,stock_linked,1,-1.0544548104956264
okx,POPMART-USDT-SWAP,stock_linked,2,-2.289087044534422
okx,PURR-USDT-SWAP,stock_linked,1,0.8703265306122453
okx,QCOM-USDT-SWAP,stock_linked,4,-1.7815768413624666
okx,QQQ-USDT-SWAP,stock_linked,2,-0.36867880127510433
okx,RDDT-USDT-SWAP,stock_linked,1,-1.822759493670908
okx,RIVN-USDT-SWAP,stock_linked,3,-0.2967497899159661
okx,RKLB-USDT-SWAP,stock_linked,2,0.6340707754370212
okx,ROK-USDT-SWAP,stock_linked,1,-1.1524947735191655
okx,SHAZ-USDT-SWAP,stock_linked,1,3.306989648033129
okx,SHLD-USDT-SWAP,stock_linked,2,-2.1529863513180634
okx,SIMO-USDT-SWAP,stock_linked,2,-2.1448135986635997
okx,SKHY-USDT-SWAP,stock_linked,1,-1.0495447647951448
okx,SKHYNIX-USDT-SWAP,stock_linked,1,-1.063218425715008
okx,SMH-USDT-SWAP,stock_linked,1,-1.0706662515566632
okx,SOFTBANK-USDT-SWAP,stock_linked,1,-1.023212328767123
okx,SONY-USDT-SWAP,stock_linked,2,-2.3404836601307277
okx,SOXS-USDT-SWAP,stock_linked,1,-1.0395652173913044
okx,SPCX-USDT-SWAP,stock_linked,2,1.6012807925570791
okx,SPY-USDT-SWAP,stock_linked,2,0.6286646095102839
okx,SQQQ-USDT-SWAP,stock_linked,1,0.7046567164179182
okx,TER-USDT-SWAP,stock_linked,1,-1.1146226138032294
okx,TQQQ-USDT-SWAP,stock_linked,2,-0.1715699221444733
okx,TSEM-USDT-SWAP,stock_linked,1,-1.0421258851298187
okx,TSLA-USDT-SWAP,stock_linked,3,-1.2792803364178018
okx,TSM-USDT-SWAP,stock_linked,3,1.7687661225270461
