pair_id,winner_event_key,control_event_key,eligible_count
P0001,binance_240m_154d70e98a3638a0:5153:1,,0
P0002,binance_240m_1f9883b64d622516:1153:1,,0
P0003,binance_240m_202c113ee7c2739a:2638:1,,0
P0004,binance_240m_28f201470eba54b4:4079:1,binance_240m_28f201470eba54b4:4502:1,2
P0005,binance_240m_4cd0a68b30b5fe39:2605:1,,0
P0006,binance_240m_54e497d887e50e50:3054:1,,0
P0007,binance_240m_564c70d633a34056:5758:1,binance_240m_564c70d633a34056:6187:1,1
P0008,binance_240m_6c7fb254f200c7dc:1139:1,,0
P0009,binance_240m_6fe148c017edb3ea:2605:1,,0
P0010,binance_240m_7fe68b1c338ef8b9:6510:1,,0
P0011,binance_240m_85f117057f0cb245:6504:1,,0
P0012,binance_240m_9221ed9b6d2b00f6:2265:1,,0
P0013,binance_240m_9f360d5da09b3f0f:848:1,,0
P0014,binance_240m_ab188c930cd2584e:1149:1,,0
P0015,binance_240m_beb8267322ddef20:1512:1,binance_240m_beb8267322ddef20:1180:1,1
P0016,binance_240m_c910184a083ccd35:2605:1,,0
P0017,binance_240m_d81a4dafc078a820:2605:1,,0
P0018,binance_240m_d81a4dafc078a820:2621:1,,0
P0019,binance_240m_daf5eaf8f01a2cbf:1189:1,,0
P0020,binance_240m_f3bd857c5448c141:2605:1,,0
P0021,binance_240m_f519afbd1fb3d3b5:2605:1,,0
P0022,binance_30m_01c998d3f7929cd5:10329:1,binance_30m_01c998d3f7929cd5:12138:1,2
P0023,binance_30m_03286464f6bac3f3:16536:1,binance_30m_03286464f6bac3f3:16336:1,1
P0024,binance_30m_06e11a180bb76f64:13637:1,binance_30m_06e11a180bb76f64:14473:1,3
P0025,binance_30m_08e7c7fcbf25e590:21970:1,binance_30m_08e7c7fcbf25e590:21872:1,2
P0026,binance_30m_0db03baa0236334e:16039:1,binance_30m_0db03baa0236334e:14339:1,7
P0027,binance_30m_0de60721a7664b2f:981:1,binance_30m_0de60721a7664b2f:3882:1,3
P0028,binance_30m_0f1035d8987b9127:50996:1,binance_30m_0f1035d8987b9127:52868:1,3
P0029,binance_30m_0f1035d8987b9127:51010:1,binance_30m_0f1035d8987b9127:52784:1,4
P0030,binance_30m_118aa1c6d1bb278a:5258:1,binance_30m_118aa1c6d1bb278a:5850:1,1
P0031,binance_30m_15ad45b508699c2e:52111:1,binance_30m_15ad45b508699c2e:50785:1,1
P0032,binance_30m_17576fd0c03f21bd:8612:1,binance_30m_17576fd0c03f21bd:9591:1,7
P0033,binance_30m_18a033ee291c479c:29617:1,binance_30m_18a033ee291c479c:29198:1,1
P0034,binance_30m_191460eb6e155a43:8012:1,binance_30m_191460eb6e155a43:7768:1,5
P0035,binance_30m_19d25bae53a81654:10869:1,binance_30m_19d25bae53a81654:10104:1,6
P0036,binance_30m_1de78107a9012917:46470:1,binance_30m_1de78107a9012917:47137:1,4
P0037,binance_30m_20328c4054849e23:11217:1,binance_30m_20328c4054849e23:12152:1,3
P0038,binance_30m_22a8979e2c29faeb:47006:1,binance_30m_22a8979e2c29faeb:47799:1,5
P0039,binance_30m_236ddea7f7921940:51420:1,binance_30m_236ddea7f7921940:50975:1,1
P0040,binance_30m_29119272de7aac8c:4638:1,binance_30m_29119272de7aac8c:4127:1,1
P0041,binance_30m_2af09605ecc52ffd:32327:1,binance_30m_2af09605ecc52ffd:33636:1,3
P0042,binance_30m_2e167c2a6a2cd24d:11491:1,,0
P0043,binance_30m_2f9ade18c2b746f7:7115:1,binance_30m_2f9ade18c2b746f7:3720:1,6
P0044,binance_30m_2f9ade18c2b746f7:7117:1,binance_30m_2f9ade18c2b746f7:4956:1,5
P0045,binance_30m_335e840deb5aaa02:22111:1,binance_30m_335e840deb5aaa02:23303:1,2
P0046,binance_30m_3379473ab6a97d7b:8707:1,binance_30m_3379473ab6a97d7b:10125:1,3
P0047,binance_30m_34f8c7bf56fa61ee:28528:1,binance_30m_34f8c7bf56fa61ee:28465:1,5
