class_id,class_name,confidence,confirmation_bars,core_end_i,core_end_local,core_end_time,core_high,core_length_bars,core_low,core_start_i,core_start_local,core_start_time,daily_return,day,input_height,input_n_bars,input_pixel_sha256,input_width,inst_id,prediction_cx_norm,prediction_cy_norm,prediction_h_norm,prediction_w_norm,rank,symbol,window_end_i,window_end_time,window_len,window_start_i,event_order,global_x0_bar,global_x1_bar,context_start_i,raw_x0_px,raw_x1_px,raw_y0_px,raw_y1_px,episode_id,direction,aligned_daily_direction,predicted_width_bars,box_to_detection_gap_bars,box_left_minus_core_start_bars,box_right_minus_core_end_bars,naive_fullchart_center_bar,correct_box_center_bar,naive_projection_error_bars
0,dense_long,0.719118058681488,4,600,13,2026-08-27T06:00:00+00:00,0.14727,4,0.14374,597,10,2026-08-27T05:15:00+00:00,0.1541072640868976,2026-08-27T00:00:00+00:00,742,18,e96ec95ad11729e7f7f65ca6405a719402db924794e1056fb41648739994d125,1280,ENA-USDT-SWAP,0.6726515889167786,0.7191009521484375,0.3779454827308655,0.2132255584001541,1,ENA_USDT_SWAP,604,2026-08-27T07:00:00+00:00,18,587,1,596.6504777070064,600.3320063694267,568,725,997,393,674,20260827_ENA_01,LONG,True,3.6815286624203054,3.667993630573278,-0.3495222929935835,0.3320063694267219,641.3190231919289,598.4912420382166,42.827781153712294
0,dense_long,0.8293713927268982,4,607,14,2026-08-27T07:45:00+00:00,0.15268,4,0.14978,604,11,2026-08-27T07:00:00+00:00,0.1541072640868976,2026-08-27T00:00:00+00:00,742,19,1614ac281c64845bdd59e19b6647cf4460cabfcfdbe7d94e32c684e24820e666,1280,ENA-USDT-SWAP,0.6900516748428345,0.5982112884521484,0.5946305394172668,0.2009429931640625,1,ENA_USDT_SWAP,611,2026-08-27T08:45:00+00:00,19,593,2,603.6480891719746,607.3312101910828,568,755,1012,223,664,20260827_ENA_01,LONG,True,3.6831210191082846,3.668789808917154,-0.3519108280254386,0.331210191082846,643.215632557869,605.4896496815287,37.725982876340254
0,dense_long,0.958868682384491,4,637,13,2026-08-27T15:15:00+00:00,0.15756,4,0.1502,634,10,2026-08-27T14:30:00+00:00,0.1541072640868976,2026-08-27T00:00:00+00:00,742,18,a9916b50c7be8e6509bfba6e5f7b361f71d001011e5b308ed2d6001e63f01a0d,1280,ENA-USDT-SWAP,0.6729581356048584,0.6948432326316833,0.4674810767173767,0.2133766263723373,1,ENA_USDT_SWAP,641,2026-08-27T16:15:00+00:00,18,624,3,633.6504777070064,637.3455414012739,568,725,998,342,689,20260827_ENA_02,LONG,True,3.6950636942674464,3.654458598726137,-0.3495222929935835,0.3455414012738629,641.3524367809296,635.4980095541401,5.854427226789426
0,dense_long,0.8977793455123901,4,607,13,2026-08-27T07:45:00+00:00,0.00829,4,0.008224,604,10,2026-08-27T07:00:00+00:00,0.1139945491171938,2026-08-27T00:00:00+00:00,742,18,b44b1f582d968499445159ad72739cad5ac5b6c4c1a2b2ca38e53af9dc4206a5,1280,MOVE-USDT-SWAP,0.672243058681488,0.7205213904380798,0.1258048117160797,0.2126116752624511,3,MOVE_USDT_SWAP,611,2026-08-27T08:45:00+00:00,18,594,4,603.6369426751593,607.3320063694267,568,724,997,488,581,20260827_MOVE_01,LONG,True,3.6950636942674464,3.667993630573278,-0.3630573248407245,0.3320063694267219,641.2744933962822,605.484474522293,35.7900188739892
0,dense_long,0.9701217412948608,4,618,13,2026-08-27T10:30:00+00:00,0.008655,4,0.008422,615,10,2026-08-27T09:45:00+00:00,0.1139945491171938,2026-08-27T00:00:00+00:00,742,18,10be838c4004944f7c359f21eb7f5b60a628092f3713c25e6d8612b93f682a1e,1280,MOVE-USDT-SWAP,0.6722425222396851,0.6203439831733704,0.4618516862392425,0.2143096923828125,3,MOVE_USDT_SWAP,622,2026-08-27T11:30:00+00:00,18,605,5,614.6234076433121,618.3455414012739,568,723,998,289,632,20260827_MOVE_01,LONG,True,3.7221337579617284,3.654458598726137,-0.3765923566878655,0.3455414012738629,641.2744349241257,616.484474522293,24.789960401832673
0,dense_long,0.7751464247703552,5,643,18,2026-08-27T16:45:00+00:00,0.009099,5,0.008854,639,14,2026-08-27T15:45:00+00:00,0.1139945491171938,2026-08-27T00:00:00+00:00,742,24,825e80bce46112593170c9d3d989fb87dc3917af12706281f92a3c478851d5da,1280,MOVE-USDT-SWAP,0.6914993524551392,0.4390488564968109,0.2793906331062317,0.1997202485799789,3,MOVE_USDT_SWAP,648,2026-08-27T18:00:00+00:00,24,625,6,638.6425159235669,643.3304140127389,568,757,1013,222,429,20260827_MOVE_02,LONG,True,4.687898089171995,4.669585987261144,-0.3574840764331384,0.3304140127388564,643.3734294176102,640.9864649681529,2.3869644494573095
0,dense_long,0.9151792526245116,4,610,16,2026-08-27T08:30:00+00:00,0.02496,5,0.02451,606,12,2026-08-27T07:30:00+00:00,0.105350476980506,2026-08-27T00:00:00+00:00,742,21,15b560dc94fb3da67ea1b2ccdde768f3546d4f82b5c750f7f49c1ff833a96fa5,1280,HUMA-USDT-SWAP,0.6953319907188416,0.4310665130615234,0.32848060131073,0.2309397757053375,4,HUMA_USDT_SWAP,614,2026-08-27T09:30:00+00:00,21,594,7,605.624203821656,610.3375796178344,568,742,1038,198,442,20260827_HUMA_01,LONG,True,4.713375796178411,3.6624203821655783,-0.3757961783439896,0.3375796178344217,643.7911869883537,607.9808917197452,35.81029526860857
1,dense_short,0.3238845467567444,5,623,18,2026-08-27T11:45:00+00:00,0.02615,5,0.02561,619,14,2026-08-27T10:45:00+00:00,0.105350476980506,2026-08-27T00:00:00+00:00,742,24,e417cd0c3c503ed4792edfd37a320d6a6527a11623a649eb5a2d39702c1acc04,1280,HUMA-USDT-SWAP,0.6917139887809753,0.1548860073089599,0.191312238574028,0.2000195980072021,4,HUMA_USDT_SWAP,628,2026-08-27T13:00:00+00:00,24,605,8,618.6425159235669,623.3304140127389,568,757,1013,44,186,20260827_HUMA_02,SHORT,False,4.687898089171995,4.669585987261144,-0.3574840764331384,0.3304140127388564,643.3968247771263,620.9864649681529,22.410359808973453
0,dense_long,0.979958474636078,4,663,13,2026-08-27T21:45:00+00:00,0.02549,4,0.02519,660,10,2026-08-27T21:00:00+00:00,0.105350476980506,2026-08-27T00:00:00+00:00,742,18,7f12b422762f7718bc28664d2e58dd51f09b421cbd7776663fec88912ece7063,1280,HUMA-USDT-SWAP,0.6726737022399902,0.6091633439064026,0.1763552874326706,0.212372824549675,4,HUMA_USDT_SWAP,667,2026-08-27T22:45:00+00:00,18,650,9,659.6504777070064,663.3320063694267,568,725,997,387,517,20260827_HUMA_03,LONG,True,3.6815286624203054,3.667993630573278,-0.3495222929935835,0.3320063694267219,641.3214335441589,661.4912420382166,-20.169808494057634
0,dense_long,0.845185399055481,4,616,14,2026-08-27T10:00:00+00:00,0.02087,5,0.02052,612,10,2026-08-27T09:00:00+00:00,0.1040076335877864,2026-08-27T00:00:00+00:00,742,19,14221a930d35c322163c8f976dc8a90254050ddf4bcbe3c32730e6a45453529e,1280,MERL-USDT-SWAP,0.6631039977073669,0.5063674449920654,0.3331622183322906,0.2558415532112121,5,MERL_USDT_SWAP,620,2026-08-27T11:00:00+00:00,19,602,10,611.6449044585987,616.3455414012739,568,685,1013,252,499,20260827_MERL_01,LONG,True,4.700636942675146,3.654458598726137,-0.3550955414012833,0.3455414012738629,640.278335750103,613.9952229299363,26.283112820166707
