方向,入场北京时间,退出根北京时间,入场价,初始止损,末次退出价,末次退出原因,整单毛R,整单净R,全仓完整初始SL,是否分批,分批成交明细,边界未自然平仓,末次是否开盘退出
多,2026-01-11 17:00:00+08:00,2026-01-12 04:15:00+08:00,3101.91,3090.78,3102.04,trailing_stop,0.5087601078167396,-0.048636118598372,False,True,"[{""fraction"": 0.25, ""price"": 3124.17, ""fill_r"": 2.0000000000000817, ""gross_r_contribution"": 0.5000000000000204, ""allocated_cost_r"": 0.13934905660377792, ""reason"": ""partial_take_profit"", ""exit_i"": 141021, ""exit_time"": ""2026-01-11 14:45:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 3102.04, ""fill_r"": 0.011680143755625622, ""gross_r_contribution"": 0.008760107816719216, ""allocated_cost_r"": 0.4180471698113337, ""reason"": ""trailing_stop"", ""exit_i"": 141043, ""exit_time"": ""2026-01-11 20:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-01-25 16:45:00+08:00,2026-01-25 18:15:00+08:00,2930.32,2944.78,2944.78,initial_stop,-1.0,-1.4053001383125854,True,False,"[{""fraction"": 1.0, ""price"": 2944.78, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.4053001383125855, ""reason"": ""initial_stop"", ""exit_i"": 142347, ""exit_time"": ""2026-01-25 10:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-03 23:15:00+08:00,2026-02-04 04:15:00+08:00,2257.51,2319.71,2229.08,trailing_stop,0.8428054662379484,0.7702167202572408,False,True,"[{""fraction"": 0.25, ""price"": 2133.11, ""fill_r"": 2.000000000000007, ""gross_r_contribution"": 0.5000000000000018, ""allocated_cost_r"": 0.018147186495176906, ""reason"": ""partial_take_profit"", ""exit_i"": 143243, ""exit_time"": ""2026-02-03 18:15:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 2229.08, ""fill_r"": 0.45707395498392883, ""gross_r_contribution"": 0.3428054662379466, ""allocated_cost_r"": 0.05444155948553071, ""reason"": ""trailing_stop"", ""exit_i"": 143251, ""exit_time"": ""2026-02-03 20:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-04 21:00:00+08:00,2026-02-06 09:30:00+08:00,2243.0,2273.74,1929.63,trailing_stop,8.145738451528885,7.999804814573779,False,True,"[{""fraction"": 0.25, ""price"": 2181.51, ""fill_r"": 2.000325309043569, ""gross_r_contribution"": 0.5000813272608923, ""allocated_cost_r"": 0.03648340923877656, ""reason"": ""partial_take_profit"", ""exit_i"": 143324, ""exit_time"": ""2026-02-04 14:30:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 1929.63, ""fill_r"": 10.19420949902399, ""gross_r_contribution"": 7.645657124267993, ""allocated_cost_r"": 0.10945022771632969, ""reason"": ""trailing_stop"", ""exit_i"": 143464, ""exit_time"": ""2026-02-06 01:30:00+00:00"", ""exit_at_open"": false}]",False,False
多,2026-02-13 18:15:00+08:00,2026-02-14 21:00:00+08:00,1958.0,1940.16,2065.91,trailing_stop,5.036575112107641,4.817068385650241,False,True,"[{""fraction"": 0.25, ""price"": 1993.68, ""fill_r"": 2.000000000000013, ""gross_r_contribution"": 0.5000000000000032, ""allocated_cost_r"": 0.054876681614350026, ""reason"": ""partial_take_profit"", ""exit_i"": 144189, ""exit_time"": ""2026-02-13 14:45:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 2065.91, ""fill_r"": 6.048766816143518, ""gross_r_contribution"": 4.536575112107638, ""allocated_cost_r"": 0.16463004484305008, ""reason"": ""trailing_stop"", ""exit_i"": 144278, ""exit_time"": ""2026-02-14 13:00:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-17 23:15:00+08:00,2026-02-18 00:30:00+08:00,1951.57,2004.56,2004.56,initial_stop,-1.0,-1.0736580486884315,True,False,"[{""fraction"": 1.0, ""price"": 2004.56, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.07365804868843176, ""reason"": ""initial_stop"", ""exit_i"": 144580, ""exit_time"": ""2026-02-17 16:30:00+00:00"", ""exit_at_open"": false}]",False,False
多,2026-02-18 16:00:00+08:00,2026-02-18 19:00:00+08:00,2017.0,1993.72,1993.72,initial_stop,-1.0,-1.173281786941581,True,False,"[{""fraction"": 1.0, ""price"": 1993.72, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.17328178694158095, ""reason"": ""initial_stop"", ""exit_i"": 144654, ""exit_time"": ""2026-02-18 11:00:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-18 19:30:00+08:00,2026-02-20 11:45:00+08:00,1982.01,2017.71,1953.85,opposite_v6_next_open,1.0915966386554616,0.9805596638655458,False,True,"[{""fraction"": 0.25, ""price"": 1910.6100000000001, ""fill_r"": 1.9999999999999936, ""gross_r_contribution"": 0.4999999999999984, ""allocated_cost_r"": 0.02775924369747896, ""reason"": ""partial_take_profit"", ""exit_i"": 144761, ""exit_time"": ""2026-02-19 13:45:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 1953.85, ""fill_r"": 0.7887955182072842, ""gross_r_contribution"": 0.5915966386554632, ""allocated_cost_r"": 0.08327773109243689, ""reason"": ""opposite_v6_next_open"", ""exit_i"": 144817, ""exit_time"": ""2026-02-20 03:45:00+00:00"", ""exit_at_open"": true}]",False,True
多,2026-02-21 17:45:00+08:00,2026-02-22 20:30:00+08:00,1971.88,1961.95,1961.95,initial_stop,-0.2497482376636515,-0.6469043303121889,False,True,"[{""fraction"": 0.25, ""price"": 1991.75, ""fill_r"": 2.001007049345394, ""gross_r_contribution"": 0.5002517623363485, ""allocated_cost_r"": 0.09928902316213432, ""reason"": ""partial_take_profit"", ""exit_i"": 144955, ""exit_time"": ""2026-02-21 14:15:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 1961.95, ""fill_r"": -1.0, ""gross_r_contribution"": -0.75, ""allocated_cost_r"": 0.29786706948640296, ""reason"": ""initial_stop"", ""exit_i"": 145044, ""exit_time"": ""2026-02-22 12:30:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-02-22 21:30:00+08:00,2026-02-23 06:30:00+08:00,1964.14,1975.7,1958.39,trailing_stop,0.8730536332179997,0.5332370242214582,False,True,"[{""fraction"": 0.25, ""price"": 1941.02, ""fill_r"": 2.0000000000000195, ""gross_r_contribution"": 0.5000000000000049, ""allocated_cost_r"": 0.08495415224913536, ""reason"": ""partial_take_profit"", ""exit_i"": 145064, ""exit_time"": ""2026-02-22 17:30:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 1958.39, ""fill_r"": 0.4974048442906598, ""gross_r_contribution"": 0.37305363321799484, ""allocated_cost_r"": 0.25486245674740604, ""reason"": ""trailing_stop"", ""exit_i"": 145084, ""exit_time"": ""2026-02-22 22:30:00+00:00"", ""exit_at_open"": false}]",False,False
多,2026-03-02 23:00:00+08:00,2026-03-04 12:30:00+08:00,1978.54,1917.17,1953.11,opposite_v6_next_open,-0.4143718429199952,-0.4788509043506618,False,False,"[{""fraction"": 1.0, ""price"": 1953.11, ""fill_r"": -0.41437184291999524, ""gross_r_contribution"": -0.41437184291999524, ""allocated_cost_r"": 0.06447906143066656, ""reason"": ""opposite_v6_next_open"", ""exit_i"": 145972, ""exit_time"": ""2026-03-04 04:30:00+00:00"", ""exit_at_open"": true}]",False,True
多,2026-03-04 15:00:00+08:00,2026-03-05 09:45:00+08:00,1979.21,1956.02,2106.59,trailing_stop,4.619663648124185,4.448968520914181,False,True,"[{""fraction"": 0.25, ""price"": 2025.5900000000001, ""fill_r"": 2.0, ""gross_r_contribution"": 0.5, ""allocated_cost_r"": 0.04267378180250098, ""reason"": ""partial_take_profit"", ""exit_i"": 145988, ""exit_time"": ""2026-03-04 08:30:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 2106.59, ""fill_r"": 5.49288486416558, ""gross_r_contribution"": 4.119663648124185, ""allocated_cost_r"": 0.12802134540750296, ""reason"": ""trailing_stop"", ""exit_i"": 146057, ""exit_time"": ""2026-03-05 01:45:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-03-06 17:30:00+08:00,2026-03-08 17:15:00+08:00,2056.12,2083.4,1967.68,trailing_stop,2.9315432551319383,2.7808013196480683,False,True,"[{""fraction"": 0.25, ""price"": 2001.55, ""fill_r"": 2.000366568914939, ""gross_r_contribution"": 0.5000916422287347, ""allocated_cost_r"": 0.037685483870967464, ""reason"": ""partial_take_profit"", ""exit_i"": 146202, ""exit_time"": ""2026-03-06 14:00:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 1967.68, ""fill_r"": 3.2419354838709378, ""gross_r_contribution"": 2.4314516129032033, ""allocated_cost_r"": 0.1130564516129024, ""reason"": ""trailing_stop"", ""exit_i"": 146375, ""exit_time"": ""2026-03-08 09:15:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-03-08 20:15:00+08:00,2026-03-09 03:45:00+08:00,1934.54,1975.51,1965.24,opposite_v6_next_open,-0.7493287771540157,-0.8437656822064931,False,False,"[{""fraction"": 1.0, ""price"": 1965.24, ""fill_r"": -0.7493287771540157, ""gross_r_contribution"": -0.7493287771540157, ""allocated_cost_r"": 0.09443690505247736, ""reason"": ""opposite_v6_next_open"", ""exit_i"": 146417, ""exit_time"": ""2026-03-08 19:45:00+00:00"", ""exit_at_open"": true}]",False,True
空,2026-03-18 19:30:00+08:00,2026-03-20 16:00:00+08:00,2294.4,2332.35,2163.45,trailing_stop,3.0879446640316415,2.96702766798421,False,True,"[{""fraction"": 0.25, ""price"": 2218.5, ""fill_r"": 2.000000000000012, ""gross_r_contribution"": 0.500000000000003, ""allocated_cost_r"": 0.03022924901185785, ""reason"": ""partial_take_profit"", ""exit_i"": 147355, ""exit_time"": ""2026-03-18 14:15:00+00:00"", ""exit_at_open"": false}, {""fraction"": 0.75, ""price"": 2163.45, ""fill_r"": 3.4505928853755177, ""gross_r_contribution"": 2.5879446640316384, ""allocated_cost_r"": 0.09068774703557356, ""reason"": ""trailing_stop"", ""exit_i"": 147522, ""exit_time"": ""2026-03-20 08:00:00+00:00"", ""exit_at_open"": false}]",False,False
空,2026-04-16 18:15:00+08:00,2026-04-16 20:00:00+08:00,2329.55,2348.58,2348.58,initial_stop,-1.0,-1.2448292170257522,True,False,"[{""fraction"": 1.0, ""price"": 2348.58, ""fill_r"": -1.0, ""gross_r_contribution"": -1.0, ""allocated_cost_r"": 0.2448292170257521, ""reason"": ""initial_stop"", ""exit_i"": 150130, ""exit_time"": ""2026-04-16 12:00:00+00:00"", ""exit_at_open"": false}]",False,False
