variant,period,assignment_seed_index,status,candidate_minus_control_bp_per_trade
v13d_dense_l1,confirmation_2024,0,complete,36.39123614955121
v13d_dense_l1,confirmation_2024,1,complete,95.269902324514
v13d_dense_l1,confirmation_2024,2,complete,100.06050476520429
v13d_dense_l1,confirmation_2024,3,complete,125.70508261946613
v13d_dense_l1,confirmation_2024,4,complete,104.89536668461282
v13d_dense_l1,confirmation_2024,5,complete,81.5116748803143
v13d_dense_l1,confirmation_2024,6,complete,94.95712622572596
v13d_dense_l1,confirmation_2024,7,complete,119.7794400716426
v13d_dense_l1,discovery_2023,0,complete,208.0914439929257
v13d_dense_l1,discovery_2023,1,complete,211.1626834575328
v13d_dense_l1,discovery_2023,2,complete,214.96475357617686
v13d_dense_l1,discovery_2023,3,complete,198.24074374281548
v13d_dense_l1,discovery_2023,4,complete,167.49119971245972
v13d_dense_l1,discovery_2023,5,complete,190.86987398099595
v13d_dense_l1,discovery_2023,6,complete,161.14522043218798
v13d_dense_l1,discovery_2023,7,complete,206.80453803466008
v13d_dense_l1,final_preholdout_2025_202602,0,complete,-49.90280630723127
v13d_dense_l1,final_preholdout_2025_202602,1,complete,-48.72749444685743
v13d_dense_l1,final_preholdout_2025_202602,2,complete,-46.438957290830146
v13d_dense_l1,final_preholdout_2025_202602,3,complete,-74.14718975262609
v13d_dense_l1,final_preholdout_2025_202602,4,complete,-68.67426042757783
v13d_dense_l1,final_preholdout_2025_202602,5,complete,-37.11637579584058
v13d_dense_l1,final_preholdout_2025_202602,6,complete,-60.0052785046214
v13d_dense_l1,final_preholdout_2025_202602,7,complete,-54.76281103109439
