signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
4489,2022-02-19 09:45:00+00:00,short,2.0,1.0,3.8851063900974885,4.249559044972351,1.0367213543484937,1.3401477504112853,0.0,11.0,0.41381685030363385,1.3603749465039965,0.8333333333333334,0.08631340555789298,0.4522811073762089,0.0,0.0,False,False,False,False,False,dense_l1,False,False
4631,2022-02-20 21:15:00+00:00,short,3.0,3.0,3.082557919976424,3.3308852803455617,1.052372085651704,1.6877361076278958,-2.0,11.0,0.41381685030363385,2.9305001634194245,1.0,0.10749258206108252,0.5863566017178856,0.0,2.0,False,False,False,False,False,dense_l1,False,False
4689,2022-02-21 11:45:00+00:00,short,0.0,0.0,4.06483398792417,4.820287859410936,1.2198563701370062,1.0634727266068038,0.0,2.0,0.6500224216483541,1.8768170286848356,0.8333333333333334,0.11556359307015938,0.2604166666666667,0.0,0.0,False,False,False,False,False,dense_l1,False,False
4716,2022-02-21 18:30:00+00:00,short,9.0,7.0,1.1966945713569943,1.5233479042397424,1.036202150412576,1.1937703458623772,-4.0,5.0,0.9798687566511528,1.6663138926231134,0.8333333333333334,0.05621579184645728,0.6951647118628553,2.0,6.0,False,False,False,False,False,dense_l1,False,False
5074,2022-02-25 12:00:00+00:00,long,3.0,3.0,5.175170135330155,5.803179769651774,1.141668782215892,0.22962244170928914,-2.0,11.0,0.41381685030363385,2.3203634274734695,1.0,0.06872912002461852,0.523424780569953,0.0,2.0,False,False,False,False,False,dense_l1,False,False
5461,2022-03-01 12:45:00+00:00,long,4.0,3.0,5.938133176692252,8.287048422450372,1.1290338505178754,0.35184237817198133,-1.0,11.0,0.41381685030363385,1.4886012188997002,1.0,0.08946105876537995,0.6385747008717805,1.0,2.0,False,False,False,False,False,dense_l1,False,False
5487,2022-03-01 19:15:00+00:00,long,1.0,1.0,3.2333537085982225,3.6159771364606024,0.9380550284470088,0.1664110147749258,0.0,12.0,0.0,1.0831672536735943,0.8333333333333334,0.027371558924279102,0.388677049068464,0.0,0.0,False,True,False,False,False,dense_l1,False,False
5523,2022-03-02 04:15:00+00:00,long,4.0,3.0,2.0933171186699098,2.3137630096002466,1.121569608584631,0.5841185223330086,-1.0,12.0,0.0,2.2243311491808293,1.0,0.10817590828833273,0.7735795980911458,1.0,2.0,False,True,True,False,False,dense_l1,True,False
5662,2022-03-03 15:00:00+00:00,short,2.0,2.0,2.327644402002919,2.722736942663236,1.193212833745091,0.3334701603869507,0.0,12.0,0.0,2.4488652366356733,1.0,0.06815547891957308,0.5835589044722211,0.0,0.0,False,True,True,True,False,dense_l1,True,False
5967,2022-03-06 19:15:00+00:00,short,5.0,4.0,1.2726404616088212,1.6280946343508935,0.935640011683221,0.7445027482472938,-1.0,11.0,0.41381685030363385,0.3932341716637441,1.0,0.03313507529616663,0.743613145035056,1.0,2.0,False,True,True,False,False,dense_l1,True,False
5983,2022-03-06 23:15:00+00:00,short,5.0,3.0,1.459535210724611,1.7690485846289792,1.403210680402705,0.2769028468882834,0.0,12.0,0.0,3.9207357121425988,1.0,0.08625789608084045,0.8376902343802372,2.0,2.0,False,True,True,True,True,dense_l1,True,False
6109,2022-03-08 06:45:00+00:00,short,11.0,8.0,0.9359563139411398,1.1865733379771444,0.9888847869655857,0.5711655955536119,-3.0,9.0,0.8112781244591328,0.4661102881223697,1.0,0.05451957998615145,0.7655073825000629,3.0,6.0,False,False,False,False,False,dense_l1,False,False
6376,2022-03-11 01:30:00+00:00,short,4.0,3.0,2.9023711483515418,3.4762572356922443,1.1503806696849364,0.32605196470204145,1.0,11.0,0.41381685030363385,1.447933426790255,1.0,0.0987761005660645,0.7580005123867569,2.0,1.0,False,True,True,False,False,dense_l1,True,False
6642,2022-03-13 20:00:00+00:00,short,6.0,5.0,0.8462930436439277,1.47460845205392,1.0306997308704642,0.6840468597169572,-2.0,10.0,0.6500224216483541,2.3620855341822997,1.0,0.061770523112952,0.7821767613330262,1.0,3.0,False,False,False,False,False,dense_l1,False,False
