signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,source,box_entry_i,bars_after_v9
1705,2024-10-14 04:00:00+00:00,1706,2024-10-14 08:00:00+00:00,162.64,149.69,12.949999999999989,0.07962370880472203,1759,2024-10-23 04:00:00+00:00,149.69,initial_stop,-0.07962370880472203,-0.08162370880472203,-1.0,-1.0251181467181467,False,0.25405405405405584,closed,v9_long,binance_um:AAVEUSDT:4h:v9_long:1705,AAVEUSDT,AAVE,4h,,1705,0
1794,2024-10-29 00:00:00+00:00,1795,2024-10-29 04:00:00+00:00,153.8,147.06,6.740000000000009,0.043823146944083284,1809,2024-10-31 12:00:00+00:00,147.06,initial_stop,-0.04382314694408329,-0.04582314694408329,-1.0000000000000002,-1.045637982195846,False,0.6706231454005899,closed,v9_long,binance_um:AAVEUSDT:4h:v9_long:1794,AAVEUSDT,AAVE,4h,,1794,0
1843,2024-11-06 04:00:00+00:00,1844,2024-11-06 08:00:00+00:00,156.55,128.54,28.01000000000002,0.17892047269243064,2045,2024-12-09 20:00:00+00:00,243.61,trailing_stop,0.5561162567869691,0.5541162567869691,3.1081756515530152,3.096997500892537,False,5.0360585505176685,closed,v9_long,binance_um:AAVEUSDT:4h:v9_long:1843,AAVEUSDT,AAVE,4h,,1843,0
3742,2025-09-18 16:00:00+00:00,3743,2025-09-18 20:00:00+00:00,309.91,298.56,11.350000000000023,0.03662353586525127,3748,2025-09-19 16:00:00+00:00,298.56,initial_stop,-0.036623535865251244,-0.038623535865251246,-0.9999999999999992,-1.0546096916299552,False,0.18854625550660634,closed,v9_long,binance_um:AAVEUSDT:4h:v9_long:3742,AAVEUSDT,AAVE,4h,,3742,0
4795,2026-03-13 04:00:00+00:00,4796,2026-03-13 08:00:00+00:00,114.21,106.3,7.909999999999997,0.06925838367918744,4852,2026-03-22 16:00:00+00:00,106.3,initial_stop,-0.06925838367918746,-0.07125838367918746,-1.0000000000000004,-1.0288773704171938,False,1.3413400758533507,closed,v9_long,binance_um:AAVEUSDT:4h:v9_long:4795,AAVEUSDT,AAVE,4h,chart,4795,0
4795,2026-03-13 04:00:00+00:00,4796,2026-03-13 08:00:00+00:00,114.21,106.3,7.909999999999997,0.06925838367918744,4852,2026-03-22 16:00:00+00:00,106.3,initial_stop,-0.06925838367918746,-0.07125838367918746,-1.0000000000000004,-1.0288773704171938,False,1.3413400758533507,closed,v10_4,binance_um:AAVEUSDT:4h:joint:4795,AAVEUSDT,AAVE,4h,chart,4795,0
1804,2024-10-30 16:00:00+00:00,1805,2024-10-30 20:00:00+00:00,156.13,147.88,8.25,0.05284058156664318,1809,2024-10-31 12:00:00+00:00,147.88,initial_stop,-0.052840581566643174,-0.054840581566643176,-0.9999999999999999,-1.0378496969696969,False,0.19030303030302947,closed,box_chart,binance_um:AAVEUSDT:4h:box_chart:1804,AAVEUSDT,AAVE,4h,chart,1794,10
1845,2024-11-06 12:00:00+00:00,1846,2024-11-06 16:00:00+00:00,163.92,131.33,32.589999999999975,0.1988164958516348,2045,2024-12-09 20:00:00+00:00,243.61,trailing_stop,0.4861517813567595,0.4841517813567595,2.445228597729367,2.4351690702669555,False,4.102178582387239,closed,box_chart,binance_um:AAVEUSDT:4h:box_chart:1845,AAVEUSDT,AAVE,4h,chart,1843,2
4795,2026-03-13 04:00:00+00:00,4796,2026-03-13 08:00:00+00:00,114.21,106.3,7.909999999999997,0.06925838367918744,4852,2026-03-22 16:00:00+00:00,106.3,initial_stop,-0.06925838367918746,-0.07125838367918746,-1.0000000000000004,-1.0288773704171938,False,1.3413400758533507,closed,box_chart,binance_um:AAVEUSDT:4h:box_chart:4795,AAVEUSDT,AAVE,4h,chart,4795,0
1804,2024-10-30 16:00:00+00:00,1805,2024-10-30 20:00:00+00:00,156.13,147.88,8.25,0.05284058156664318,1809,2024-10-31 12:00:00+00:00,147.88,initial_stop,-0.052840581566643174,-0.054840581566643176,-0.9999999999999999,-1.0378496969696969,False,0.19030303030302947,closed,box_any,binance_um:AAVEUSDT:4h:box_any:1804,AAVEUSDT,AAVE,4h,chart,1794,10
1845,2024-11-06 12:00:00+00:00,1846,2024-11-06 16:00:00+00:00,163.92,131.33,32.589999999999975,0.1988164958516348,2045,2024-12-09 20:00:00+00:00,243.61,trailing_stop,0.4861517813567595,0.4841517813567595,2.445228597729367,2.4351690702669555,False,4.102178582387239,closed,box_any,binance_um:AAVEUSDT:4h:box_any:1845,AAVEUSDT,AAVE,4h,chart,1843,2
4795,2026-03-13 04:00:00+00:00,4796,2026-03-13 08:00:00+00:00,114.21,106.3,7.909999999999997,0.06925838367918744,4852,2026-03-22 16:00:00+00:00,106.3,initial_stop,-0.06925838367918746,-0.07125838367918746,-1.0000000000000004,-1.0288773704171938,False,1.3413400758533507,closed,box_any,binance_um:AAVEUSDT:4h:box_any:4795,AAVEUSDT,AAVE,4h,chart,4795,0
