arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1705,closed,,AAVEUSDT,AAVE,4h,2024-10-14 04:00:00+00:00
v9_long,1794,closed,,AAVEUSDT,AAVE,4h,2024-10-29 00:00:00+00:00
v9_long,1843,closed,,AAVEUSDT,AAVE,4h,2024-11-06 04:00:00+00:00
v9_long,3742,closed,,AAVEUSDT,AAVE,4h,2025-09-18 16:00:00+00:00
v9_long,4795,closed,,AAVEUSDT,AAVE,4h,2026-03-13 04:00:00+00:00
v10_4,4795,closed,,AAVEUSDT,AAVE,4h,2026-03-13 04:00:00+00:00
box_chart,1804,closed,,AAVEUSDT,AAVE,4h,2024-10-30 16:00:00+00:00
box_chart,1845,closed,,AAVEUSDT,AAVE,4h,2024-11-06 12:00:00+00:00
box_chart,4795,closed,,AAVEUSDT,AAVE,4h,2026-03-13 04:00:00+00:00
box_any,1804,closed,,AAVEUSDT,AAVE,4h,2024-10-30 16:00:00+00:00
box_any,1845,closed,,AAVEUSDT,AAVE,4h,2024-11-06 12:00:00+00:00
box_any,4795,closed,,AAVEUSDT,AAVE,4h,2026-03-13 04:00:00+00:00
