trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:AAVEUSDT:4h:v9_long:1705,v9_long,True,matched,1662,2024-10-07 00:00:00+00:00,-1.0412998643147906,-0.05042630921873981,2024-10-08 04:00:00+00:00,2024-10,3,earlier
binance_um:AAVEUSDT:4h:v9_long:1794,v9_long,True,matched,1641,2024-10-03 12:00:00+00:00,0.907279344858963,0.07147670250896065,2024-10-23 04:00:00+00:00,2024-10,3,earlier
binance_um:AAVEUSDT:4h:v9_long:1843,v9_long,True,matched,1822,2024-11-02 16:00:00+00:00,-1.043672440944883,-0.0477954709361027,2024-11-03 12:00:00+00:00,2024-11,3,earlier
binance_um:AAVEUSDT:4h:v9_long:3742,v9_long,True,matched,3743,2025-09-18 20:00:00+00:00,-1.0556043165467637,-0.03796843058610433,2025-09-19 16:00:00+00:00,2025-09,2,later
binance_um:AAVEUSDT:4h:v9_long:4795,v9_long,True,matched,4769,2026-03-08 20:00:00+00:00,1.0858018691588742,0.055072430792567184,2026-03-19 12:00:00+00:00,2026-03,3,later
binance_um:AAVEUSDT:4h:joint:4795,v10_4,True,matched,4745,2026-03-04 20:00:00+00:00,-1.0285598027127003,-0.07202849494862273,2026-03-08 00:00:00+00:00,2026-03,3,later
binance_um:AAVEUSDT:4h:box_chart:1804,box_chart,True,matched,1645,2024-10-04 04:00:00+00:00,-1.0202368064952643,-0.10082982280173858,2024-10-25 20:00:00+00:00,2024-10,3,earlier
binance_um:AAVEUSDT:4h:box_chart:1845,box_chart,True,matched,1859,2024-11-08 20:00:00+00:00,-1.028915011914217,-0.07116822327216787,2024-11-13 04:00:00+00:00,2024-11,3,earlier
binance_um:AAVEUSDT:4h:box_chart:4795,box_chart,True,matched,4858,2026-03-23 16:00:00+00:00,-1.0364403973509928,-0.05688414357110394,2026-03-26 20:00:00+00:00,2026-03,3,later
binance_um:AAVEUSDT:4h:box_any:1804,box_any,True,matched,1705,2024-10-14 04:00:00+00:00,-1.0251181467181467,-0.08162370880472203,2024-10-23 04:00:00+00:00,2024-10,3,earlier
binance_um:AAVEUSDT:4h:box_any:1845,box_any,True,matched,1897,2024-11-15 04:00:00+00:00,5.665349476439801,0.5523291010017228,2024-12-09 20:00:00+00:00,2024-11,3,earlier
binance_um:AAVEUSDT:4h:box_any:4795,box_any,True,matched,4897,2026-03-30 04:00:00+00:00,-1.0300945121951226,-0.068457299159153,2026-04-05 08:00:00+00:00,2026-03,3,later
