epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.485,1.73559,2.31107,2.64338,0.25948,0.5495,0.29149,0.11357,0.9452,1.96258,1.36148,0.0001,0.0001,0.0001
2,192.108,1.47282,1.96052,2.24968,0.35276,0.48297,0.34265,0.15468,0.83832,2.36101,1.27478,9.7525e-05,9.7525e-05,9.7525e-05
3,277.598,1.34077,1.77941,2.139,0.45762,0.67327,0.54333,0.26428,0.79034,1.64602,1.2131,9.505e-05,9.505e-05,9.505e-05
4,363.251,1.23523,1.64133,2.03522,0.28562,0.35644,0.23977,0.11256,0.78538,2.25909,1.21859,9.2575e-05,9.2575e-05,9.2575e-05
5,447.631,1.18984,1.48503,1.98081,0.5193,0.67822,0.60655,0.34878,0.70359,1.36423,1.11805,9.01e-05,9.01e-05,9.01e-05
6,532.752,1.10424,1.40173,1.86162,0.55133,0.72392,0.63434,0.38515,0.64496,1.40306,1.0717,8.7625e-05,8.7625e-05,8.7625e-05
7,618.34,1.07485,1.37678,1.86727,0.60812,0.72212,0.72519,0.45808,0.59792,1.41605,1.0209,8.515e-05,8.515e-05,8.515e-05
8,703.912,1.01518,1.34932,1.80299,0.3583,0.58911,0.42918,0.23861,0.58521,2.61819,1.01202,8.2675e-05,8.2675e-05,8.2675e-05
9,788.204,0.97994,1.28746,1.74558,0.69043,0.72772,0.77912,0.51341,0.53838,1.30041,0.96272,8.02e-05,8.02e-05,8.02e-05
10,873.479,0.92713,1.29846,1.69808,0.79155,0.73313,0.81778,0.55086,0.52812,1.3315,0.94754,7.7725e-05,7.7725e-05,7.7725e-05
11,958.933,0.88499,1.22172,1.64695,0.66721,0.73762,0.71662,0.49179,0.5185,1.85166,0.92973,7.525e-05,7.525e-05,7.525e-05
12,1043.37,0.87334,1.23316,1.64599,0.66833,0.7382,0.72216,0.50154,0.50449,2.08859,0.91236,7.2775e-05,7.2775e-05,7.2775e-05
13,1127.87,0.86603,1.23123,1.61346,0.75303,0.75474,0.81726,0.58387,0.48683,1.44077,0.89116,7.03e-05,7.03e-05,7.03e-05
14,1213.25,0.79926,1.19016,1.54545,0.33301,0.56436,0.36908,0.23096,0.51686,2.48277,0.91254,6.7825e-05,6.7825e-05,6.7825e-05
15,1297.82,0.79959,1.19464,1.54052,0.31044,0.50495,0.36169,0.2212,0.53648,1.82754,0.9292,6.535e-05,6.535e-05,6.535e-05
16,1382.14,0.76071,1.1681,1.48277,0.76522,0.79062,0.83005,0.63202,0.4454,1.4485,0.83847,6.2875e-05,6.2875e-05,6.2875e-05
17,1467.73,0.74338,1.14277,1.46247,0.77665,0.75743,0.84285,0.63336,0.41037,1.67508,0.8244,6.04e-05,6.04e-05,6.04e-05
18,1552.99,0.70203,1.12984,1.40183,0.79169,0.77723,0.85327,0.65384,0.40697,1.35622,0.78721,5.7925e-05,5.7925e-05,5.7925e-05
19,1638.64,0.6983,1.11528,1.41337,0.31251,0.56708,0.3585,0.22019,0.50544,2.21137,0.88212,5.545e-05,5.545e-05,5.545e-05
20,1722.95,0.65737,1.11789,1.35211,0.79084,0.75248,0.84655,0.64208,0.40105,1.6476,0.78154,5.2975e-05,5.2975e-05,5.2975e-05
21,1807.25,0.64971,1.10461,1.31672,0.65645,0.69999,0.71397,0.54076,0.4205,1.51202,0.80262,5.05e-05,5.05e-05,5.05e-05
22,1891.74,0.64786,1.07122,1.32216,0.78138,0.77854,0.84822,0.66297,0.3848,1.43337,0.76978,4.8025e-05,4.8025e-05,4.8025e-05
23,1977.04,0.60621,1.02182,1.25891,0.54358,0.69802,0.60656,0.43992,0.42631,2.55045,0.79762,4.555e-05,4.555e-05,4.555e-05
24,2061.18,0.6066,1.03812,1.24503,0.81376,0.78713,0.88081,0.70752,0.36765,1.38468,0.73851,4.3075e-05,4.3075e-05,4.3075e-05
25,2146.73,0.58086,1.05624,1.24257,0.79753,0.78713,0.88285,0.70612,0.36174,1.315,0.73241,4.06e-05,4.06e-05,4.06e-05
26,2231.29,0.59708,0.99991,1.25726,0.74629,0.75724,0.81205,0.62862,0.37653,1.44777,0.74192,3.8125e-05,3.8125e-05,3.8125e-05
27,2315.81,0.57917,1.01379,1.20967,0.7461,0.80693,0.85476,0.67141,0.37889,1.67507,0.7527,3.565e-05,3.565e-05,3.565e-05
28,2400.35,0.57647,0.99491,1.23267,0.81746,0.79703,0.89261,0.72599,0.35164,1.30465,0.72092,3.3175e-05,3.3175e-05,3.3175e-05
29,2485.83,0.55559,0.97324,1.19885,0.842,0.76238,0.8906,0.72932,0.35271,1.2848,0.72036,3.07e-05,3.07e-05,3.07e-05
30,2571.2,0.53317,0.98304,1.15862,0.79322,0.79703,0.87806,0.72018,0.35326,1.41973,0.71742,2.8225e-05,2.8225e-05,2.8225e-05
31,2660.06,0.54778,0.93347,1.18843,0.77809,0.79847,0.87228,0.69776,0.35496,1.55895,0.72556,2.575e-05,2.575e-05,2.575e-05
32,2744.28,0.51618,0.95771,1.12343,0.80871,0.7744,0.87382,0.70099,0.34656,1.29994,0.71203,2.3275e-05,2.3275e-05,2.3275e-05
33,2828.56,0.51558,0.95423,1.12866,0.85964,0.80198,0.90079,0.73142,0.3439,1.41473,0.70112,2.08e-05,2.08e-05,2.08e-05
34,2913.85,0.53237,0.99563,1.14402,0.85974,0.77723,0.9006,0.73458,0.33997,1.35056,0.70315,1.8325e-05,1.8325e-05,1.8325e-05
35,2999.14,0.51092,0.99372,1.1326,0.81811,0.80157,0.88798,0.72346,0.34123,1.17464,0.70285,1.585e-05,1.585e-05,1.585e-05
36,3083.34,0.50534,0.94565,1.10837,0.80754,0.80198,0.8937,0.72575,0.34532,1.42262,0.71012,1.3375e-05,1.3375e-05,1.3375e-05
37,3167.92,0.5137,0.95081,1.13306,0.84329,0.79917,0.89783,0.74252,0.33234,1.45813,0.69159,1.09e-05,1.09e-05,1.09e-05
38,3253.37,0.5083,0.95604,1.12954,0.8376,0.80693,0.89999,0.7486,0.33334,1.39247,0.69325,8.425e-06,8.425e-06,8.425e-06
39,3338.78,0.52606,0.91896,1.14805,0.81136,0.80198,0.88804,0.72561,0.33594,1.24023,0.69928,5.95e-06,5.95e-06,5.95e-06
40,3423.21,0.51823,0.93964,1.13127,0.83649,0.78512,0.89746,0.73672,0.33763,1.30934,0.69814,3.475e-06,3.475e-06,3.475e-06
