arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,2777,closed,,JUPUSDT,JUP,4h,2025-05-08 12:00:00+00:00
v9_long,2884,closed,,JUPUSDT,JUP,4h,2025-05-26 08:00:00+00:00
v9_long,3162,closed,,JUPUSDT,JUP,4h,2025-07-11 16:00:00+00:00
v9_long,3576,closed,,JUPUSDT,JUP,4h,2025-09-18 16:00:00+00:00
v9_long,4280,closed,,JUPUSDT,JUP,4h,2026-01-14 00:00:00+00:00
v9_long,4819,closed,,JUPUSDT,JUP,4h,2026-04-13 20:00:00+00:00
v9_long,4836,skipped_in_position,binance_um:JUPUSDT:4h:v9_long:4819,JUPUSDT,JUP,4h,2026-04-16 16:00:00+00:00
v10_4,4820,closed,,JUPUSDT,JUP,4h,2026-04-14 00:00:00+00:00
box_htf,4286,closed,,JUPUSDT,JUP,4h,2026-01-15 00:00:00+00:00
box_chart,4820,closed,,JUPUSDT,JUP,4h,2026-04-14 00:00:00+00:00
box_any,4286,closed,,JUPUSDT,JUP,4h,2026-01-15 00:00:00+00:00
box_any,4820,closed,,JUPUSDT,JUP,4h,2026-04-14 00:00:00+00:00
