split,n,positives,negatives,tp,fp,tn,fn,precision,recall,specificity,balanced_accuracy,accuracy,roc_auc,average_precision
train,95,22,73,22,0,73,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
val,42,8,34,0,0,34,8,0.0,0.0,1.0,0.5,0.8095238095238095,0.6286764705882353,0.308974358974359
