trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:ZECUSDT:4h:v9_long:1682,v9_long,True,matched,1702,2024-10-13 16:00:00+00:00,-1.0320723981900461,-0.06435891647855518,2024-10-27 08:00:00+00:00,2024-10,3,earlier
binance_um:ZECUSDT:4h:v9_long:2938,v9_long,True,matched,3066,2025-05-29 00:00:00+00:00,-1.0224693446088788,-0.09101016183665778,2025-05-30 20:00:00+00:00,2025-05,3,earlier
binance_um:ZECUSDT:4h:v9_long:3367,v9_long,True,matched,3368,2025-07-18 08:00:00+00:00,-1.0339047619047628,-0.0609887640449438,2025-07-19 00:00:00+00:00,2025-07,3,earlier
binance_um:ZECUSDT:4h:v9_long:4903,v9_long,True,matched,4758,2026-03-07 00:00:00+00:00,-1.0285925925925925,-0.07194818652849733,2026-03-07 20:00:00+00:00,2026-03,3,later
binance_um:ZECUSDT:4h:joint:1682,v10_4,True,matched,1768,2024-10-24 16:00:00+00:00,-1.034558139534884,-0.05987348586810226,2024-10-25 20:00:00+00:00,2024-10,3,earlier
binance_um:ZECUSDT:4h:joint:3367,v10_4,True,matched,3265,2025-07-01 04:00:00+00:00,0.3928720930232553,0.018199299757608367,2025-07-06 08:00:00+00:00,2025-07,3,earlier
binance_um:ZECUSDT:4h:box_chart:1682,box_chart,True,matched,1674,2024-10-09 00:00:00+00:00,4.124584615384612,0.1847677463818056,2024-10-25 20:00:00+00:00,2024-10,3,earlier
binance_um:ZECUSDT:4h:box_chart:4945,box_chart,False,censored,5046,2026-04-24 00:00:00+00:00,,,2026-04-30 20:00:00+00:00,2026-04,3,later
binance_um:ZECUSDT:4h:box_any:1682,box_any,True,matched,1672,2024-10-08 16:00:00+00:00,3.820130434782611,0.18109859154929575,2024-10-25 20:00:00+00:00,2024-10,3,earlier
binance_um:ZECUSDT:4h:box_any:4945,box_any,True,matched,4956,2026-04-09 00:00:00+00:00,0.002270842149809085,0.00016865197850202303,2026-04-18 16:00:00+00:00,2026-04,3,later
