方向,入场北京时间,入场价,初始止损,退出根北京时间,退出价,退出时间说明,退出原因,毛R,净R,审慎MFE_R,是否边界未平
空,2026-01-01 14:51:00+08:00,2976.36,2978.84,2026-01-01 15:06:00+08:00,2978.84,该K线内止损，精确秒未知,initial_stop,-1.0,-3.4002903225805605,0.4274193548386845,False
多,2026-01-01 17:09:00+08:00,2983.06,2979.74,2026-01-01 21:33:00+08:00,2981.66,开盘成交,opposite_v6_next_open,-0.4216867469880161,-2.218710843373717,2.6204819277111553,False
空,2026-01-03 13:18:00+08:00,3112.57,3118.23,2026-01-03 16:27:00+08:00,3098.9500000000003,该K线内止损，精确秒未知,trailing_stop,2.406360424028311,1.3065123674911547,6.637809187279352,False
多,2026-01-04 00:48:00+08:00,3107.8,3102.19,2026-01-04 05:27:00+08:00,3119.09,开盘成交,fanshen_arrows_next_open,2.012477718360019,0.9045276292335024,2.4955436720142035,False
空,2026-01-04 19:15:00+08:00,3139.41,3145.38,2026-01-04 20:30:00+08:00,3143.11,开盘成交,opposite_v6_next_open,-0.6197654941373727,-1.6714941373533874,0.956448911222746,False
多,2026-01-04 20:30:00+08:00,3143.11,3135.58,2026-01-04 20:42:00+08:00,3135.58,该K线内止损，精确秒未知,initial_stop,-1.0,-1.8348233731739627,0.4156706507303547,False
空,2026-01-04 23:39:00+08:00,3128.41,3136.49,2026-01-05 00:03:00+08:00,3136.49,该K线内止损，精确秒未知,initial_stop,-1.0,-1.7743589108910258,1.5185643564355695,False
多,2026-01-05 01:39:00+08:00,3138.49,3133.07,2026-01-05 02:03:00+08:00,3133.07,该K线内止损，精确秒未知,initial_stop,-1.0,-2.158114391143983,0.3099630996310718,False
空,2026-01-05 02:24:00+08:00,3128.87,3134.08,2026-01-05 02:57:00+08:00,3134.08,该K线内止损，精确秒未知,initial_stop,-1.0,-2.2011017274472384,1.5105566218809665,False
多,2026-01-05 05:12:00+08:00,3144.32,3137.03,2026-01-05 05:39:00+08:00,3137.03,该K线内止损，精确秒未知,initial_stop,-1.0,-1.8626392318243996,1.320987654320947,False
空,2026-01-06 15:30:00+08:00,3219.91,3235.28,2026-01-06 19:06:00+08:00,3231.98,开盘成交,opposite_v6_next_open,-0.7852960312296612,-1.2042823682498438,0.6369551073519677,False
多,2026-01-06 19:06:00+08:00,3231.98,3224.69,2026-01-06 22:09:00+08:00,3253.58,开盘成交,fanshen_arrows_next_open,2.9629629629629655,2.076274348422486,3.569272976680399,False
多,2026-01-08 08:48:00+08:00,3171.69,3156.83,2026-01-08 10:36:00+08:00,3156.83,该K线内止损，精确秒未知,initial_stop,-1.0,-1.426876177658144,0.7611036339165443,False
空,2026-01-08 13:45:00+08:00,3147.46,3156.1800000000003,2026-01-08 14:09:00+08:00,3131.55,开盘成交,fanshen_arrows_next_open,1.8245412844036,1.1026467889907656,2.698394495412788,False
空,2026-01-08 14:30:00+08:00,3116.36,3132.03,2026-01-08 16:03:00+08:00,3132.03,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3977485641352925,1.8091895341416575,False
空,2026-01-09 16:03:00+08:00,3106.57,3116.62,2026-01-09 16:54:00+08:00,3071.74,开盘成交,fanshen_arrows_next_open,3.465671641791177,2.847448756219021,4.04079601990062,False
空,2026-01-10 12:09:00+08:00,3081.23,3088.65,2026-01-10 13:45:00+08:00,3086.01,开盘成交,opposite_v6_next_open,-0.6442048517520422,-1.4747250673854762,0.6266846361186045,False
多,2026-01-10 13:45:00+08:00,3086.01,3082.49,2026-01-10 14:21:00+08:00,3082.49,该K线内止损，精确秒未知,initial_stop,-1.0,-2.7534147727272975,0.3551136363636382,False
空,2026-01-11 02:00:00+08:00,3091.37,3095.74,2026-01-11 06:30:00+08:00,3084.7200000000003,该K线内止损，精确秒未知,trailing_stop,1.521739130434579,0.1069244851257631,3.2356979405031474,False
多,2026-01-13 23:39:00+08:00,3161.85,3135.69,2026-01-14 02:24:00+08:00,3193.33,开盘成交,fanshen_arrows_next_open,1.203363914373096,0.9616322629969426,1.3818807339449652,False
空,2026-01-14 17:57:00+08:00,3326.65,3332.65,2026-01-14 18:12:00+08:00,3332.65,该K线内止损，精确秒未知,initial_stop,-1.0,-2.1088833333332904,0.1583333333333788,False
空,2026-01-16 10:15:00+08:00,3298.96,3313.1800000000003,2026-01-16 12:42:00+08:00,3282.39,开盘成交,fanshen_arrows_next_open,1.1652601969057572,0.7012714486638443,1.614627285513335,False
多,2026-01-16 16:12:00+08:00,3317.29,3306.28,2026-01-16 17:57:00+08:00,3306.28,该K线内止损，精确秒未知,initial_stop,-1.0,-1.6025958219800334,0.0644868301544097,False
空,2026-01-16 18:18:00+08:00,3301.88,3307.08,2026-01-16 20:18:00+08:00,3307.08,该K线内止损，精确秒未知,initial_stop,-1.0,-2.2699538461538564,1.8519230769231627,False
多,2026-01-16 20:39:00+08:00,3309.18,3302.94,2026-01-16 20:54:00+08:00,3302.94,该K线内止损，精确秒未知,initial_stop,-1.0,-2.0606346153846347,0.7083333333333698,False
空,2026-01-16 22:54:00+08:00,3294.65,3308.9,2026-01-16 23:09:00+08:00,3308.9,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4624070175438706,0.6463157894736867,False
多,2026-01-16 23:12:00+08:00,3309.25,3283.9,2026-01-16 23:18:00+08:00,3283.9,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2610848126232754,0.0134122287968499,False
空,2026-01-16 23:42:00+08:00,3260.79,3300.29,2026-01-17 05:03:00+08:00,3292.77,开盘成交,opposite_v6_next_open,-0.8096202531645574,-0.974723544303806,0.2225316455696193,False
多,2026-01-17 13:39:00+08:00,3290.85,3288.39,2026-01-17 14:00:00+08:00,3288.39,该K线内止损，精确秒未知,initial_stop,-1.0,-3.675487804877976,0.7113821138211277,False
多,2026-01-17 16:09:00+08:00,3291.96,3287.12,2026-01-17 19:24:00+08:00,3298.57,开盘成交,fanshen_arrows_next_open,1.3657024793388282,0.0053884297521098,2.254132231404861,False
多,2026-01-20 01:00:00+08:00,3221.39,3214.02,2026-01-20 02:03:00+08:00,3214.02,该K线内止损，精确秒未知,initial_stop,-1.0,-1.874189959294426,0.447761194029882,False
空,2026-01-20 04:48:00+08:00,3214.36,3220.5,2026-01-20 08:03:00+08:00,3198.24,该K线内止损，精确秒未知,trailing_stop,2.625407166123815,1.5783843648208813,8.143322475570201,False
空,2026-01-21 16:39:00+08:00,2957.06,2970.65,2026-01-21 17:18:00+08:00,2970.65,该K线内止损，精确秒未知,initial_stop,-1.0,-1.435181751287707,0.1280353200882827,False
空,2026-01-21 17:57:00+08:00,2955.29,2970.39,2026-01-21 20:00:00+08:00,2942.18,开盘成交,fanshen_arrows_next_open,0.868211920529815,0.4767827814569628,1.343708609271529,False
空,2026-01-22 14:30:00+08:00,3008.67,3020.81,2026-01-22 14:45:00+08:00,3020.81,该K线内止损，精确秒未知,initial_stop,-1.0,-1.495662273476119,0.0551894563426754,False
空,2026-01-22 16:12:00+08:00,2997.03,3007.56,2026-01-22 17:06:00+08:00,3007.56,该K线内止损，精确秒未知,initial_stop,-1.0,-1.569236467236462,0.6619183285850354,False
空,2026-01-22 19:27:00+08:00,2986.04,3006.16,2026-01-22 21:30:00+08:00,3006.16,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2968230616302132,0.491550695825046,False
多,2026-01-23 08:15:00+08:00,2951.92,2945.27,2026-01-23 08:33:00+08:00,2945.27,该K线内止损，精确秒未知,initial_stop,-1.0,-1.8877954887217712,0.7578947368420894,False
多,2026-01-23 09:39:00+08:00,2965.71,2952.21,2026-01-23 10:57:00+08:00,2952.21,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4393644444444451,0.3592592592592525,False
多,2026-01-23 12:12:00+08:00,2967.25,2960.91,2026-01-23 13:24:00+08:00,2965.17,该K线内止损，精确秒未知,trailing_stop,-0.3280757097791608,-1.2641167192428522,2.572555205047251,False
空,2026-01-24 13:48:00+08:00,2957.8,2964.18,2026-01-24 17:09:00+08:00,2961.45,开盘成交,opposite_v6_next_open,-0.5721003134795978,-1.4993103448276368,0.8307210031348697,False
多,2026-01-24 17:09:00+08:00,2961.45,2958.71,2026-01-24 17:39:00+08:00,2958.71,该K线内止损，精确秒未知,initial_stop,-1.0,-3.1616423357665995,0.7445255474453015,False
空,2026-01-24 20:06:00+08:00,2957.59,2961.92,2026-01-24 20:30:00+08:00,2961.92,该K线内止损，精确秒未知,initial_stop,-1.0,-2.3660923787529744,0.0,False
多,2026-01-27 09:27:00+08:00,2928.29,2912.29,2026-01-27 14:36:00+08:00,2928.91,开盘成交,opposite_v6_next_open,0.0387499999999931,-0.3272862500000194,1.774374999999992,False
空,2026-01-27 16:27:00+08:00,2925.19,2931.5,2026-01-27 17:18:00+08:00,2913.24,开盘成交,fanshen_arrows_next_open,1.893819334389917,0.9666592709984712,2.5435816164818257,False
多,2026-01-28 14:06:00+08:00,3010.84,2999.31,2026-01-28 16:09:00+08:00,2999.31,该K线内止损，精确秒未知,initial_stop,-1.0,-1.5222619254119485,0.5437987857762249,False
空,2026-01-29 08:06:00+08:00,3005.97,3013.38,2026-01-29 10:54:00+08:00,2951.01,开盘成交,fanshen_arrows_next_open,7.41700404858263,6.605676113360011,8.632928475033351,False
空,2026-01-30 23:33:00+08:00,2700.28,2737.82,2026-01-30 23:33:00+08:00,2737.82,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1438614810868373,0.0,False
空,2026-01-31 01:09:00+08:00,2708.11,2731.98,2026-01-31 01:21:00+08:00,2731.98,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2269049015500644,0.0150816925010527,False
空,2026-01-31 15:36:00+08:00,2680.99,2692.9,2026-01-31 15:45:00+08:00,2673.88,开盘成交,fanshen_arrows_next_open,0.596977329974768,0.1467691015952748,1.2434928631401814,False
多,2026-02-01 18:09:00+08:00,2429.96,2419.12,2026-02-01 18:33:00+08:00,2419.12,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4483321033210372,0.7416974169741565,False
多,2026-02-03 06:36:00+08:00,2348.73,2336.81,2026-02-03 08:00:00+08:00,2336.81,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3940822147651013,0.5159395973154407,False
空,2026-02-03 08:06:00+08:00,2333.93,2350.11,2026-02-03 08:57:00+08:00,2350.11,该K线内止损，精确秒未知,initial_stop,-1.0,-1.288495673671192,0.647713226205181,False
空,2026-02-03 10:12:00+08:00,2330.64,2354.89,2026-02-03 10:51:00+08:00,2304.75,开盘成交,fanshen_arrows_next_open,1.0676288659793762,0.8754111340206088,1.207422680412361,False
多,2026-02-03 12:00:00+08:00,2342.46,2319.54,2026-02-03 12:48:00+08:00,2348.58,开盘成交,fanshen_arrows_next_open,0.2670157068062771,0.0626125654450303,0.515706806282728,False
空,2026-02-03 13:18:00+08:00,2322.79,2342.75,2026-02-03 20:12:00+08:00,2294.34,该K线内止损，精确秒未知,trailing_stop,1.425350701402794,1.192606212424839,3.1412825651302456,False
空,2026-02-04 17:27:00+08:00,2259.77,2277.4500000000003,2026-02-04 19:15:00+08:00,2232.77,开盘成交,fanshen_arrows_next_open,1.5271493212669431,1.2715192307692138,1.9191176470587827,False
空,2026-02-04 20:33:00+08:00,2240.42,2263.63,2026-02-04 21:27:00+08:00,2230.96,开盘成交,fanshen_arrows_next_open,0.4075829383886265,0.2145264971994878,0.6186988367083199,False
多,2026-02-06 21:12:00+08:00,1933.18,1917.06,2026-02-06 21:24:00+08:00,1953.41,开盘成交,fanshen_arrows_next_open,1.2549627791563194,1.0151141439206,1.4633995037220686,False
多,2026-02-07 11:12:00+08:00,2075.84,2053.2,2026-02-07 13:12:00+08:00,2093.91,开盘成交,fanshen_arrows_next_open,0.7981448763250639,0.6147667844522834,1.885600706713756,False
空,2026-02-10 11:12:00+08:00,2098.76,2111.04,2026-02-10 13:30:00+08:00,2062.51,开盘成交,fanshen_arrows_next_open,2.951954397394198,2.61013680781765,3.8835504885994334,False
