方向,入场北京时间,入场价,初始止损,退出根北京时间,退出价,退出时间说明,退出原因,毛R,净R,审慎MFE_R,是否边界未平
空,2026-01-13 07:00:00+08:00,3093.93,3130.9,2026-01-13 13:00:00+08:00,3130.9,该K线内止损，精确秒未知,initial_stop,-1.0,-1.16737516905599,0.2009737625101375,False
空,2026-02-10 12:00:00+08:00,2064.29,2128.9,2026-02-13 02:00:00+08:00,1909.43,开盘成交,fanshen_arrows_next_open,2.3968425940256863,2.332942578548205,2.6149202909766247,False
空,2026-02-19 04:00:00+08:00,1940.14,1982.54,2026-02-19 14:00:00+08:00,1982.54,该K线内止损，精确秒未知,initial_stop,-1.0,-1.091516037735846,0.1403301886792468,False
空,2026-02-19 21:30:00+08:00,1931.81,1965.93,2026-02-20 15:30:00+08:00,1965.93,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1132362250879253,0.765533411488857,False
多,2026-02-21 17:30:00+08:00,1974.61,1957.68,2026-02-22 21:30:00+08:00,1957.68,该K线内止损，精确秒未知,initial_stop,-1.0,-1.233267572356762,1.2486709982280155,False
多,2026-03-31 10:30:00+08:00,2076.76,2011.8,2026-03-31 17:30:00+08:00,2011.8,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0639396551724118,0.0244766009852168,False
空,2026-03-31 18:00:00+08:00,2017.49,2061.16,2026-03-31 21:00:00+08:00,2061.16,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0923970689260394,0.0341195328600873,False
多,2026-03-31 22:30:00+08:00,2085.51,2030.67,2026-04-02 19:00:00+08:00,2030.67,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0760579868708957,1.4936177972282938,False
多,2026-04-06 02:00:00+08:00,2061.41,2043.81,2026-04-06 09:00:00+08:00,2121.0,开盘成交,fanshen_arrows_next_open,3.3857954545454803,3.151544318181831,4.156818181818221,False
多,2026-04-14 04:00:00+08:00,2261.11,2214.18,2026-04-14 08:30:00+08:00,2365.4,开盘成交,fanshen_arrows_next_open,2.2222458981461606,2.125884935009576,2.8742808438099092,False
多,2026-04-22 22:00:00+08:00,2415.95,2384.98,2026-04-23 00:30:00+08:00,2384.98,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1560187278011018,0.2208588957055276,False
空,2026-04-26 00:30:00+08:00,2307.76,2319.02,2026-04-26 06:30:00+08:00,2319.02,该K线内止损，精确秒未知,initial_stop,-1.0,-1.4099040852575553,0.8099467140320192,False
多,2026-04-26 22:30:00+08:00,2349.13,2321.68,2026-04-27 13:30:00+08:00,2321.68,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1711570127504547,1.9989071038251127,False
空,2026-04-27 14:30:00+08:00,2324.41,2398.01,2026-04-27 15:00:00+08:00,2319.45,开盘成交,fanshen_arrows_next_open,0.0673913043478262,0.0042279891304358,0.1880434782608644,False
空,2026-04-27 23:30:00+08:00,2275.51,2331.73,2026-04-29 12:30:00+08:00,2331.73,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0809501956599057,0.3416933475631467,False
