方向,入场北京时间,入场价,初始止损,退出根北京时间,退出价,退出时间说明,退出原因,毛R,净R,审慎MFE_R,是否边界未平
空,2026-01-01 22:35:00+08:00,2979.33,2984.43,2026-01-01 22:50:00+08:00,2984.43,该K线内止损，精确秒未知,initial_stop,-1.0,-2.1683647058824342,0.2078431372548949,False
多,2026-01-02 01:35:00+08:00,2993.11,2981.32,2026-01-02 14:35:00+08:00,3021.97,开盘成交,fanshen_arrows_next_open,2.447837150127206,1.9401000848176244,3.541136556403743,False
多,2026-01-04 02:25:00+08:00,3115.56,3102.73,2026-01-04 14:40:00+08:00,3140.64,该K线内止损，精确秒未知,trailing_stop,1.9547934528449,1.469125487139541,4.008573655494944,False
多,2026-01-05 08:15:00+08:00,3152.79,3135.33,2026-01-05 12:25:00+08:00,3163.51,该K线内止损，精确秒未知,trailing_stop,0.6139747995418231,0.2528304696449364,3.96391752577319,False
空,2026-01-08 13:55:00+08:00,3142.85,3156.52,2026-01-08 14:35:00+08:00,3118.65,开盘成交,fanshen_arrows_next_open,1.7702999268470878,1.31048280907093,2.3130943672274853,False
多,2026-01-09 14:45:00+08:00,3122.28,3115.35,2026-01-09 15:20:00+08:00,3115.35,该K线内止损，精确秒未知,initial_stop,-1.0,-1.901090909090865,0.2481962481962089,False
空,2026-01-09 16:40:00+08:00,3097.22,3115.07,2026-01-09 17:00:00+08:00,3081.67,开盘成交,fanshen_arrows_next_open,0.8711484593837204,0.5241210084033363,1.7512605042016318,False
空,2026-01-11 02:00:00+08:00,3091.37,3095.92,2026-01-11 06:00:00+08:00,3085.0,开盘成交,fanshen_arrows_next_open,1.39999999999992,0.0411560439560349,1.839560439560342,False
空,2026-01-16 23:30:00+08:00,3288.0,3312.42,2026-01-17 05:35:00+08:00,3294.01,开盘成交,opposite_v6_next_open,-0.2461097461097543,-0.5153972153972347,1.4742014742014695,False
多,2026-01-17 19:30:00+08:00,3299.4,3289.87,2026-01-18 05:30:00+08:00,3309.09,该K线内止损，精确秒未知,trailing_stop,1.0167890870933736,0.3243651626442544,3.137460650577069,False
多,2026-01-18 16:50:00+08:00,3313.33,3306.74,2026-01-18 22:55:00+08:00,3322.19,该K线内止损，精确秒未知,trailing_stop,1.3444613050076697,0.3388983308043285,5.107738998482767,False
空,2026-01-23 14:35:00+08:00,2945.04,2974.36,2026-01-23 23:55:00+08:00,2946.38,开盘成交,opposite_v6_next_open,-0.0457025920873171,-0.2465920873124082,1.8751705320600176,False
多,2026-01-24 19:25:00+08:00,2962.5,2959.75,2026-01-24 19:55:00+08:00,2959.75,该K线内止损，精确秒未知,initial_stop,-1.0,-3.1545454545454517,0.2072727272727868,False
空,2026-01-24 22:05:00+08:00,2951.14,2960.55,2026-01-24 23:00:00+08:00,2960.55,该K线内止损，精确秒未知,initial_stop,-1.0,-1.6272348565355963,0.4388947927735939,False
空,2026-01-25 00:30:00+08:00,2953.99,2961.56,2026-01-25 01:10:00+08:00,2961.56,该K线内止损，精确秒未知,initial_stop,-1.0,-1.7804464993395004,0.3645970937912423,False
空,2026-01-25 03:15:00+08:00,2956.83,2963.63,2026-01-25 05:15:00+08:00,2950.59,开盘成交,fanshen_arrows_next_open,0.9176470588234727,0.0479911764705443,1.419117647058799,False
多,2026-01-25 06:15:00+08:00,2961.33,2952.99,2026-01-25 07:40:00+08:00,2952.99,该K线内止损，精确秒未知,initial_stop,-1.0,-1.7101510791367178,0.2230215827338365,False
空,2026-01-27 16:35:00+08:00,2923.95,2931.69,2026-01-27 17:25:00+08:00,2911.77,开盘成交,fanshen_arrows_next_open,1.573643410852644,0.8181007751937655,1.9134366925063944,False
多,2026-01-27 22:20:00+08:00,2928.72,2908.52,2026-01-27 22:35:00+08:00,2908.52,该K线内止损，精确秒未知,initial_stop,-1.0,-1.289972277227718,0.2400990099010102,False
多,2026-01-31 02:55:00+08:00,2736.29,2657.17,2026-01-31 03:05:00+08:00,2749.01,开盘成交,fanshen_arrows_next_open,0.1607684529828143,0.0916003538928241,0.247598584428718,False
空,2026-01-31 14:40:00+08:00,2686.14,2699.08,2026-02-01 07:20:00+08:00,2445.0,该K线内止损，精确秒未知,trailing_stop,18.635239567233295,18.22007109737241,34.70942812982983,False
空,2026-02-05 19:00:00+08:00,2096.86,2135.2200000000003,2026-02-05 19:35:00+08:00,2071.5,开盘成交,fanshen_arrows_next_open,0.6611053180396257,0.551779979144945,0.9608967674661106,False
空,2026-02-08 15:10:00+08:00,2070.54,2084.27,2026-02-08 15:55:00+08:00,2084.27,该K线内止损，精确秒未知,initial_stop,-1.0,-1.3016081573197258,0.2214129643117232,False
空,2026-02-11 05:35:00+08:00,2002.26,2016.28,2026-02-11 06:35:00+08:00,2016.28,该K线内止损，精确秒未知,initial_stop,-1.0,-1.2856291012838907,0.2660485021398019,False
空,2026-02-11 10:55:00+08:00,2016.4,2031.56,2026-02-11 11:25:00+08:00,2007.41,开盘成交,fanshen_arrows_next_open,0.5930079155672886,0.326992084432726,1.3324538258575356,False
多,2026-02-13 21:35:00+08:00,1977.17,1955.86,2026-02-14 07:10:00+08:00,2050.47,开盘成交,fanshen_arrows_next_open,3.4396996715157164,3.2541370248709507,4.475363679023939,False
