window,policy,schedule,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
validation,original,fixed,43,40,40,3,0,9,0,0,31,9,28,0,14,14,14,25,1.0,1.0,0.1837489134197053,0.01788571657573923,3,0,0.0,1.930778704004115,9.572991722341545,36.89670302570619,-34.96592432170212,,,,,1000,1001.9307787040041,18.246603515355105,1.9307787040040694,0.225,0.0,0.775,0.04826946760010288,0.23932479305853863,1.0552188664094804
validation,original,double,43,18,18,1,24,3,0,0,15,3,14,0,9,9,9,9,256.0,512.0,8.82650955534517,0.3423156294955446,3,0,0.0,9.17720408553444,12.797061521075715,772.3419091165918,-629.7611691078678,,,,,1000,1142.580740008724,594.6974913902443,142.58074000872398,0.16666666666666666,0.0,0.8333333333333334,0.50984467141858,0.7109478622819841,1.2264044641093172
validation,trail3_atr,fixed,43,40,40,3,0,10,0,0,30,10,28,0,14,14,14,29,1.0,1.0,0.1871772067221143,0.020129220203035758,2,0,0.0,-16.49021691849281,-8.848003900155348,18.442755892083596,-34.9329728105763,,,,,1000,983.5097830815073,18.79654608516296,-16.490216918492706,0.25,0.0,0.75,-0.4122554229623202,-0.2212000975038837,0.5279469340353384
validation,trail3_atr,double,43,17,17,1,25,3,0,0,14,3,13,0,8,8,8,8,128.0,256.0,9.556707546601082,0.28802432689586444,3,0,0.0,-10.52345093105918,-7.121243731265856,73.10065691763225,-334.0435799447224,,,,,1000,739.0570769729098,298.97990222709893,-260.94292302709016,0.17647058823529413,0.0,0.8235294117647058,-0.6190265253564223,-0.4188966900744621,0.21883568883356166
validation,trail2_atr,fixed,43,40,40,3,0,10,0,0,30,10,28,0,14,14,14,29,1.0,1.0,0.18665845869606512,0.01936213400473341,2,0,0.0,-13.746314323173033,-6.104101304835577,21.186658487403406,-34.9329728105763,,,,,1000,986.2536856768271,16.778392928640983,-13.746314323172896,0.25,0.0,0.75,-0.3436578580793258,-0.15260253262088944,0.606494574689874
validation,trail2_atr,double,43,17,17,1,25,3,0,0,14,3,13,0,8,8,8,8,128.0,256.0,9.309809329112804,0.28112017546128387,3,0,0.0,-9.042898198574305,-5.640690998780979,98.5942540503579,-334.0435799447222,,,,,1000,764.5506741056357,298.9799022270987,-235.44932589436428,0.17647058823529413,0.0,0.8235294117647058,-0.5319351881514297,-0.3318053528694693,0.2951538660514696
validation,cost_be1,fixed,43,41,41,2,0,17,0,1,23,17,22,0,6,6,6,19,1.0,1.0,0.18430622028516475,0.014437000569164637,4,0,0.0,0.1853438738075437,8.058794863536383,26.86434570564859,-26.679001831840992,,,,,1000,1000.1853438738076,12.714266595667482,0.18534387380759654,0.4146341463414634,0.0,0.5609756097560976,0.00452058228798887,0.1965559722813752,1.0069471817190099
validation,cost_be1,double,43,20,20,0,23,7,0,1,12,7,12,0,6,6,6,8,128.0,256.0,7.934157067239402,0.2372401168650179,4,0,0.0,3.212050267190106,7.255688100768312,252.1121487863901,-310.3916879810025,,,,,1000,941.7204608053876,292.9019696964217,-58.279539194612425,0.35,0.0,0.6,0.16060251335950532,0.3627844050384156,0.8122387246459402
validation,cost_be2,fixed,43,40,40,3,0,11,0,0,29,11,27,0,14,14,14,23,1.0,1.0,0.18374287623108806,0.016789621990812575,3,0,0.0,3.2595719343683816,10.901784952705828,36.8970808175676,-33.6375088831993,,,,,1000,1003.2595719343683,16.91781028499088,3.259571934368296,0.275,0.0,0.725,0.08148929835920954,0.2725446238176457,1.0969028933054057
validation,cost_be2,double,43,18,18,1,24,3,0,0,15,3,14,0,9,9,9,9,256.0,512.0,8.82650955534517,0.3423156294955446,3,0,0.0,9.17720408553444,12.797061521075715,772.3419091165918,-629.7611691078678,,,,,1000,1142.580740008724,594.6974913902443,142.58074000872398,0.16666666666666666,0.0,0.8333333333333334,0.50984467141858,0.7109478622819841,1.2264044641093172
