window,start,end,policy,candidates,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,partial_trades,ambiguous_trades,paired_n,paired_delta_net_r,paired_improved,paired_worsened,saved_losers,lost_3r_winners,matched_n,matched_missing,random_mean_net_r,excess_net_r,p,months,target_censored,target_invalid,natural_target_n,controls_per_trade,permutations,p_holm
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,original,43,40,0,9,31,0,0.225,9.572991722341548,1.930778704004112,0.0482694676001028,0.19105532545843584,1.0552188664094815,14,14,28,0,2,2,18,9,18.246603515355147,0.0,0,0,40,0.0,0,0,0,0,37,3,-0.08149526179369748,0.21711962156867698,0.382,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,trail3_atr,43,40,0,10,30,0,0.25,-8.848003900155344,-16.490216918492802,-0.41225542296232004,0.1910553254584365,0.5279469340353354,14,14,28,0,1,1,18,8,20.175644810692347,0.0,0,0,40,-18.420995622496925,9,1,1,1,37,3,-0.18389576560506807,-0.178344621173923,0.7232,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,trail2_atr,43,40,0,10,30,0,0.25,-6.104101304835579,-13.746314323173038,-0.343657858079326,0.1910553254584365,0.6064945746898698,14,14,28,0,2,1,18,8,19.42084151700525,0.0,0,0,40,-15.677093027177154,8,2,1,1,37,3,-0.27137512097902877,-0.01670573619672533,0.5247,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,cost_be1,43,41,0,17,23,1,0.4146341463414634,8.058794863536388,0.1853438738075437,0.00452058228798887,0.19203538999338637,1.0069471817190077,6,6,22,0,2,2,19,1,14.623232252854415,0.0,0,0,40,-17.38545823721856,8,3,8,1,38,3,-0.06625841442742418,0.11828259208393348,0.3731,12,0,0,41,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,cost_be2,43,40,0,11,29,0,0.275,10.901784952705832,3.259571934368376,0.0814892983592094,0.19105532545843626,1.0969028933054081,14,14,27,0,2,2,18,7,17.12839261103972,0.0,0,0,40,1.3287932303642656,2,0,2,0,37,3,-0.07837658724374594,0.21489406863585894,0.3805,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,partial25_at2,43,40,0,10,30,0,0.25,6.486821969527435,-1.1553910488100243,-0.028884776220250607,0.19105532545843654,0.9654415700525284,14,14,26,0,1,1,18,8,17.12839261103974,0.0,12,0,40,-3.0861697528141416,9,3,1,1,37,3,-0.12710900674820436,0.15905310293361258,0.3729,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,partial50_at2,43,40,0,12,28,0,0.3,3.400652216713322,-4.241560801624139,-0.10603902004060348,0.19105532545843648,0.868857976324173,14,14,26,0,1,1,18,6,17.12839261103974,0.0,12,0,40,-6.172339505628254,9,3,3,1,37,3,-0.1727227517027112,0.10098658429854857,0.3817,12,0,0,40,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,fixed3r,43,40,0,10,30,0,0.25,-5.235814976218092,-12.878027994555524,-0.3219506998638881,0.19105532545843582,0.6175274159088722,14,14,27,0,6,0,18,8,19.59924956824036,0.0,0,0,40,-14.808806698559641,4,2,1,0,37,3,-0.3528735523431935,-0.01984821486992553,0.537,12,0,0,40,5,9999,1.0
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,original,21,17,0,9,8,0,0.5294117647058824,26.315755054748042,22.739913029701768,1.3376419429236335,0.21034364853213386,3.7858807448721254,2,2,5,0,5,5,12,3,3.2876000539177106,0.0,0,0,17,0.0,0,0,0,0,17,0,0.11109317716049896,1.2265487657631347,0.1846,4,0,0,17,5,9999,0.9888
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,trail3_atr,21,17,0,10,7,0,0.5882352941176471,15.597807197215099,12.02196517216881,0.707174421892283,0.21034364853213472,2.5783398654033114,2,2,5,0,2,1,12,2,2.9663373848611814,0.0,0,0,17,-10.717947857532957,5,4,1,4,17,0,0.059303999268374874,0.6478704226239081,0.1846,4,0,0,17,5,9999,0.9888
