arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1846,closed,,ETHUSDT,ETH,4h,2024-11-06 16:00:00+00:00
v9_long,2941,closed,,ETHUSDT,ETH,4h,2025-05-08 04:00:00+00:00
v9_long,3137,closed,,ETHUSDT,ETH,4h,2025-06-09 20:00:00+00:00
v9_long,4376,closed,,ETHUSDT,ETH,4h,2026-01-02 08:00:00+00:00
v9_long,4444,closed,,ETHUSDT,ETH,4h,2026-01-13 16:00:00+00:00
v9_long,4811,closed,,ETHUSDT,ETH,4h,2026-03-15 20:00:00+00:00
v9_long,4986,closed,,ETHUSDT,ETH,4h,2026-04-14 00:00:00+00:00
v10_4,3141,closed,,ETHUSDT,ETH,4h,2025-06-10 12:00:00+00:00
v10_4,4376,closed,,ETHUSDT,ETH,4h,2026-01-02 08:00:00+00:00
box_chart,1847,closed,,ETHUSDT,ETH,4h,2024-11-06 20:00:00+00:00
box_chart,3141,closed,,ETHUSDT,ETH,4h,2025-06-10 12:00:00+00:00
box_any,1847,closed,,ETHUSDT,ETH,4h,2024-11-06 20:00:00+00:00
box_any,3141,closed,,ETHUSDT,ETH,4h,2025-06-10 12:00:00+00:00
