signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,source,box_entry_i,bars_after_v9
1846,2024-11-06 16:00:00+00:00,1847,2024-11-06 20:00:00+00:00,2687.74,2407.6,280.1399999999999,0.10422883165782401,1895,2024-11-14 20:00:00+00:00,3040.0,trailing_stop,0.13106178424996484,0.12906178424996484,1.2574427072178218,1.2382541586349705,False,2.7174270007853236,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:1846,ETHUSDT,ETH,4h,,1846,0
2941,2025-05-08 04:00:00+00:00,2942,2025-05-08 08:00:00+00:00,1927.81,1778.8500000000001,148.9599999999998,0.07726902547450205,3005,2025-05-18 20:00:00+00:00,2343.01,trailing_stop,0.21537392170390257,0.21337392170390257,2.787325456498395,2.761441863587547,False,5.443139097744368,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:2941,ETHUSDT,ETH,4h,,2941,0
3137,2025-06-09 20:00:00+00:00,3138,2025-06-10 00:00:00+00:00,2679.13,2466.73,212.4000000000001,0.07927946758835894,3156,2025-06-13 00:00:00+00:00,2466.73,initial_stop,-0.07927946758835891,-0.08127946758835891,-0.9999999999999997,-1.025227212806026,False,0.9410075329566846,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:3137,ETHUSDT,ETH,4h,,3137,0
4376,2026-01-02 08:00:00+00:00,4377,2026-01-02 12:00:00+00:00,3046.69,2972.84,73.84999999999991,0.0242394204858387,4411,2026-01-08 04:00:00+00:00,3093.42,trailing_stop,0.015337956930308039,0.013337956930308037,0.6327691266079927,0.5502589031821292,False,3.538388625592421,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:4376,ETHUSDT,ETH,4h,,4376,0
4444,2026-01-13 16:00:00+00:00,4445,2026-01-13 20:00:00+00:00,3214.46,3081.9300000000003,132.52999999999975,0.04122932001020381,4485,2026-01-20 12:00:00+00:00,3108.15,opposite_v6_next_open,-0.03307242896162965,-0.035072428961629654,-0.802158001961822,-0.8506671696974291,False,1.42843129857391,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:4444,ETHUSDT,ETH,4h,,4444,0
4811,2026-03-15 20:00:00+00:00,4812,2026-03-16 00:00:00+00:00,2177.73,2077.41,100.32000000000016,0.046066316761031054,4847,2026-03-21 20:00:00+00:00,2077.41,initial_stop,-0.04606631676103101,-0.048066316761031014,-0.9999999999999991,-1.0434156698564585,False,2.073863636363635,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:4811,ETHUSDT,ETH,4h,,4811,0
4986,2026-04-14 00:00:00+00:00,4987,2026-04-14 04:00:00+00:00,2364.69,2165.59,199.0999999999999,0.08419708291573098,5082,2026-04-30 00:00:00+00:00,2251.53,opposite_v6_next_open,-0.04785405275110055,-0.04985405275110055,-0.5683576092415873,-0.5921114013058766,False,0.4980914113510804,closed,v9_long,binance_um:ETHUSDT:4h:v9_long:4986,ETHUSDT,ETH,4h,,4986,0
3141,2025-06-10 12:00:00+00:00,3142,2025-06-10 16:00:00+00:00,2731.84,2563.62,168.22000000000025,0.06157754480496671,3156,2025-06-13 00:00:00+00:00,2563.62,initial_stop,-0.06157754480496669,-0.06357754480496669,-0.9999999999999997,-1.0324793722506238,False,0.8748068006182358,closed,v10_4,binance_um:ETHUSDT:4h:joint:3141,ETHUSDT,ETH,4h,chart,3137,4
4376,2026-01-02 08:00:00+00:00,4377,2026-01-02 12:00:00+00:00,3046.69,2972.84,73.84999999999991,0.0242394204858387,4411,2026-01-08 04:00:00+00:00,3093.42,trailing_stop,0.015337956930308039,0.013337956930308037,0.6327691266079927,0.5502589031821292,False,3.538388625592421,closed,v10_4,binance_um:ETHUSDT:4h:joint:4376,ETHUSDT,ETH,4h,,4376,0
1847,2024-11-06 20:00:00+00:00,1848,2024-11-07 00:00:00+00:00,2722.5,2548.69,173.80999999999995,0.063842056932966,1895,2024-11-14 20:00:00+00:00,3040.0,trailing_stop,0.11662075298438945,0.11462075298438945,1.8267073240895253,1.7953800126575017,False,4.1798515620505166,closed,box_chart,binance_um:ETHUSDT:4h:box_chart:1847,ETHUSDT,ETH,4h,chart,1846,1
3141,2025-06-10 12:00:00+00:00,3142,2025-06-10 16:00:00+00:00,2731.84,2563.62,168.22000000000025,0.06157754480496671,3156,2025-06-13 00:00:00+00:00,2563.62,initial_stop,-0.06157754480496669,-0.06357754480496669,-0.9999999999999997,-1.0324793722506238,False,0.8748068006182358,closed,box_chart,binance_um:ETHUSDT:4h:box_chart:3141,ETHUSDT,ETH,4h,chart,3137,4
1847,2024-11-06 20:00:00+00:00,1848,2024-11-07 00:00:00+00:00,2722.5,2548.69,173.80999999999995,0.063842056932966,1895,2024-11-14 20:00:00+00:00,3040.0,trailing_stop,0.11662075298438945,0.11462075298438945,1.8267073240895253,1.7953800126575017,False,4.1798515620505166,closed,box_any,binance_um:ETHUSDT:4h:box_any:1847,ETHUSDT,ETH,4h,chart,1846,1
3141,2025-06-10 12:00:00+00:00,3142,2025-06-10 16:00:00+00:00,2731.84,2563.62,168.22000000000025,0.06157754480496671,3156,2025-06-13 00:00:00+00:00,2563.62,initial_stop,-0.06157754480496669,-0.06357754480496669,-0.9999999999999997,-1.0324793722506238,False,0.8748068006182358,closed,box_any,binance_um:ETHUSDT:4h:box_any:3141,ETHUSDT,ETH,4h,chart,3137,4
