variant,timeframe_min,rule,month_block_label_permutation_p,baseline_candidates,candidate_retention,baseline_realized_ge_10r_count,kept_realized_ge_10r_count,exact_entry_10r_retention,slice,metric,candidates,closed,censored,mean_net_r,median_net_r,win_rate,realized_ge_10r_count,realized_ge_10r,mae_r_exit_bar_window_approx_median,mae_r_exit_bar_window_approx_p05,matched,matched_delta_net_r,matched_signflip_p
v1_common_execution_long,30,joint_delta_60m > 0,0.033596640335966405,653,0.7274119448698315,2,2,1.0,candidate,joint_delta_60m,475,475,0,0.07056908344517518,-0.8580459916959435,0.3157894736842105,2,0.004210526315789474,-0.9877300613497237,-1.4003655352480469,0,,
v1_common_execution_long,60,joint_delta_60m > 0,0.14978502149785022,427,0.7423887587822015,2,2,1.0,candidate,joint_delta_60m,317,317,0,-0.33721143808001364,-1.0175478547854788,0.19558359621451105,2,0.006309148264984227,-1.0223214285714288,-1.5013546233885235,0,,
v1_common_execution_long,240,joint_delta_60m > 0,0.10688931106889311,74,0.44594594594594594,2,0,0.0,candidate,joint_delta_60m,33,33,0,-0.5666418644751509,-1.0087266666666668,0.24242424242424243,0,0.0,-1.003484320557528,-1.254973008042508,0,,
v7_bb_long,30,joint_delta_60m > 0,0.36136386361363865,8513,0.5612592505579702,75,40,0.5333333333333333,candidate,joint_delta_60m,4778,4778,0,0.0436833173937915,-1.036090025516224,0.29656760150690664,40,0.008371703641691083,-1.022603366274808,-1.539897215335302,0,,
v7_bb_long,60,joint_delta_60m > 0,0.0943905609439056,4534,0.4691221879135421,30,13,0.43333333333333335,candidate,joint_delta_60m,2127,2127,0,-0.11826102885717725,-1.027961240310077,0.3018335684062059,13,0.0061118946873530795,-1.0263157894736883,-1.4812872353608413,0,,
v7_bb_long,240,joint_delta_60m > 0,0.7812218778122187,958,0.4718162839248434,11,2,0.18181818181818182,candidate,joint_delta_60m,452,452,0,0.15042867276135516,-1.014405708947598,0.29646017699115046,2,0.004424778761061947,-1.0318693175507354,-1.5321609930412052,0,,
