variant,timeframe_min,threshold,slice,metric,candidates,closed,censored,mean_net_r,median_net_r,win_rate,realized_ge_10r_count,realized_ge_10r,mae_r_exit_bar_window_approx_median,mae_r_exit_bar_window_approx_p05,matched,matched_delta_net_r,matched_signflip_p
v1_common_execution_long,30,0.5330578512396694,bottom_quartile,up_participation,164,164,0,-0.39000484550637415,-1.022956453827345,0.18902439024390244,1,0.006097560975609756,-1.0242522492265753,-1.5045799595141705,0,,
v1_common_execution_long,30,0.8852459016393442,top_quartile,up_participation,166,166,0,0.04005628526969507,-0.7305810266537256,0.3493975903614458,0,0.0,-0.8733721278002009,-1.2607997850302903,0,,
v1_common_execution_long,30,0.575,bottom_quartile,fast_breadth,164,164,0,-0.43106393548574173,-1.0224629383972146,0.20121951219512196,1,0.006097560975609756,-1.0230961682405897,-1.3880692379182293,0,,
v1_common_execution_long,30,0.8774038461538461,top_quartile,fast_breadth,164,164,0,0.03652058568196597,-0.715032816119985,0.36585365853658536,0,0.0,-0.8695652173913204,-1.2490920675374342,0,,
v1_common_execution_long,30,0.28958333333333336,bottom_quartile,joint_breadth,164,164,0,-0.42424813888115304,-1.0220647647215517,0.18902439024390244,1,0.006097560975609756,-1.0271274278308482,-1.437584138052417,0,,
v1_common_execution_long,30,0.8258064516129032,top_quartile,joint_breadth,164,164,0,-0.06016384584788956,-0.7321114495813226,0.32926829268292684,0,0.0,-0.8960472765218641,-1.2506771586117926,0,,
v1_common_execution_long,30,-0.017006802721088426,bottom_quartile,joint_delta_30m,164,164,0,-0.2273558422872898,-1.0136449727318597,0.22560975609756098,1,0.006097560975609756,-1.009398331137459,-1.4666417471030062,0,,
v1_common_execution_long,30,0.35208333333333336,top_quartile,joint_delta_30m,164,164,0,-0.005114239504680492,-1.02773559720043,0.29878048780487804,0,0.0,-1.0085136683074842,-1.4172534746947358,0,,
v1_common_execution_long,30,-0.012987012987012991,bottom_quartile,joint_delta_60m,164,164,0,-0.24808497394764464,-1.0207480150087953,0.24390243902439024,0,0.0,-1.0219324323421626,-1.3171802661293632,0,,
v1_common_execution_long,30,0.4353876739562624,top_quartile,joint_delta_60m,164,164,0,-0.000360320835360899,-1.010827167873193,0.29878048780487804,0,0.0,-1.0008710801393823,-1.4051305984861877,0,,
v1_common_execution_long,30,7.0,bottom_quartile,launch_density_1h,165,165,0,-0.2654930439876038,-1.0208896321070229,0.2727272727272727,0,0.0,-1.012158054711246,-1.347078353253661,0,,
v1_common_execution_long,30,41.0,top_quartile,launch_density_1h,164,164,0,-0.01939166051506902,-0.7803876787557128,0.3048780487804878,0,0.0,-0.9799451386772338,-1.2903354296813636,0,,
v1_common_execution_long,30,0.2732919254658385,bottom_quartile,rv_tr_atr_expansion,164,164,0,-0.23100893169441797,-1.0136449727318597,0.2621951219512195,0,0.0,-1.0118520859671323,-1.5303221196336956,0,,
v1_common_execution_long,30,0.8988095238095238,top_quartile,rv_tr_atr_expansion,166,166,0,-0.22628721954119704,-0.7750652360782946,0.2891566265060241,0,0.0,-0.9737057738224442,-1.2844780219781113,0,,
v1_common_execution_long,30,0.00042920151436465215,bottom_quartile,return_median_30m,164,164,0,-0.38772915194090185,-1.022956453827345,0.18902439024390244,1,0.006097560975609756,-1.0230961682405897,-1.5045799595141705,0,,
v1_common_execution_long,30,0.010596278774674062,top_quartile,return_median_30m,164,164,0,0.110370900528619,-0.6576584579680264,0.3780487804878049,0,0.0,-0.8401358913669805,-1.2403231471724823,0,,
v1_common_execution_long,30,0.004515092077149674,bottom_quartile,return_iqr_30m,164,164,0,-0.2173553726689192,-1.0268569430500856,0.25609756097560976,1,0.006097560975609756,-1.0173983262370174,-1.3433374357489694,0,,
v1_common_execution_long,30,0.008890527973102302,top_quartile,return_iqr_30m,164,164,0,-0.06864871617674015,-0.7253579614569216,0.3170731707317073,0,0.0,-0.8699077245436752,-1.2403231471724823,0,,
v1_common_execution_long,30,-1.3970968327781108e-05,bottom_quartile,btc_return_30m,164,164,0,-0.40526073759131886,-1.0228975530664677,0.1951219512195122,1,0.006097560975609756,-1.0277788366521194,-1.496865337638158,0,,
v1_common_execution_long,30,0.004713562296121854,top_quartile,btc_return_30m,164,164,0,-0.003319718798926918,-0.6753827334802048,0.3353658536585366,0,0.0,-0.8612062989006646,-1.2506771586117926,0,,
v1_common_execution_long,30,0.00019521041793924,bottom_quartile,eth_return_30m,164,164,0,-0.25747852323065706,-1.018712152687505,0.24390243902439024,1,0.006097560975609756,-1.0186337540796773,-1.4666417471030062,0,,
