system,period,trim_k,assets_kept,closed,net_r,mean_r,pf_r,matched_pairs,paired_excess_r,p_month_signflip
v1_native,full,0,751,6116,854.6991098267192,0.13974805589056888,1.1842113685897904,,,
v1_native,later,0,751,4448,1128.7938385691548,0.253775593203497,1.3414085692673448,,,
v1_native,full,1,749,6093,-238.02774499056812,-0.039065771375442,0.9475330921041157,,,
v1_native,later,1,749,4436,-36.28294910055439,-0.008179204035291793,0.988923204820343,,,
v1_native,full,3,745,6016,-360.2471015552877,-0.0598814995936316,0.9197461477128288,,,
v1_native,later,3,745,4385,-166.30749265215638,-0.03792645214416337,0.948882540767724,,,
v1_native,full,5,741,5924,-453.1680376793491,-0.07649696787294887,0.8974748047014147,,,
v1_native,later,5,741,4324,-248.01594446192723,-0.057357989005996125,0.9225756486497829,,,
v1_native,full,10,731,5734,-585.5544449293678,-0.10211971484641923,0.8632861118397852,,,
v1_native,later,10,731,4192,-299.41656758143495,-0.07142570791541865,0.9036135582008936,,,
v1_common,full,0,753,6138,1060.9829957100987,0.17285483801076879,1.2590179035312496,,,
v1_common,later,0,753,4470,1243.1820455591796,0.27811678871570017,1.422622240274867,,,
v1_common,full,1,751,6115,-34.90514450155085,-0.005708118479403246,0.9912657414099891,,,
v1_common,later,1,751,4458,77.05887158873071,0.017285525255435332,1.0264625313996887,,,
v1_common,full,3,747,6017,-144.80551780440786,-0.02406606578102175,0.9632912566712524,,,
v1_common,later,3,747,4401,-16.59480845587768,-0.003770690401244644,0.9942509720306437,,,
v1_common,full,5,743,5945,-247.73580514944953,-0.041671287661808165,0.9363737469193404,,,
v1_common,later,5,743,4339,-118.86870812577816,-0.027395415562520894,0.9581398883580792,,,
v1_common,full,10,733,5766,-385.5471271246238,-0.06686561344513073,0.8978367228789855,,,
v1_common,later,10,733,4208,-173.60440326643499,-0.04125579925533151,0.9369143231736445,,,
v9,full,0,820,81854,2758.1663566277025,0.03369617070183134,1.0497409154833826,81703.0,0.06280841469060518,0.01699150424787606
v9,later,0,820,50021,-2089.1872998146705,-0.04176620419053339,0.9401374674427215,49874.0,0.018800677169681486,0.1924037981009495
v9,full,1,818,81300,2593.523378959636,0.0319006565677692,1.0470975473824469,81149.0,0.06348613594527927,0.017491254372813594
v9,later,1,818,49749,-2187.3048597316415,-0.043966810583763324,0.9370030170395566,49602.0,0.016091833354249043,0.20189905047476261
v9,full,3,814,80637,2360.8229863071674,0.02927716787959829,1.0432452556119385,80487.0,0.06104628490276667,0.022488755622188907
v9,later,3,814,49282,-2456.3877438857235,-0.04984350764753304,0.9285788452435912,49136.0,0.010399013807901352,0.2843578210894553
v9,full,5,810,79818,2265.430764294301,0.028382454637980167,1.0419242187495683,79669.0,0.06211626277273641,0.02048975512243878
v9,later,5,810,48794,-2556.1803621389163,-0.05238718617327778,0.9249577898316643,48649.0,0.00879817895424031,0.30934532733633185
v9,full,10,800,77410,2022.4954274880884,0.026127056291022972,1.038605096455363,77263.0,0.06229394799183015,0.01999000499750125
v9,later,10,800,47543,-2415.1122718280617,-0.05079848288555753,0.9271993395937553,47400.0,0.010977127343986991,0.2683658170914543
