system,asset,closed,net_r
v1_native,USDC,16,-101.00552224191483
v1_native,GMX,23,-19.270508482954682
v1_native,MOODENG,18,-17.926289702863393
v1_native,AUCTION,17,-17.74568085584153
v1_native,MEME,18,-16.33740949694987
v1_native,LQTY,18,-16.037387899715025
v1_native,WLFI,19,-15.699381632547059
v1_native,BAN,17,-15.424370175784416
v1_native,SPELL,18,-14.971880114965359
v1_native,BLUR,14,-14.592315005755333
v1_native,MASK,16,-14.05070224576007
v1_native,SIGN,13,-13.809171199661979
v1_native,ENJ,13,-13.588518111659127
v1_native,ON,13,-13.423031741439088
v1_native,PYTH,13,-13.384174728200257
v1_native,BTC,31,-13.368234690950786
v1_native,COAI,13,-13.343036034458299
v1_native,UNI,23,-13.329521870608206
v1_native,AIXBT,25,-12.9921430240671
v1_native,GAS,14,-12.766830037530257
v1_native,TRUST,19,-12.625020089877715
v1_native,SPK,12,-12.463514150091093
v1_native,JTO,12,-12.426586665400977
v1_native,FIDA,12,-12.420486619783961
v1_native,ARKM,12,-12.342046436407081
v1_native,PIPPIN,23,-12.178735097078492
v1_native,WLD,18,-12.14565208762438
v1_native,USTC,13,-12.128839843556657
v1_native,MOVE,16,-12.09884794647338
v1_native,ANIME,18,-11.655327952471835
v1_native,RESOLV,14,-11.61595610747016
v1_native,ASR,14,-11.42923870616774
v1_native,STORJ,11,-11.422330965895075
v1_native,SWELL,11,-11.314748848156398
v1_native,KSM,11,-11.222977140399145
v1_native,MUBARAK,16,-11.218736093854767
v1_native,ACT,25,-11.204980973997616
v1_native,DEGO,12,-11.17205670522149
v1_native,CYBER,15,-11.158184006455157
v1_native,FLOW,15,-11.115927206766571
v1_native,AGLD,25,-11.012837852928294
v1_native,SUI,20,-10.693776259351116
v1_native,ZK,19,-10.53980081215875
v1_native,ZBT,10,-10.453999540075557
v1_native,STX,17,-10.422131070320896
v1_native,F,10,-10.420537855312977
v1_native,MINA,10,-10.29271982587775
v1_native,CTSI,11,-9.899469060790793
v1_native,GLM,17,-9.878288829381695
v1_native,BIO,14,-9.650331892150621
v1_native,PTB,11,-9.609941021561784
v1_native,ORCA,11,-9.60529933879836
v1_native,ARK,9,-9.49897541834539
v1_native,LUNA2,9,-9.480974783059661
v1_native,KAITO,9,-9.379425628124197
v1_native,MOCA,9,-9.352836759051385
v1_native,HIVE,9,-9.35084627030767
v1_native,OM,9,-9.312044589540402
v1_native,TA,9,-9.28925173711516
v1_native,ALLO,9,-9.26805212438365
v1_native,COS,13,-8.997872295677572
v1_native,IOST,11,-8.89172961383019
v1_native,SWARMS,12,-8.8498590790211
v1_native,BOME,18,-8.694993561622116
v1_native,TST,11,-8.587947934348028
v1_native,ALGO,12,-8.568968965785968
v1_native,ACU,17,-8.53487047429811
v1_native,NMR,20,-8.507356461699747
v1_native,S,14,-8.487921143150773
v1_native,SYRUP,8,-8.480857852496934
v1_native,LUNA,8,-8.416917659106199
v1_native,SAND,8,-8.41040692593631
v1_native,OPG,8,-8.338275776122206
v1_native,MAV,8,-8.300602913678038
v1_native,GALA,8,-8.277198672704793
v1_native,1000000BOB,8,-8.270663167301699
v1_native,TLM,8,-8.199358150526068
v1_native,EIGEN,8,-8.163150848353206
v1_native,B2,11,-8.077212790729195
v1_native,ORDI,26,-8.028089611270628
v1_native,FIL,26,-7.89675148619156
v1_native,POPCAT,11,-7.843859723099397
v1_native,DEXE,12,-7.75100571877997
v1_native,ONT,14,-7.631744107695781
v1_native,MOVR,9,-7.628883607657498
v1_native,AEVO,11,-7.614521076749686
v1_native,币安人生,18,-7.576061187787735
v1_native,ATH,12,-7.518700628323604
v1_native,AAVE,18,-7.470200639971299
v1_native,PNUT,17,-7.415552157962597
v1_native,ZKP,7,-7.388121900508127
v1_native,ROBO,7,-7.360762024185831
v1_native,LRC,7,-7.249935559799172
v1_native,1000XEC,7,-7.234358586514464
v1_native,SQD,7,-7.227635775993958
v1_native,NFLX,6,-7.225612411768786
v1_native,ID,9,-7.10636753010911
v1_native,TOSHI,9,-6.88493123645714
v1_native,PUMPBTC,8,-6.866223516716785
v1_native,IMX,11,-6.628024786493693
v1_native,DODOX,8,-6.617127028280155
v1_native,ICX,13,-6.587508521016073
v1_native,DRIFT,8,-6.500902390664546
v1_native,DUSK,9,-6.440994520947148
v1_native,EWJ,5,-6.41530118145797
v1_native,IRYS,7,-6.377301213597992
v1_native,STBL,10,-6.373015285090173
v1_native,TRIA,10,-6.35485594013471
v1_native,HOT,6,-6.316888555437488
v1_native,APE,15,-6.312697717561649
v1_native,STG,9,-6.283499334057348
v1_native,POLYX,6,-6.279326745557054
v1_native,ENS,17,-6.272556317630808
v1_native,SEI,6,-6.243207651994189
v1_native,GRT,6,-6.242337194771857
v1_native,NKN,6,-6.235693641342805
v1_native,LA,6,-6.227335379269919
v1_native,LIT,6,-6.2273161129214545
v1_native,TIA,6,-6.226934556078877
v1_native,REI,6,-6.2266980907434775
v1_native,OL,22,-6.20404781526436
v1_native,WOO,15,-6.19789937485174
v1_native,AIA,6,-6.191871791669998
v1_native,ARB,6,-6.167854662892941
v1_native,BREV,9,-6.157002799775223
v1_native,IN,6,-6.1452764595733855
v1_native,PIEVERSE,14,-6.141643070738118
v1_native,STABLE,10,-6.091689906738064
v1_native,HUMA,16,-6.065244138348885
v1_native,XVS,8,-5.960601564898648
v1_native,SOL,31,-5.949147856124671
v1_native,ZRO,10,-5.9321275044607615
v1_native,PLUME,8,-5.909889407465243
v1_native,VVV,8,-5.861654410414397
v1_native,ZORA,14,-5.836774327680682
v1_native,AMZN,5,-5.807712343963285
v1_native,AIO,12,-5.7611230863601115
v1_native,NEIRO,15,-5.745207220292923
v1_native,TUT,7,-5.6772681211109
v1_native,BRETT,9,-5.617881879113761
v1_native,SOLV,11,-5.565859156627289
v1_native,SANTOS,13,-5.475640852245818
v1_native,BCH,18,-5.354062282150043
v1_native,METIS,20,-5.338286519066625
v1_native,ASTER,15,-5.324140127941364
v1_native,SHELL,11,-5.301784622189773
v1_native,NXPC,5,-5.298649940510513
v1_native,G,5,-5.275479126630662
v1_native,BANANA,17,-5.272258099133607
v1_native,MLN,5,-5.254140523178949
v1_native,CFG,5,-5.240518211962064
v1_native,GRVT,5,-5.2330296446445805
v1_native,ALICE,9,-5.220083350425362
v1_native,UXLINK,5,-5.2124467514114645
v1_native,DEEP,5,-5.208414127862924
v1_native,POWER,5,-5.200592939232229
v1_native,NEO,11,-5.19570907896508
v1_native,LINEA,8,-5.188077319893808
v1_native,FOGO,5,-5.173119294924774
v1_native,GUN,5,-5.168522466077594
v1_native,BLEND,5,-5.157363108600471
v1_native,A2Z,5,-5.155565205671646
v1_native,TOKEN,5,-5.15428949363981
v1_native,ZAMA,5,-5.141622118963308
v1_native,SCR,5,-5.138002886989153
v1_native,LIGHT,7,-5.1216612770439625
v1_native,STAR,5,-5.1163321876091725
v1_native,MORPHO,10,-5.102459972734168
v1_native,RARE,11,-5.098125328155674
v1_native,COLLECT,5,-5.096434481343053
v1_native,LYN,13,-5.067583712496628
v1_native,HOOK,8,-5.058584281668107
v1_native,我踏马来了,6,-5.057394634501716
v1_native,SAGA,10,-5.032344178814627
v1_native,ZRX,14,-5.010417231962094
v1_native,XNY,6,-4.919590468233148
v1_native,KMNO,13,-4.899248930076384
v1_native,ZKC,6,-4.881310686079642
v1_native,FORM,10,-4.880169164141028
v1_native,IO,10,-4.800403679599843
v1_native,ATOM,14,-4.7891659177819985
v1_native,RONIN,9,-4.736715407968466
v1_native,COTI,6,-4.66816761046688
v1_native,ARIA,11,-4.617799036112841
v1_native,MBOX,6,-4.531657898358806
v1_native,Q,10,-4.4916752396537305
v1_native,VIC,8,-4.419037448772711
v1_native,MSFT,4,-4.3837615013899
v1_native,GENIUS,6,-4.289738581965555
v1_native,BSV,12,-4.257769527696492
v1_native,AT,27,-4.249303294382193
v1_native,OGN,8,-4.223003456898239
v1_native,WAXP,4,-4.218797436946103
v1_native,SONIC,4,-4.209299611836906
v1_native,EDU,4,-4.1910723084736885
v1_native,C,4,-4.175831714577678
v1_native,BABY,4,-4.155113835230415
v1_native,PONKE,4,-4.149682115661624
v1_native,XCN,4,-4.146678227134924
v1_native,BIRB,4,-4.142082603393838
v1_native,SYS,4,-4.141477901916968
v1_native,VOXEL,4,-4.13765315698346
v1_native,CHESS,4,-4.115827885306233
v1_native,D,4,-4.104581216328111
v1_native,42,4,-4.10292378465074
v1_native,BID,4,-4.102773860253065
v1_native,龙虾,8,-4.082339725544595
v1_native,CHIP,4,-4.077285128803092
v1_native,RLS,4,-4.070540627940835
v1_native,CETUS,6,-4.0682180130999495
v1_native,RVN,12,-4.067824749184776
v1_native,BSB,4,-4.055383322599178
v1_native,1000000MOG,14,-3.9981005886436787
v1_native,BB,5,-3.9431134844919242
v1_native,LUMIA,10,-3.9275134085566075
v1_native,KAT,9,-3.890515494431395
v1_native,ALPHA,6,-3.8814081681712667
v1_native,CORE,7,-3.8525847554658323
v1_native,ERA,6,-3.7786580050044645
v1_native,SENT,8,-3.769162600009352
v1_native,AIN,7,-3.7649572371656
v1_native,ADA,21,-3.74931238206066
v1_native,PORTAL,6,-3.741425811562674
v1_native,THETA,21,-3.7120898923912455
v1_native,NOM,6,-3.6734157805109513
v1_native,SHIB,7,-3.670104219158973
v1_native,W,6,-3.6393190116576553
v1_native,SXT,5,-3.6241202456239003
v1_native,ONDO,5,-3.6215536107038324
v1_native,XPT,3,-3.6189411655157793
v1_native,COOKIE,5,-3.559649446735245
v1_native,4,5,-3.548080931856676
v1_native,AGT,17,-3.5237264308312066
v1_native,YGG,24,-3.521742363477884
v1_native,BTCDOM,8,-3.500778947488535
v1_native,AZTEC,8,-3.4821259568912257
v1_native,KGEN,13,-3.470703786174383
v1_native,AI,9,-3.468219637077313
v1_native,SLP,7,-3.44730481095303
v1_native,0G,14,-3.4416555603724484
v1_native,ARPA,14,-3.403055551600728
v1_native,BAT,23,-3.3356258141434747
v1_native,HAEDAL,7,-3.297776061515342
v1_native,SAFE,5,-3.289804816153109
v1_native,TAKE,5,-3.278216627877055
v1_native,POWR,8,-3.2692006653922294
v1_native,USAR,3,-3.2689058602003165
v1_native,COW,8,-3.2378656058577393
v1_native,CL,3,-3.232219639189929
v1_native,HPE,3,-3.222151799632698
v1_native,CC,3,-3.211838504413717
v1_native,MANTRA,3,-3.2053844718463127
v1_native,DATA,3,-3.202789032443296
v1_native,CRO,3,-3.18598235292547
v1_native,DKNG,3,-3.1804583872010364
v1_native,ONE,7,-3.1739498867633555
v1_native,DYM,5,-3.1694822788912314
v1_native,HEMI,6,-3.166224182386221
v1_native,APT,3,-3.157365466992377
v1_native,CAP,3,-3.1440802995129697
v1_native,NIL,3,-3.1308412141392843
v1_native,AMD,3,-3.1176353801286654
v1_native,FORTH,3,-3.116914269343603
v1_native,MINIMAX,3,-3.1096655108389064
v1_native,1000X,3,-3.1066703825695283
v1_native,RLC,3,-3.083062295204794
v1_native,VIDT,3,-3.06506027329236
v1_native,XPIN,6,-3.064005844135619
v1_native,ZEN,14,-3.0108223470173505
v1_native,AVAX,18,-2.99780165994207
v1_native,ORDER,6,-2.974774689408536
v1_native,BTW,5,-2.9493458684491562
v1_native,ME,6,-2.912059676750041
v1_native,RIVER,11,-2.868459178105301
v1_native,1000CAT,5,-2.8226590586248053
v1_native,ACH,12,-2.7906925780172944
v1_native,1MBABYDOGE,10,-2.751680739427554
v1_native,1000CHEEMS,5,-2.7146018736592747
v1_native,BOB,5,-2.7028682886097655
v1_native,OKB,5,-2.681413209798933
v1_native,GIGGLE,17,-2.67973741995984
v1_native,KNC,5,-2.673355805692962
v1_native,ROSE,9,-2.669868730737844
