system,total_net_r,removed_best,removed_worst,removed_trades,observed_net_r,null_median,null_p2_5,null_p97_5,fraction_at_or_below_observed,draws
v1_native,854.6991098267199,RAVE,USDC,23,-238.0277449905675,858.488206228971,819.4297624646097,874.8001157101086,0.0,2000
v1_common,1060.9829957100983,RAVE,USDC,23,-34.905144501551376,1063.9260635470641,1029.231145900128,1078.8165722705521,0.0,2000
v9,2758.1663566277,XRP,ETC,554,2593.5233789596346,2738.9313257347385,2598.2854070230387,2847.065480910433,0.0225,2000
