variant,timeframe_min,metric,slice,targets,matched,match_rate,target_mean_net_r,control_mean_net_r,paired_delta_mean_net_r,paired_sign_flip_p,sign_flip_unit,unmatched_reasons
v1_common_execution_long,30,baseline,all,653,652,0.998468606431853,-0.03881602949661595,-0.11156218315100172,0.07274615365438576,0.7614,calendar_month,"{""control_unresolved"": 1}"
v1_common_execution_long,30,up_participation,bottom_quartile,164,164,1.0,-0.3900048455063741,-0.5530513877194377,0.1630465422130633,0.8287,calendar_month,{}
v1_common_execution_long,30,up_participation,top_quartile,166,166,1.0,0.04005628526969509,-0.11259659090895689,0.152652876178652,0.5709,calendar_month,{}
v1_common_execution_long,30,fast_breadth,bottom_quartile,164,163,0.9939024390243902,-0.4273139979157249,-0.5342654559381923,0.10695145802246735,0.878,calendar_month,"{""control_unresolved"": 1}"
v1_common_execution_long,30,fast_breadth,top_quartile,164,164,1.0,0.036520585681965964,-0.15820568457042816,0.19472627025239417,0.4564,calendar_month,{}
v1_common_execution_long,30,joint_breadth,bottom_quartile,164,163,0.9939024390243902,-0.4204563866080405,-0.4919708846171138,0.07151449800907338,0.9199,calendar_month,"{""control_unresolved"": 1}"
v1_common_execution_long,30,joint_breadth,top_quartile,164,164,1.0,-0.06016384584788952,-0.22038472124247113,0.16022087539458157,0.5852,calendar_month,{}
v1_common_execution_long,30,joint_delta_30m,bottom_quartile,164,164,1.0,-0.22735584228728975,0.004279139024019698,-0.23163498131130947,0.3849,calendar_month,{}
v1_common_execution_long,30,joint_delta_30m,top_quartile,164,164,1.0,-0.005114239504680471,0.30009276522425093,-0.3052070047289314,0.7274,calendar_month,{}
v1_common_execution_long,30,joint_delta_60m,bottom_quartile,164,163,0.9939024390243902,-0.24321246606144306,-0.08468668823325434,-0.1585257778281887,0.3843,calendar_month,"{""control_unresolved"": 1}"
v1_common_execution_long,30,joint_delta_60m,top_quartile,164,164,1.0,-0.00036032083536084486,0.3317965027844438,-0.33215682361980475,0.5336,calendar_month,{}
