arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1705,closed,,BTCUSDT,BTC,4h,2024-10-14 04:00:00+00:00
v9_long,2728,closed,,BTCUSDT,BTC,4h,2025-04-02 16:00:00+00:00
v9_long,2783,closed,,BTCUSDT,BTC,4h,2025-04-11 20:00:00+00:00
v9_long,2839,skipped_in_position,binance_um:BTCUSDT:4h:v9_long:2783,BTCUSDT,BTC,4h,2025-04-21 04:00:00+00:00
v9_long,3274,closed,,BTCUSDT,BTC,4h,2025-07-02 16:00:00+00:00
v9_long,3526,closed,,BTCUSDT,BTC,4h,2025-08-13 16:00:00+00:00
v9_long,4378,closed,,BTCUSDT,BTC,4h,2026-01-02 16:00:00+00:00
v9_long,4392,skipped_in_position,binance_um:BTCUSDT:4h:v9_long:4378,BTCUSDT,BTC,4h,2026-01-05 00:00:00+00:00
v10_4,1705,closed,,BTCUSDT,BTC,4h,2024-10-14 04:00:00+00:00
v10_4,2728,closed,,BTCUSDT,BTC,4h,2025-04-02 16:00:00+00:00
v10_4,2839,closed,,BTCUSDT,BTC,4h,2025-04-21 04:00:00+00:00
box_chart,1705,closed,,BTCUSDT,BTC,4h,2024-10-14 04:00:00+00:00
box_chart,2728,closed,,BTCUSDT,BTC,4h,2025-04-02 16:00:00+00:00
box_chart,2827,closed,,BTCUSDT,BTC,4h,2025-04-19 04:00:00+00:00
box_any,1705,closed,,BTCUSDT,BTC,4h,2024-10-14 04:00:00+00:00
box_any,2728,closed,,BTCUSDT,BTC,4h,2025-04-02 16:00:00+00:00
box_any,2827,closed,,BTCUSDT,BTC,4h,2025-04-19 04:00:00+00:00
