signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,source,box_entry_i,bars_after_v9
1705,2024-10-14 04:00:00+00:00,1706,2024-10-14 08:00:00+00:00,64599.5,61864.8,2734.699999999997,0.042333144993382255,1812,2024-11-01 00:00:00+00:00,69120.90000000001,trailing_stop,0.06999125380227422,0.06799125380227422,1.653344059677485,1.6060997550005554,False,3.3131604929242733,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:1705,BTCUSDT,BTC,4h,chart,1705,0
2728,2025-04-02 16:00:00+00:00,2729,2025-04-02 20:00:00+00:00,86854.2,83607.3,3246.899999999994,0.037383338974971786,2729,2025-04-02 20:00:00+00:00,83607.3,initial_stop,-0.037383338974971814,-0.039383338974971815,-1.0000000000000007,-1.0534997690104415,False,0.0,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:2728,BTCUSDT,BTC,4h,chart,2728,0
2783,2025-04-11 20:00:00+00:00,2784,2025-04-12 00:00:00+00:00,83378.3,79584.6,3793.699999999997,0.04549984828186707,3071,2025-05-29 20:00:00+00:00,105328.90000000001,trailing_stop,0.2632651421293071,0.26126514212930707,5.786066373197675,5.742110182671277,False,7.533858765848649,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:2783,BTCUSDT,BTC,4h,,2783,0
3274,2025-07-02 16:00:00+00:00,3275,2025-07-02 20:00:00+00:00,109621.8,104822.0,4799.800000000003,0.043785086543005156,3348,2025-07-15 00:00:00+00:00,117567.8,trailing_stop,0.07248558224732671,0.0704855822473267,1.655485645235217,1.6098079919996655,False,2.8497437393224696,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:3274,BTCUSDT,BTC,4h,,3274,0
3526,2025-08-13 16:00:00+00:00,3527,2025-08-13 20:00:00+00:00,122720.0,118575.3,4144.699999999997,0.03377363102998694,3531,2025-08-14 12:00:00+00:00,118575.3,initial_stop,-0.033773631029986984,-0.035773631029986985,-1.0000000000000013,-1.059217796221682,False,0.44046613747677926,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:3526,BTCUSDT,BTC,4h,,3526,0
4378,2026-01-02 16:00:00+00:00,4379,2026-01-02 20:00:00+00:00,89865.0,88119.3,1745.699999999997,0.019425805374728728,4408,2026-01-07 16:00:00+00:00,90680.70000000001,trailing_stop,0.00907694875646814,0.007076948756468139,0.4672624162227248,0.36430658188692805,False,2.8042046170590655,closed,v9_long,binance_um:BTCUSDT:4h:v9_long:4378,BTCUSDT,BTC,4h,,4378,0
1705,2024-10-14 04:00:00+00:00,1706,2024-10-14 08:00:00+00:00,64599.5,61864.8,2734.699999999997,0.042333144993382255,1812,2024-11-01 00:00:00+00:00,69120.90000000001,trailing_stop,0.06999125380227422,0.06799125380227422,1.653344059677485,1.6060997550005554,False,3.3131604929242733,closed,v10_4,binance_um:BTCUSDT:4h:joint:1705,BTCUSDT,BTC,4h,chart,1705,0
2728,2025-04-02 16:00:00+00:00,2729,2025-04-02 20:00:00+00:00,86854.2,83607.3,3246.899999999994,0.037383338974971786,2729,2025-04-02 20:00:00+00:00,83607.3,initial_stop,-0.037383338974971814,-0.039383338974971815,-1.0000000000000007,-1.0534997690104415,False,0.0,closed,v10_4,binance_um:BTCUSDT:4h:joint:2728,BTCUSDT,BTC,4h,chart,2728,0
2839,2025-04-21 04:00:00+00:00,2840,2025-04-21 08:00:00+00:00,87400.7,83892.1,3508.5999999999913,0.04014384324153,3071,2025-05-29 20:00:00+00:00,105328.90000000001,trailing_stop,0.20512650356347284,0.20312650356347284,5.109787379581618,5.059966539360447,False,6.999600980448061,closed,v10_4,binance_um:BTCUSDT:4h:joint:2839,BTCUSDT,BTC,4h,chart,2783,56
1705,2024-10-14 04:00:00+00:00,1706,2024-10-14 08:00:00+00:00,64599.5,61864.8,2734.699999999997,0.042333144993382255,1812,2024-11-01 00:00:00+00:00,69120.90000000001,trailing_stop,0.06999125380227422,0.06799125380227422,1.653344059677485,1.6060997550005554,False,3.3131604929242733,closed,box_chart,binance_um:BTCUSDT:4h:box_chart:1705,BTCUSDT,BTC,4h,chart,1705,0
2728,2025-04-02 16:00:00+00:00,2729,2025-04-02 20:00:00+00:00,86854.2,83607.3,3246.899999999994,0.037383338974971786,2729,2025-04-02 20:00:00+00:00,83607.3,initial_stop,-0.037383338974971814,-0.039383338974971815,-1.0000000000000007,-1.0534997690104415,False,0.0,closed,box_chart,binance_um:BTCUSDT:4h:box_chart:2728,BTCUSDT,BTC,4h,chart,2728,0
2827,2025-04-19 04:00:00+00:00,2828,2025-04-19 08:00:00+00:00,85174.5,83570.40000000001,1604.0999999999913,0.018833101456421714,3071,2025-05-29 20:00:00+00:00,105328.90000000001,trailing_stop,0.23662481141656255,0.23462481141656255,12.564303971074196,12.458107973318443,False,16.697836793217473,closed,box_chart,binance_um:BTCUSDT:4h:box_chart:2827,BTCUSDT,BTC,4h,chart,2783,44
1705,2024-10-14 04:00:00+00:00,1706,2024-10-14 08:00:00+00:00,64599.5,61864.8,2734.699999999997,0.042333144993382255,1812,2024-11-01 00:00:00+00:00,69120.90000000001,trailing_stop,0.06999125380227422,0.06799125380227422,1.653344059677485,1.6060997550005554,False,3.3131604929242733,closed,box_any,binance_um:BTCUSDT:4h:box_any:1705,BTCUSDT,BTC,4h,chart,1705,0
2728,2025-04-02 16:00:00+00:00,2729,2025-04-02 20:00:00+00:00,86854.2,83607.3,3246.899999999994,0.037383338974971786,2729,2025-04-02 20:00:00+00:00,83607.3,initial_stop,-0.037383338974971814,-0.039383338974971815,-1.0000000000000007,-1.0534997690104415,False,0.0,closed,box_any,binance_um:BTCUSDT:4h:box_any:2728,BTCUSDT,BTC,4h,chart,2728,0
2827,2025-04-19 04:00:00+00:00,2828,2025-04-19 08:00:00+00:00,85174.5,83570.40000000001,1604.0999999999913,0.018833101456421714,3071,2025-05-29 20:00:00+00:00,105328.90000000001,trailing_stop,0.23662481141656255,0.23462481141656255,12.564303971074196,12.458107973318443,False,16.697836793217473,closed,box_any,binance_um:BTCUSDT:4h:box_any:2827,BTCUSDT,BTC,4h,chart,2783,44
