scope,timeframe,symbol,length,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r
actual,15m,1000PEPEUSDT,0,earlier,both,65,65,0,0.38461538461538464,31.109432947606894,37.16741916864211,0.47860666073241376,2983.1939719186144,45.89529187567099,1.7654473446371848,1.2648108553783746,11.243750136586586,0
actual,15m,1000PEPEUSDT,0,earlier,long,33,33,0,0.42424242424242425,24.44203477811529,27.70134070843851,0.7406677205489481,3178.020846598101,96.30366201812427,2.2263734249734606,1.5850599394968705,6.159644270614006,0
actual,15m,1000PEPEUSDT,0,earlier,short,32,32,0,0.34375,6.667398169491602,9.466078460203601,0.20835619279661255,-194.82687467948705,-6.08833983373397,1.3219126657044016,0.9666015961712049,7.845398907758158,0
actual,15m,1000PEPEUSDT,0,later,both,41,41,0,0.36585365853658536,12.955439359337507,17.51907475396829,0.3159863258375002,1886.1214458517093,46.00296209394413,1.47219958372743,1.3387312457185352,8.972223847986907,0
actual,15m,1000PEPEUSDT,0,later,long,17,17,0,0.35294117647058826,6.66252756493791,8.63159423894244,0.39191338617281823,752.8823005752889,44.28719415148758,1.5536673148098803,1.2934330309660207,7.449300552980242,0
actual,15m,1000PEPEUSDT,0,later,short,24,24,0,0.375,6.2929117943996,8.887480515025846,0.26220465809998333,1133.2391452764198,47.21829771985083,1.4085533276796456,1.3774416223343793,6.39467702798626,0
actual,15m,1000PEPEUSDT,0,full,both,106,106,0,0.37735849056603776,44.064872306944395,54.686493922610396,0.4157063425183433,4869.315417770324,45.936937903493614,1.6472654011356238,1.2892621800769237,11.243750136586586,0
actual,15m,1000PEPEUSDT,0,full,long,50,50,0,0.4,31.104562343053203,36.332934947380956,0.6220912468610641,3930.9031471733897,78.61806294346779,1.973118851927019,1.4915023656797828,7.449300552980244,0
actual,15m,1000PEPEUSDT,0,full,short,56,56,0,0.35714285714285715,12.960309963891195,18.353558975229447,0.23143410649805704,938.412270596933,16.757361974945233,1.358864856893336,1.1062052006445877,8.159011136319583,0
actual,15m,1000PEPEUSDT,20,earlier,both,65,65,0,0.38461538461538464,31.109432947606894,37.16741916864211,0.47860666073241376,2983.1939719186144,45.89529187567099,1.7654473446371848,1.2648108553783746,11.243750136586586,0
actual,15m,1000PEPEUSDT,20,earlier,long,33,33,0,0.42424242424242425,24.44203477811529,27.70134070843851,0.7406677205489481,3178.020846598101,96.30366201812427,2.2263734249734606,1.5850599394968705,6.159644270614006,0
actual,15m,1000PEPEUSDT,20,earlier,short,32,32,0,0.34375,6.667398169491602,9.466078460203601,0.20835619279661255,-194.82687467948705,-6.08833983373397,1.3219126657044016,0.9666015961712049,7.845398907758158,0
actual,15m,1000PEPEUSDT,20,later,both,40,40,0,0.375,12.425393162863013,16.768691322306054,0.31063482907157536,1795.7978197755262,44.89494549438816,1.4732533561061192,1.3302461139600539,9.123251740773338,0
actual,15m,1000PEPEUSDT,20,later,long,16,16,0,0.375,6.132481368463417,7.8812108072802065,0.3832800855289636,662.5586744991059,41.40991715619412,1.5650831182281897,1.272060723783448,6.268204061752174,0
actual,15m,1000PEPEUSDT,20,later,short,24,24,0,0.375,6.2929117943996,8.887480515025846,0.26220465809998333,1133.2391452764198,47.21829771985083,1.4085533276796456,1.3774416223343793,6.39467702798626,0
