timeframe,scope,period,selected_length,baseline_closed,selected_closed,baseline_net_r,selected_net_r,baseline_10r,retained_10r,retention_10r,net_r_months,net_r_nonzero_months,net_r_minimum_exact_p,net_r_delta,net_r_low95,net_r_high95,net_r_p,net_return_months,net_return_nonzero_months,net_return_minimum_exact_p,net_return_delta,net_return_low95,net_return_high95,net_return_p
15m,actual,earlier,50,1686,1615,153.0765175126537,170.65604761554928,20,19,0.95,13,13,0.0001220703125,17.57953010289557,-12.436582192775207,42.44576388089595,0.1304931640625,13,13,0.0001220703125,0.25142242999756714,-0.2752822621352192,0.7205190567833282,0.1875
15m,actual,later,50,1195,1157,51.765202736979596,69.04157098396617,5,5,1.0,8,8,0.00390625,17.276368246986582,-3.358910588433833,42.218218522459594,0.11328125,8,8,0.00390625,0.1861555689593275,-0.5250450469427591,0.9501548168204671,0.31640625
15m,common,earlier,50,1685,1614,152.19332633618313,169.77285643907868,20,19,0.95,13,13,0.0001220703125,17.57953010289557,-12.436582192775207,42.44576388089595,0.1304931640625,13,13,0.0001220703125,0.25142242999756714,-0.2752822621352192,0.7205190567833282,0.1875
15m,common,later,50,1195,1157,51.765202736979596,69.04157098396617,5,5,1.0,8,8,0.00390625,17.276368246986582,-3.358910588433833,42.218218522459594,0.11328125,8,8,0.00390625,0.1861555689593275,-0.5250450469427591,0.9501548168204671,0.31640625
1h,actual,earlier,20,471,468,4.752381928132451,7.948206147917258,2,2,1.0,13,3,0.125,3.1958242197848055,0.0,6.424222249341465,0.125,13,3,0.125,0.10193909715080329,0.0,0.21677780149625647,0.125
1h,actual,later,20,325,321,47.16221727716108,51.41194523003816,2,2,1.0,8,3,0.125,4.249727952877073,1.0410458015267192,8.542016047047122,0.125,8,3,0.125,0.14361439067718584,0.03397764669357328,0.27904414821323653,0.125
1h,common,earlier,20,468,465,6.12812968164809,9.323953901432901,2,2,1.0,13,3,0.125,3.1958242197848055,0.0,6.424222249341465,0.125,13,3,0.125,0.10193909715080329,0.0,0.21677780149625647,0.125
1h,common,later,20,325,321,47.16221727716108,51.41194523003816,2,2,1.0,8,3,0.125,4.249727952877073,1.0410458015267192,8.542016047047122,0.125,8,3,0.125,0.14361439067718584,0.03397764669357328,0.27904414821323653,0.125
4h,actual,earlier,0,136,136,32.35185346296792,32.35185346296792,1,1,1.0,13,0,1.0,0.0,0.0,0.0,1.0,13,0,1.0,0.0,0.0,0.0,1.0
4h,actual,later,0,99,99,-4.479355345881746,-4.479355345881746,0,0,1.0,8,0,1.0,0.0,0.0,0.0,1.0,8,0,1.0,0.0,0.0,0.0,1.0
4h,common,earlier,0,134,134,34.39877810932044,34.39877810932044,1,1,1.0,13,0,1.0,0.0,0.0,0.0,1.0,13,0,1.0,0.0,0.0,0.0,1.0
4h,common,later,0,95,95,-2.729879912154137,-2.729879912154137,0,0,1.0,8,0,1.0,0.0,0.0,0.0,1.0,8,0,1.0,0.0,0.0,0.0,1.0
