symbol,timeframe,htf,chart_bars,first,last,v9_candidates,common_candidates,chart_partial_buckets,chart_gaps,real_adapter_trade_parity
1000PEPEUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,120,120,0,0,False
1000PEPEUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,42,42,0,0,False
1000PEPEUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,10,10,0,0,False
AAVEUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,143,143,0,0,False
AAVEUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,43,43,0,0,False
AAVEUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,11,11,0,0,False
AEROUSDT,15m,1h,49191,2024-12-04 14:15:00+00:00,2026-04-30 23:45:00+00:00,123,123,0,0,False
AEROUSDT,1h,4h,12298,2024-12-04 14:00:00+00:00,2026-04-30 23:00:00+00:00,28,28,1,0,False
AEROUSDT,4h,1d,3075,2024-12-04 12:00:00+00:00,2026-04-30 20:00:00+00:00,5,5,1,0,False
API3USDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,112,112,0,0,False
API3USDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,25,25,0,0,False
API3USDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,7,7,0,0,False
APTUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,133,133,0,0,False
APTUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,30,30,0,0,False
APTUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,16,16,0,0,False
ARBUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,121,121,0,0,False
ARBUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,47,47,0,0,False
ARBUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,13,13,0,0,False
ARUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,135,135,0,0,False
ARUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,33,33,0,0,False
ARUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,6,6,0,0,False
BOMEUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,135,135,0,0,False
BOMEUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,31,31,0,0,False
BOMEUSDT,4h,1d,4653,2024-03-16 12:00:00+00:00,2026-04-30 20:00:00+00:00,13,11,1,0,False
BTCUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,97,97,0,0,True
BTCUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,47,47,0,0,True
BTCUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,10,10,0,0,True
DASHUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,140,140,0,0,False
DASHUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,33,33,0,0,False
DASHUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,9,9,0,0,False
ENAUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,122,122,0,0,False
ENAUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,36,36,0,0,False
ENAUSDT,4h,1d,4551,2024-04-02 12:00:00+00:00,2026-04-30 20:00:00+00:00,13,13,1,0,False
ETHUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,115,115,0,0,True
ETHUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,37,37,0,0,True
ETHUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,11,11,0,0,True
FILUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,146,146,0,0,False
FILUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,32,32,0,0,False
FILUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,16,16,0,0,False
HYPEUSDT,15m,1h,32214,2025-05-30 10:30:00+00:00,2026-04-30 23:45:00+00:00,82,81,0,0,False
HYPEUSDT,1h,4h,8054,2025-05-30 10:00:00+00:00,2026-04-30 23:00:00+00:00,24,23,1,0,False
HYPEUSDT,4h,1d,2014,2025-05-30 08:00:00+00:00,2026-04-30 20:00:00+00:00,3,3,1,0,False
JUPUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,101,101,0,0,False
JUPUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,46,46,0,0,False
JUPUSDT,4h,1d,4922,2024-01-31 16:00:00+00:00,2026-04-30 20:00:00+00:00,9,9,1,0,False
MUBARAKUSDT,15m,1h,39305,2025-03-17 13:45:00+00:00,2026-04-30 23:45:00+00:00,103,103,0,0,False
MUBARAKUSDT,1h,4h,9827,2025-03-17 13:00:00+00:00,2026-04-30 23:00:00+00:00,26,25,1,0,False
MUBARAKUSDT,4h,1d,2457,2025-03-17 12:00:00+00:00,2026-04-30 20:00:00+00:00,3,2,1,0,False
NEARUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,125,125,0,0,False
NEARUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,45,45,0,0,False
NEARUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,14,14,0,0,False
ONEUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,128,128,0,0,False
ONEUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,34,34,0,0,False
ONEUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,12,12,0,0,False
OPUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,107,107,0,0,False
OPUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,43,43,0,0,False
OPUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,7,7,0,0,False
PENDLEUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,118,118,0,0,False
PENDLEUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,37,37,0,0,False
PENDLEUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,13,13,0,0,False
PIEVERSEUSDT,15m,1h,16082,2025-11-14 11:30:00+00:00,2026-04-30 23:45:00+00:00,41,41,0,0,False
PIEVERSEUSDT,1h,4h,4021,2025-11-14 11:00:00+00:00,2026-04-30 23:00:00+00:00,12,12,1,0,False
PIEVERSEUSDT,4h,1d,1006,2025-11-14 08:00:00+00:00,2026-04-30 20:00:00+00:00,2,0,1,0,False
PUMPUSDT,15m,1h,29154,2025-07-01 00:00:00+00:00,2026-04-30 23:45:00+00:00,73,73,0,1,False
PUMPUSDT,1h,4h,7289,2025-07-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,22,21,1,1,False
PUMPUSDT,4h,1d,1823,2025-07-01 00:00:00+00:00,2026-04-30 20:00:00+00:00,2,1,1,1,False
SOLUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,115,115,0,0,False
SOLUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,43,43,0,0,False
SOLUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,12,12,0,0,False
UNIUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,127,127,0,0,False
UNIUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,45,45,0,0,False
UNIUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,9,9,0,0,False
USELESSUSDT,15m,1h,24815,2025-08-15 12:15:00+00:00,2026-04-30 23:45:00+00:00,75,75,0,0,False
USELESSUSDT,1h,4h,6204,2025-08-15 12:00:00+00:00,2026-04-30 23:00:00+00:00,21,21,1,0,False
USELESSUSDT,4h,1d,1551,2025-08-15 12:00:00+00:00,2026-04-30 20:00:00+00:00,3,3,1,0,False
WIFUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,124,124,0,0,False
WIFUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,34,34,0,0,False
WIFUSDT,4h,1d,5001,2024-01-18 12:00:00+00:00,2026-04-30 20:00:00+00:00,13,13,1,0,False
XTZUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,114,114,0,0,False
XTZUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,29,29,0,0,False
XTZUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,9,9,0,0,False
ZECUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,136,136,0,0,False
ZECUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,28,28,0,0,False
ZECUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,7,7,0,0,False
ZENUSDT,15m,1h,58908,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,149,149,0,0,False
ZENUSDT,1h,4h,15852,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,32,32,0,0,False
ZENUSDT,4h,1d,5088,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,13,13,0,0,False
