scope,timeframe,length,period,control_period,reason,censored,trades
actual,15m,0,cross_split,earlier,matched,False,1
actual,15m,0,earlier,cross_split,matched,False,1
actual,15m,0,earlier,earlier,matched,False,1685
actual,15m,0,later,later,censored,False,3
actual,15m,0,later,later,matched,False,1192
actual,15m,0,later,later,matched,True,1
actual,15m,20,cross_split,earlier,matched,False,1
actual,15m,20,earlier,cross_split,matched,False,1
actual,15m,20,earlier,earlier,matched,False,1675
actual,15m,20,later,later,censored,False,3
actual,15m,20,later,later,matched,False,1188
actual,15m,20,later,later,matched,True,1
actual,15m,30,cross_split,earlier,matched,False,1
actual,15m,30,earlier,cross_split,matched,False,1
actual,15m,30,earlier,earlier,matched,False,1677
actual,15m,30,later,later,censored,False,3
actual,15m,30,later,later,matched,False,1190
actual,15m,30,later,later,matched,True,1
actual,15m,50,cross_split,earlier,matched,False,1
actual,15m,50,earlier,cross_split,matched,False,1
actual,15m,50,earlier,earlier,matched,False,1614
actual,15m,50,later,later,censored,False,3
actual,15m,50,later,later,matched,False,1154
actual,15m,50,later,later,matched,True,1
actual,15m,60,cross_split,earlier,matched,False,1
actual,15m,60,earlier,cross_split,matched,False,1
actual,15m,60,earlier,earlier,matched,False,1582
actual,15m,60,later,later,censored,False,3
actual,15m,60,later,later,matched,False,1113
actual,15m,60,later,later,matched,True,1
actual,15m,90,cross_split,earlier,matched,False,1
actual,15m,90,earlier,cross_split,matched,False,1
actual,15m,90,earlier,earlier,matched,False,1373
actual,15m,90,later,later,censored,False,4
actual,15m,90,later,later,matched,False,939
actual,15m,90,later,later,matched,True,1
actual,15m,120,cross_split,earlier,matched,False,1
actual,15m,120,earlier,cross_split,matched,False,1
actual,15m,120,earlier,earlier,matched,False,1215
actual,15m,120,later,later,censored,False,3
actual,15m,120,later,later,matched,False,839
actual,15m,120,later,later,matched,True,1
actual,15m,150,cross_split,earlier,matched,False,1
actual,15m,150,earlier,cross_split,matched,False,1
actual,15m,150,earlier,earlier,matched,False,1113
actual,15m,150,later,later,censored,False,4
actual,15m,150,later,later,matched,False,801
actual,15m,200,cross_split,earlier,matched,False,1
actual,15m,200,earlier,cross_split,matched,False,1
actual,15m,200,earlier,earlier,matched,False,1027
actual,15m,200,later,later,censored,False,1
actual,15m,200,later,later,matched,False,748
actual,1h,0,cross_split,cross_split,matched,False,5
actual,1h,0,cross_split,earlier,matched,False,10
actual,1h,0,earlier,cross_split,matched,False,3
actual,1h,0,earlier,earlier,matched,False,468
actual,1h,0,later,later,censored,False,1
actual,1h,0,later,later,matched,False,324
actual,1h,0,later,later,matched,True,13
