scope,timeframe,length,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r,random_pairs,random_mean_r,paired_strategy_mean_r,random_excess_r,rank_net_r
actual,15m,0,full,both,2883,2882,1,0.3240804996530187,204.19318899963332,521.6987874734289,0.07085121061749942,27301.84591498263,9.473228978134154,1.1024497196914724,1.060255438877995,118.58547336056824,25,2879,-0.06366799428446805,0.06864945941874159,0.13231745370320963,4.0
actual,15m,0,earlier,both,1686,1686,0,0.330367734282325,153.0765175126537,330.5783885666393,0.09079271501343636,10450.676801640566,6.198503441067952,1.1333681075779158,1.038572017872862,73.49575504877454,20,1685,-0.05777124021965831,0.08998255503379937,0.1477537952534577,2.0
actual,15m,0,later,both,1196,1195,1,0.31548117154811717,51.765202736979596,191.61258640678955,0.0433181612861754,16934.131336008475,14.170821201680731,1.0612835631926427,1.0930040660324876,118.58547336056787,5,1192,-0.07346530974886578,0.03793104647978466,0.11139635622865043,8.0
actual,15m,0,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,20,full,both,2869,2868,1,0.32426778242677823,197.05521693698,512.3482416501877,0.06870823463632497,25118.03221672632,8.758030758970126,1.0994556142855796,1.0556449625652298,116.25175984806361,25,2865,-0.07233311122302237,0.06649348049001876,0.13882659171304115,6.0
actual,15m,20,earlier,both,1676,1676,0,0.3305489260143198,153.0230623444966,328.92559459611294,0.0913025431649741,9795.278952736555,5.844438515952598,1.1342920711425033,1.0363217615807954,69.93677883835885,20,1675,-0.060081735498141206,0.09048785078435512,0.15056958628249634,3.0
actual,15m,20,later,both,1192,1191,1,0.3157010915197313,44.68068584248346,183.91483455407473,0.03751526938915488,15405.71548665616,12.935109560584516,1.0531147657521998,1.0848171463997978,116.25175984806319,5,1188,-0.09108795466360378,0.03209536238165588,0.12318331704525966,9.0
actual,15m,20,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,30,full,both,2873,2872,1,0.32381615598885793,201.65832276767924,517.9452467488368,0.07021529344278525,25932.48308317617,9.029416115312037,1.10152789663811,1.0573598397849493,117.41518075761701,25,2869,-0.06073650026538158,0.0680052030096211,0.12874170327500267,5.0
actual,15m,30,earlier,both,1678,1678,0,0.3295589988081049,148.2997586777485,324.8248478420473,0.08837887883060103,8644.539447532265,5.15169216181899,1.1297295386991935,1.0319722796242252,71.3970102597948,20,1677,-0.05404558898564965,0.08756341466729087,0.1416090036529405,4.0
actual,15m,30,later,both,1194,1193,1,0.3160100586756077,54.00709533993071,193.61258640678955,0.04526998771159322,17370.905858310296,14.560692253403433,1.064107835282341,1.0956322824851603,117.41518075761675,5,1190,-0.0716248739312891,0.039878739501558354,0.11150361343284743,5.0
actual,15m,30,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,50,full,both,2774,2773,1,0.3263613415073927,239.04908734951547,542.792846933956,0.08620594567238207,31677.625904551584,11.423593907158883,1.1251847834464266,1.072423243868898,118.01316160385457,24,2770,-0.05145593557029958,0.08393418484347985,0.13539012041377943,2.0
actual,15m,50,earlier,both,1615,1615,0,0.33250773993808047,170.65604761554928,340.4980824633771,0.10566937932851349,12964.901101616237,8.027802539700456,1.1556762753650602,1.049647540888968,64.64277983942668,19,1614,-0.04509347303967801,0.1048327976052339,0.14992627064491193,1.0
actual,15m,50,later,both,1158,1157,1,0.3180639585133967,69.04157098396617,202.7869519705788,0.05967292219876073,18795.687025601743,16.245191897667883,1.0849535960159011,1.1066881732728961,118.01316160385396,5,1154,-0.061843249124331263,0.05415093210649039,0.11599418123082163,3.0
actual,15m,50,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,60,full,both,2701,2700,1,0.3274074074074074,245.00624609425083,536.5398042493333,0.09074305410898179,30798.671077876657,11.406915214028391,1.132042846401503,1.0716836514574155,104.5756848312883,23,2697,-0.06748651220083686,0.08841485011537803,0.15590136231621485,1.0
actual,15m,60,earlier,both,1583,1583,0,0.3297536323436513,142.15178783656575,306.74049982874544,0.08979898157711039,6896.125710446501,4.356364946586545,1.1319513161919106,1.0266764365736996,82.30643986079107,18,1582,-0.06273175483256874,0.08893544598980024,0.15166720082236898,5.0
actual,15m,60,later,both,1117,1116,1,0.32437275985663083,103.50298950768507,230.29149192058784,0.0927446142541981,23985.507590096557,21.492390313706593,1.1331138625910933,1.1402217571451956,104.57568483128777,5,1113,-0.07581717943065769,0.08710835056119387,0.16292552999185161,1.0
actual,15m,60,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,90,full,both,2319,2318,1,0.3287316652286454,179.02420649264863,425.73611503078683,0.07723218571727723,20179.51489721593,8.705571569118176,1.1124646846325033,1.0542386318848065,100.21784710015211,18,2314,-0.051959634276844885,0.07512491351610469,0.12708454779294956,8.0
actual,15m,90,earlier,both,1374,1374,0,0.3311499272197962,125.94704664666824,266.4966441559258,0.09166451721009333,6349.597488413008,4.621249991566963,1.1349773066994413,1.0280405615593253,79.24254543199625,15,1373,-0.029841442232311416,0.09067089174505934,0.12051233397737081,6.0
actual,15m,90,later,both,944,943,1,0.3255567338282078,53.7256910959804,159.73165837486093,0.05697316128948081,13912.879631469319,14.753849025948377,1.0816401217743827,1.0956051862862488,100.2178471001524,3,939,-0.0861313386341259,0.051693859935674095,0.13782519856979997,6.0
actual,15m,90,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,120,full,both,2060,2059,1,0.323943661971831,114.75778419230788,334.83443919717587,0.05573471791758518,8154.756229852169,3.960542122317712,1.0800753378708268,1.024438738157978,96.96401822218314,16,2056,-0.05754852374071157,0.05377273136382956,0.11132125510454113,9.0
actual,15m,120,earlier,both,1216,1216,0,0.32401315789473684,61.96322704354319,186.45395524650044,0.050956601187124334,-19.424844998789936,-0.015974379110846988,1.0735221543792626,0.9999040859316516,73.21682975183123,12,1215,-0.053013855027663565,0.049800259064067015,0.1028141140917306,9.0
actual,15m,120,later,both,843,842,1,0.32422802850356297,53.443088398764694,148.8726714506754,0.06347160142371104,8257.143297517367,9.806583488737965,1.0906289561416844,1.0629954767233343,96.96401822218327,4,839,-0.06617754993811739,0.05869134671095398,0.12486889664907139,7.0
actual,15m,120,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,150,full,both,1920,1920,0,0.3234375,182.8057729448388,389.76345401772585,0.09521134007543687,22084.43656851155,11.502310712766432,1.136974733256929,1.0720300213529859,90.37223405121492,17,1916,-0.049649089184524084,0.09380966108740137,0.14345875027192548,7.0
actual,15m,150,earlier,both,1114,1114,0,0.32854578096947934,116.55197787071522,231.46653760069808,0.10462475571877489,10115.424572296057,9.080273404215491,1.152688783232781,1.0556826153447512,77.71906019717352,13,1113,-0.06002297837626929,0.10341066090746942,0.16343363928373872,8.0
actual,15m,150,later,both,805,805,0,0.3167701863354037,66.90232632412358,158.7891039170279,0.08310847990574358,12051.974218881887,14.971396545194892,1.1172457959455826,1.0965275222297555,90.37223405121512,4,801,-0.037374673396440954,0.07969521101466394,0.11706988441110483,4.0
actual,15m,150,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,15m,200,full,both,1778,1778,0,0.327896512935883,210.092999135695,404.76408889026817,0.11816254169611642,29496.551963525082,16.589736762387563,1.1712048877064314,1.1057581913299663,84.19007019217167,17,1777,-0.05155175304795118,0.11728335321058782,0.168835106258539,3.0
actual,15m,200,earlier,both,1028,1028,0,0.3326848249027237,124.87668286658659,232.51074197138976,0.1214753724383138,12966.585542253308,12.613410060557692,1.178173923100962,1.0790893870168916,62.61693069530758,13,1027,-0.08192189909875612,0.12017601809725885,0.20209791719601491,7.0
actual,15m,200,later,both,749,749,0,0.32176234979973295,85.86484751910844,172.74553441887835,0.11463931577985105,16612.92864393816,22.180145051986862,1.1633574349633173,1.1446185124321624,84.1900701921713,4,748,-0.01215067946199933,0.11254594523880743,0.12469662470080671,2.0
actual,15m,200,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,0,,,,1.0
actual,1h,0,full,both,824,811,13,0.344019728729963,86.11790461126665,131.51213601504128,0.10618730531598848,35207.64009429502,43.4126265034464,1.1672905204663382,1.1549997977444162,53.281792732926114,4,810,0.045996102091311164,0.10765954461960359,0.06166344252829242,2.0
actual,1h,0,earlier,both,471,471,0,0.3227176220806794,4.752381928132451,30.775450819535934,0.010089982862276966,5202.847389784073,11.04638511631438,1.0153686807339912,1.0375735744478518,53.281792732926114,2,468,-0.017664334825034697,0.016971645660211903,0.034635980485246576,2.0
actual,1h,0,later,both,338,325,13,0.35384615384615387,47.16221727716108,65.3546947116971,0.14511451469895717,21240.502076994617,65.35539100613728,1.232253354539668,1.2416187943929884,35.34436407113513,2,324,0.03525216622215019,0.14891525866596708,0.11366309244381682,6.0
actual,1h,0,cross_split,both,15,15,0,0.8,34.203305405973126,35.38199048380818,2.2802203603982085,8764.290627516339,584.2860418344225,14.726507644108098,12.437220236956591,1.8470713958787432,0,5,5.301637061834581,2.7648268178983484,-2.536810243936232,3.0
actual,1h,20,full,both,817,804,13,0.34701492537313433,93.56345678392853,138.51213601504128,0.11637245868647828,37663.17497257491,46.844744990764816,1.184421454985118,1.1676222190961538,52.21704987578326,4,803,0.05092103249854093,0.11787021583379921,0.06694918333525832,1.0
actual,1h,20,earlier,both,468,468,0,0.3247863247863248,7.948206147917258,33.77545081953594,0.01698334646990867,6222.238361292105,13.295381113872018,1.0259720445809286,1.0452686008184935,52.21704987578326,2,465,-0.010849114519357245,0.02395388040594403,0.03480299492530127,1.0
actual,1h,20,later,both,334,321,13,0.3582554517133956,51.41194523003816,69.35469471169712,0.16016182314653632,22676.645983766477,70.64375695877408,1.2585932661948098,1.2622396032639207,33.240774580287976,2,320,0.03697618066164956,0.16405709925203252,0.1270809185903829,4.0
actual,1h,20,cross_split,both,15,15,0,0.8,34.203305405973126,35.38199048380818,2.2802203603982085,8764.290627516339,584.2860418344225,14.726507644108098,12.437220236956591,1.8470713958787432,0,5,5.301637061834581,2.7648268178983484,-2.536810243936232,3.0
actual,1h,30,full,both,821,808,13,0.34282178217821785,70.4432885281171,115.59041167193556,0.08718228778232313,32841.15890337768,40.644998642794164,1.1369694074596228,1.1447996633946074,54.99031983572986,3,807,0.043881255065245435,0.08863644988690127,0.04475519482165584,5.0
