timeframe,compare,period,months,valid_reps,a_closed,c_closed,a_mean_r,c_mean_r,diff_mean_r,ci95_low,ci95_high,a_total_r,c_total_r
15m,v11_both − v10_4,full,20,2000,4708,5398,-0.05596353359679417,-0.04790683519225106,0.008056698404543115,-0.02111929156479243,0.04136065040242123,-263.47631617370695,-258.6010963677712
15m,v11_both − v10_4,earlier,13,2000,2501,2870,0.11595787970461176,0.13389348473453153,0.01793560502991977,-0.01903032489351189,0.06494285175923792,290.010657141234,384.2743011881055
15m,v11_both − v10_4,later,8,2000,2207,2528,-0.25078702914134166,-0.25430197688128037,-0.003514947739938712,-0.04266967427422684,0.04550560143967686,-553.486973314941,-642.8753975558767
15m,v11_both − v9_long,full,20,2000,23205,5398,-0.0998889381335752,-0.04790683519225106,0.051982102941324146,-0.01601097839739429,0.13006265118290408,-2317.9228093896127,-258.6010963677712
15m,v11_both − v9_long,earlier,13,2000,12348,2870,0.017821862685341684,0.13389348473453153,0.11607162204918985,0.023794857108348968,0.2095924819147798,220.0643604385991,384.2743011881055
15m,v11_both − v9_long,later,8,2000,10857,2528,-0.23376505202433565,-0.25430197688128037,-0.02053692485694472,-0.08872487466168445,0.041965349443886246,-2537.9871698282122,-642.8753975558767
15m,v11_htf_only − v9_long,full,20,2000,23205,1148,-0.0998889381335752,-0.03771637172704759,0.062172566406527616,-0.11328964185914715,0.23030047470267237,-2317.9228093896127,-43.29839474265063
15m,v11_htf_only − v9_long,earlier,13,2000,12348,627,0.017821862685341684,0.1273179661352126,0.10949610344987092,-0.11123923878168578,0.32212825198538186,220.0643604385991,79.8283647667783
15m,v11_htf_only − v9_long,later,8,2000,10857,521,-0.23376505202433565,-0.23632775337702283,-0.0025627013526871856,-0.2690177862404393,0.24668736841061245,-2537.9871698282122,-123.1267595094289
1h,v11_both − v10_4,full,20,2000,1476,1678,0.08780392982366154,0.062216525191970545,-0.025587404631691,-0.07090351455231372,0.03371214450251715,129.59860041972445,104.39932927212658
1h,v11_both − v10_4,earlier,13,2000,747,843,0.24896687184010924,0.24852507391016745,-0.000441797929941784,-0.06187738121604623,0.0887413432224415,185.9782532645616,209.50663730627116
1h,v11_both − v10_4,later,8,2000,729,835,-0.0773383440944268,-0.12587701560975403,-0.04853867151532723,-0.10337233806633887,0.025936523946604433,-56.37965284483714,-105.10730803414462
1h,v11_both − v9_long,full,20,2000,6551,1678,-0.005127224201856419,0.062216525191970545,0.06734374939382697,-0.04134936229702003,0.17152680226077874,-33.5884457463614,104.39932927212658
1h,v11_both − v9_long,earlier,13,2000,3625,843,0.11928093440754153,0.24852507391016745,0.12924413950262592,-0.026462109345456855,0.2865707848123005,432.39338722733805,209.50663730627116
1h,v11_both − v9_long,later,8,2000,2926,835,-0.15925558201425133,-0.12587701560975403,0.033378566404497295,-0.10788900780073446,0.1589366319453566,-465.9818329736994,-105.10730803414462
1h,v11_htf_only − v9_long,full,20,2000,6551,341,-0.005127224201856419,-0.04968376061410778,-0.04455653641225136,-0.2182677229537825,0.2491678620359883,-33.5884457463614,-16.942162369410752
1h,v11_htf_only − v9_long,earlier,13,2000,3625,169,0.11928093440754153,0.23657634167493707,0.11729540726739554,-0.20062492307484547,0.5430267835534476,432.39338722733805,39.98140174306437
1h,v11_htf_only − v9_long,later,8,2000,2926,172,-0.15925558201425133,-0.3309509541422972,-0.17169537212804586,-0.30965491835116676,0.1688519751498432,-465.9818329736994,-56.92356411247511
