timeframe,arm,full_mean_positive,later_mean_positive,excess_positive,p_below_0_01,passed
15m,v11_both,False,False,True,False,False
15m,v11_htf_only,False,False,True,False,False
1h,v11_both,True,False,True,False,False
1h,v11_htf_only,False,False,True,False,False
