timeframe,arm,source,joint_order,period,closed,mean_net_r,total_net_r
15m,v11_both,chart,break_first,earlier,1118,0.026602220489909588,29.74128250771892
15m,v11_both,chart,break_first,later,1035,-0.24918038527226508,-257.90169875679436
15m,v11_both,chart,same_bar,earlier,833,0.20023078149626777,166.79224098639105
15m,v11_both,chart,same_bar,later,721,-0.2523828194873138,-181.96801285035323
15m,v11_both,chart,spike_first,earlier,533,0.16019549791656665,85.38420038953002
15m,v11_both,chart,spike_first,later,437,-0.24003152571305747,-104.89377673660611
15m,v11_both,htf,break_first,earlier,83,-0.02426165319023169,-2.01371721478923
15m,v11_both,htf,break_first,later,100,-0.37415227625600317,-37.415227625600316
15m,v11_both,htf,same_bar,earlier,32,0.9580780628832763,30.658498012264843
15m,v11_both,htf,same_bar,later,23,-0.29875873445414636,-6.871450892445366
15m,v11_both,htf,spike_first,earlier,271,0.2719992491032838,73.71179650698991
15m,v11_both,htf,spike_first,later,212,-0.2538925976135725,-53.825230694077376
15m,v11_htf_only,htf,break_first,earlier,118,0.2234083931668558,26.362190393688984
15m,v11_htf_only,htf,break_first,later,129,-0.46330948931867244,-59.76692412210875
15m,v11_htf_only,htf,same_bar,earlier,53,0.5077792831038924,26.912302004506298
15m,v11_htf_only,htf,same_bar,later,32,-0.03530124277990289,-1.1296397689568924
15m,v11_htf_only,htf,spike_first,earlier,456,0.05823217624689254,26.553872368582997
15m,v11_htf_only,htf,spike_first,later,360,-0.17286165449545352,-62.23019561836326
1h,v11_both,chart,break_first,earlier,335,0.3989123381027075,133.635633264407
1h,v11_both,chart,break_first,later,353,-0.0448758009211966,-15.8411577251824
1h,v11_both,chart,same_bar,earlier,254,0.08038193230072238,20.417010804383484
1h,v11_both,chart,same_bar,later,240,-0.12481952357114023,-29.956685657073656
1h,v11_both,chart,spike_first,earlier,155,0.22278543987305957,34.531743180324234
1h,v11_both,chart,spike_first,later,132,-0.1010709020213712,-13.341359066821
1h,v11_both,htf,break_first,earlier,31,0.20575252359711868,6.378328231510679
1h,v11_both,htf,break_first,later,38,-0.09787733541458693,-3.7193387457543032
1h,v11_both,htf,same_bar,earlier,8,1.2551724871692254,10.041379897353803
1h,v11_both,htf,same_bar,later,6,-0.3698709685867674,-2.2192258115206043
1h,v11_both,htf,spike_first,earlier,60,0.07504236547153313,4.502541928291988
1h,v11_both,htf,spike_first,later,66,-0.6065081973907979,-40.02954102779266
1h,v11_htf_only,htf,break_first,earlier,41,0.09595916298450749,3.934325682364807
1h,v11_htf_only,htf,break_first,later,52,-0.14673819501564508,-7.6303861408135445
1h,v11_htf_only,htf,same_bar,earlier,10,1.2825199386234796,12.825199386234795
1h,v11_htf_only,htf,same_bar,later,8,-0.44441502745677863,-3.555320219654229
1h,v11_htf_only,htf,spike_first,earlier,118,0.1967955650378369,23.221876674464756
1h,v11_htf_only,htf,spike_first,later,112,-0.408373729928637,-45.73785775200734
