timeframe,arm,label,period,signals,trades_taken,closed,censored_boundary,censored_gap,skipped_in_position,risk_invalid,no_next_bar,win_rate,mean_gross_r,mean_net_r,mean_net_bp,pf,total_net_r,event_drawdown_r,median_hold_h,concurrent_median,concurrent_max,random_mean_r,excess_vs_random_r,p_vs_random
15m,v9_long,V9 多头,full,26939,23223,23205,18,0,3716,0,0,0.28515406162464985,0.009730655044099656,-0.0998889381335752,-22.166919756633245,0.8626225599889072,-2317.9228093896127,2969.077583376974,8.75,26.0,232,-0.14803159657391574,0.04870904257071048,0.2063968015992004
15m,v9_long,V9 多头,earlier,14354,12351,12348,3,0,2003,0,0,0.3216715257531584,0.12438126876828332,0.017821862685341684,-4.933169335505882,1.025916381045162,220.0643604385991,1341.9368945853612,9.5,23.0,232,-0.12204042225070462,0.14013683162154858,0.062468765617191405
15m,v9_long,V9 多头,later,12585,10872,10857,15,0,1713,0,0,0.24362162660035,-0.12066501394974945,-0.23376505202433565,-41.76739412340867,0.6971858777198466,-2537.9871698282122,2586.230469624875,8.25,25.0,171,-0.17767233994759163,-0.05555664388033771,0.7586206896551724
15m,v10_4,V10.4 突破+spike（本周期线）,full,4867,4711,4708,3,0,156,0,0,0.30756159728122345,0.05215757187125804,-0.05596353359679417,-10.02961107323907,0.9207167009572513,-263.47631617370695,670.9584465975302,9.25,7.0,91,-0.176372534373013,0.1203321503506728,0.044977511244377814
15m,v10_4,V10.4 突破+spike（本周期线）,earlier,2593,2501,2501,0,0,92,0,0,0.3550579768092763,0.2217775495393876,0.11595787970461176,23.267337313023514,1.1770236183972798,290.010657141234,321.5234547177364,10.75,6.0,91,-0.18363325745775785,0.2995911371623696,0.0034982508745627187
15m,v10_4,V10.4 突破+spike（本周期线）,later,2274,2210,2207,3,0,64,0,0,0.25373810602628,-0.14005790803268037,-0.25078702914134166,-47.76212938499382,0.6715145062503715,-553.486973314941,609.7921599147047,8.25,7.0,49,-0.16812965265038618,-0.08317521506741792,0.9395302348825587
15m,v11_htf_only,突破+spike（上级突破）单独,full,1171,1149,1148,1,0,22,0,0,0.3083623693379791,0.10502102398390324,-0.03771637172704759,-7.844639357469873,0.9493811818090511,-43.29839474265063,166.93384427456323,7.25,2.0,34,-0.1538217582362883,0.11610538650924071,0.1584207896051974
15m,v11_htf_only,突破+spike（上级突破）单独,earlier,640,627,627,0,0,13,0,0,0.36044657097288674,0.2678717195629302,0.1273179661352126,16.26271657544688,1.1853853376996477,79.8283647667783,86.91256443461072,8.5,2.0,34,-0.10778958776271273,0.2351075538979253,0.06546726636681659
15m,v11_htf_only,突破+spike（上级突破）单独,later,531,522,521,1,0,9,0,0,0.2456813819577735,-0.09096244267262249,-0.23632775337702283,-36.85675484679578,0.710135582142711,-123.1267595094289,138.17297199702216,6.0,2.0,20,-0.20921939909412307,-0.027108354282899785,0.5987006496751625
15m,v11_both,V11 突破+spike（两种合并）,full,5607,5401,5398,3,0,206,0,0,0.3067802889959244,0.06462479337596304,-0.04790683519225106,-8.471039831083582,0.9326590543971764,-258.6010963677712,760.8066681219534,9.0,7.0,103,-0.11330937352289075,0.06637306961787708,0.1549225387306347
15m,v11_both,V11 突破+spike（两种合并）,earlier,2988,2870,2870,0,0,118,0,0,0.356794425087108,0.24435200490029388,0.13389348473453153,25.57460328594486,1.2039000497099426,384.2743011881055,337.8009636889085,10.75,7.0,103,-0.02092983282813636,0.15482331756266793,0.09545227386306847
15m,v11_both,V11 突破+spike（两种合并）,later,2619,2531,2528,3,0,88,0,0,0.25,-0.13941677983401699,-0.25430197688128037,-47.1225413128366,0.671256850521377,-642.8753975558767,691.4455306474823,8.0,8.0,53,-0.2184359721723535,-0.03428204997036624,0.6966516741629185
1h,v9_long,V9 多头,full,7757,6565,6551,14,0,1192,0,0,0.29720653335368646,0.05070070576002977,-0.005127224201856419,-34.30699279750211,0.992366319441702,-33.5884457463614,707.866044695844,40.0,24.0,212,-0.08496967039450876,0.08161189598772788,0.13943028485757122
1h,v9_long,V9 多头,earlier,4332,3625,3625,0,0,707,0,0,0.3326896551724138,0.17439291561241055,0.11928093440754153,-3.625378123596752,1.1878576396091165,432.39338722733805,527.0412163827389,46.0,22.0,212,0.001576101059259758,0.11802807032525126,0.2028985507246377
1h,v9_long,V9 多头,later,3425,2940,2926,14,0,485,0,0,0.2532467532467532,-0.10254066837355891,-0.15925558201425133,-72.31822081968491,0.777926775790459,-465.9818329736994,709.6101727345983,33.0,27.0,160,-0.193271423070081,0.03604137948248454,0.23138430784607697
1h,v10_4,V10.4 突破+spike（本周期线）,full,1528,1476,1476,0,0,52,0,0,0.32791327913279134,0.14420966052660725,0.08780392982366154,17.66883916086445,1.1353064275646574,129.59860041972445,197.72460029664475,41.0,9.0,57,-0.15497703476422497,0.24361422945100702,0.008995502248875561
1h,v10_4,V10.4 突破+spike（本周期线）,earlier,772,747,747,0,0,25,0,0,0.3949129852744311,0.3061121231968836,0.24896687184010924,72.45649792928455,1.4255159341988486,185.9782532645616,93.09404125922703,48.0,7.0,57,-0.06154194678960864,0.3105088186297179,0.0814592703648176
1h,v10_4,V10.4 突破+spike（本周期线）,later,756,729,729,0,0,27,0,0,0.25925925925925924,-0.021690393814540094,-0.0773383440944268,-38.47160130554134,0.8917337941701997,-56.37965284483714,197.72460029664452,35.0,10.0,46,-0.25111479057281777,0.1747846728167136,0.03248375812093953
1h,v11_htf_only,突破+spike（上级突破）单独,full,345,341,341,0,0,4,0,0,0.2873900293255132,0.023430875479572875,-0.04968376061410778,1.0967059429129438,0.9312664198749819,-16.942162369410752,73.63174664270088,32.0,2.0,26,-0.07122442137672966,0.017399691095022703,0.4702648675662169
1h,v11_htf_only,突破+spike（上级突破）单独,earlier,171,169,169,0,0,2,0,0,0.34911242603550297,0.3106417928185745,0.23657634167493707,87.01606291575585,1.367950306094875,39.98140174306437,31.856743800224006,38.0,2.0,26,-0.1175137316786235,0.3540900733535606,0.08545727136431784
1h,v11_htf_only,突破+spike（上级突破）单独,later,174,172,172,0,0,2,0,0,0.22674418604651161,-0.2587705491151438,-0.3309509541422972,-83.32405759435709,0.5870032462881808,-56.92356411247511,73.63174664270088,28.0,3.0,18,-0.025207401135435153,-0.3173101595031708,0.6896551724137931
1h,v11_both,V11 突破+spike（两种合并）,full,1744,1678,1678,0,0,66,0,0,0.3206197854588796,0.12071318371723133,0.062216525191970545,13.611083116700575,1.0941052191097471,104.39932927212658,251.57434773678196,40.0,9.0,69,-0.057098727552111,0.12339655668694303,0.11294352823588207
1h,v11_both,V11 突破+spike（两种合并）,earlier,877,843,843,0,0,34,0,0,0.3902728351126928,0.30759888143484715,0.24852507391016745,74.2880968301132,1.4211232278938974,209.50663730627116,110.23321030430209,46.0,7.0,69,0.027850897752954948,0.22067417615721252,0.11344327836081959
1h,v11_both,V11 突破+spike（两种合并）,later,867,835,835,0,0,32,0,0,0.2502994011976048,-0.067963035655164,-0.12587701560975403,-47.647267255044156,0.8282264253996737,-105.10730803414462,251.57434773678202,34.0,10.0,47,-0.14411274229350898,0.02375496104485649,0.40729635182408797
