timeframe,htf_breaks_total,htf_breaks_visible,htf_breaks_visible_in_window,v10_4_joint_events_differ_in_both,n_v9_long,n_v10_4,n_v11_htf_only,n_v11_both,both_chart,both_htf
15m,24953,23942,23307,21,26939,4867,1171,5607,4846,761
1h,7002,6495,6178,7,7757,1528,345,1744,1521,223
