epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.477,0.49212,2.08777,1.01108,0.25245,0.36296,0.22647,0.1042,0.46269,3.11016,0.90779,0.0001,0.0001,0.0001
2,267.067,0.43303,1.93544,0.98192,0.25197,0.38765,0.23016,0.10704,0.46615,3.14942,0.91383,9.7525e-05,9.7525e-05,9.7525e-05
3,389.83,0.412,1.88998,0.98404,0.23891,0.38025,0.22344,0.1035,0.48522,3.04411,0.94735,9.505e-05,9.505e-05,9.505e-05
4,511.519,0.41955,1.85216,0.98522,0.23249,0.39259,0.22919,0.10446,0.48066,3.05584,0.95179,9.2575e-05,9.2575e-05,9.2575e-05
5,633.204,0.38955,1.81896,0.96218,0.23909,0.40247,0.23002,0.10272,0.50869,3.2256,0.98655,9.01e-05,9.01e-05,9.01e-05
6,754.929,0.39661,1.85438,0.96011,0.24498,0.38272,0.23779,0.10712,0.48936,2.92654,0.96953,8.7625e-05,8.7625e-05,8.7625e-05
7,877.877,0.40191,1.81827,0.97371,0.24284,0.38519,0.23269,0.10269,0.4994,3.02725,0.97301,8.515e-05,8.515e-05,8.515e-05
8,999.7,0.40157,1.81095,0.97304,0.25144,0.36049,0.22547,0.10054,0.51154,3.13469,1.01088,8.2675e-05,8.2675e-05,8.2675e-05
9,1121.55,0.39085,1.77517,0.96187,0.25962,0.38519,0.23301,0.10192,0.51902,2.90652,1.01799,8.02e-05,8.02e-05,8.02e-05
10,1243.21,0.39093,1.76589,0.95947,0.26282,0.34321,0.22596,0.10055,0.52237,3.19984,1.02797,7.7725e-05,7.7725e-05,7.7725e-05
11,1365.09,0.38953,1.75023,0.97274,0.26341,0.41481,0.23112,0.10218,0.52507,3.15836,1.0382,7.525e-05,7.525e-05,7.525e-05
12,1486.7,0.37748,1.71018,0.94655,0.26206,0.40988,0.22836,0.1024,0.54903,2.97894,1.07606,7.2775e-05,7.2775e-05,7.2775e-05
13,1608.53,0.38128,1.71337,0.95859,0.25082,0.39753,0.22863,0.10008,0.55305,3.28249,1.08327,7.03e-05,7.03e-05,7.03e-05
14,1730.19,0.37348,1.68475,0.95156,0.25682,0.36296,0.22955,0.10053,0.57542,2.99247,1.11089,6.7825e-05,6.7825e-05,6.7825e-05
15,1851.85,0.385,1.68971,0.95683,0.26918,0.36049,0.22806,0.09948,0.58001,2.93179,1.11857,6.535e-05,6.535e-05,6.535e-05
16,1973.55,0.37558,1.7008,0.94774,0.26642,0.33827,0.22812,0.09949,0.56655,2.96673,1.11312,6.2875e-05,6.2875e-05,6.2875e-05
17,2095.17,0.37586,1.67158,0.95163,0.27508,0.34321,0.22796,0.0998,0.58353,2.88671,1.12473,6.04e-05,6.04e-05,6.04e-05
18,2216.74,0.37613,1.68184,0.95407,0.24652,0.39826,0.22478,0.09935,0.58154,3.10227,1.13711,5.7925e-05,5.7925e-05,5.7925e-05
