strategy,variant,split,timeframe_min,side,total_events,realized_events,censored_events,wins,win_rate,net_r,pf,event_sequence_drawdown_r,initial_stop_pct,trailing_stop_pct,post_initial_stop_20bar_future_high_from_entry
v1,baseline,development,30,1,5,5,0,4,0.8,8.740213398431628,9.02425879550053,-1.0892237677245102,0.2,0.8,-0.02104125611849217
v1,baseline,development,60,1,2,2,0,0,0.0,-2.0863458067374965,0.0,-2.0863458067374965,1.0,0.0,-0.04861427455070977
v1,baseline,later_validation,30,1,6,6,0,3,0.5,23.47374959110557,8.469458584863085,-3.1426306638442707,0.5,0.5,-0.03300901950646873
v1,baseline,later_validation,60,1,1,1,0,0,0.0,-1.0307550345656757,0.0,-1.0307550345656757,1.0,0.0,-0.004129121791989987
v1,baseline,later_validation,240,1,1,1,0,1,1.0,1.560962297638897,,0.0,0.0,1.0,
v1,initial_floor_1.5,development,30,1,5,5,0,4,0.8,8.740213398431628,9.02425879550053,-1.0892237677245102,0.2,0.8,-0.02104125611849217
v1,initial_floor_1.5,development,60,1,2,2,0,0,0.0,-2.0863458067374965,0.0,-2.0863458067374965,1.0,0.0,-0.04861427455070977
v1,initial_floor_1.5,later_validation,30,1,6,6,0,3,0.5,23.47374959110557,8.469458584863085,-3.1426306638442707,0.5,0.5,-0.03300901950646873
v1,initial_floor_1.5,later_validation,60,1,1,1,0,0,0.0,-1.0307550345656757,0.0,-1.0307550345656757,1.0,0.0,-0.004129121791989987
v1,initial_floor_1.5,later_validation,240,1,1,1,0,1,1.0,1.560962297638897,,0.0,0.0,1.0,
v1,initial_floor_2.0,development,30,1,5,5,0,4,0.8,8.740213398431628,9.02425879550053,-1.0892237677245102,0.2,0.8,-0.02104125611849217
v1,initial_floor_2.0,development,60,1,2,2,0,0,0.0,-2.0863458067374965,0.0,-2.0863458067374965,1.0,0.0,-0.04861427455070977
v1,initial_floor_2.0,later_validation,30,1,6,6,0,3,0.5,23.47374959110557,8.469458584863085,-3.1426306638442707,0.5,0.5,-0.03300901950646873
v1,initial_floor_2.0,later_validation,60,1,1,1,0,0,0.0,-1.0307550345656757,0.0,-1.0307550345656757,1.0,0.0,-0.004129121791989987
v1,initial_floor_2.0,later_validation,240,1,1,1,0,1,1.0,1.560962297638897,,0.0,0.0,1.0,
v1,initial_floor_2.5,development,30,1,5,5,0,4,0.8,8.740213398431628,9.02425879550053,-1.0892237677245102,0.2,0.8,-0.02104125611849217
v1,initial_floor_2.5,development,60,1,2,2,0,0,0.0,-2.0863458067374965,0.0,-2.0863458067374965,1.0,0.0,-0.04861427455070977
