i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image
1,XRP_USDT_SWAP_014579,XRP_USDT_SWAP,14579,2025-11-01 12:45:00+00:00,0.5684,1,0.001139,0.9972,drop,,images/train/XRP_USDT_SWAP_014579.png
2,OL_USDT_SWAP_006059,OL_USDT_SWAP,6059,2025-12-31 13:00:00+00:00,0.4057,1,0.001486,0.9974,drop,,images/train/OL_USDT_SWAP_006059.png
3,LUNA_USDT_SWAP_008199,LUNA_USDT_SWAP,8199,2025-08-28 02:00:00+00:00,0.497,1,0.001637,0.9984,,,images/train/LUNA_USDT_SWAP_008199.png
4,API3_USDT_SWAP_018119,API3_USDT_SWAP,18119,2025-12-09 07:30:00+00:00,0.3388,1,0.001639,0.997,,,images/train/API3_USDT_SWAP_018119.png
5,CRV_USDT_SWAP_009259,CRV_USDT_SWAP,9259,2025-09-07 01:45:00+00:00,0.3983,1,0.001699,0.9965,drop,,images/train/CRV_USDT_SWAP_009259.png
6,SUI_USDT_SWAP_021259,SUI_USDT_SWAP,21259,2026-01-10 02:30:00+00:00,0.5341,1,0.001902,0.9995,,,images/train/SUI_USDT_SWAP_021259.png
7,SSV_USDT_SWAP_027619,SSV_USDT_SWAP,27619,2026-03-18 10:15:00+00:00,0.3876,1,0.001917,0.9977,,,images/train/SSV_USDT_SWAP_027619.png
8,S_USDT_SWAP_020239,S_USDT_SWAP,20239,2025-12-31 13:00:00+00:00,0.5698,1,0.001953,0.9967,keep,,images/train/S_USDT_SWAP_020239.png
9,WCT_USDT_SWAP_027759,WCT_USDT_SWAP,27759,2026-03-19 21:30:00+00:00,0.477,1,0.002027,0.9977,drop,,images/train/WCT_USDT_SWAP_027759.png
10,A_USDT_SWAP_025219,A_USDT_SWAP,25219,2026-02-21 06:00:00+00:00,0.5494,1,0.002042,0.9979,,,images/train/A_USDT_SWAP_025219.png
11,F_USDT_SWAP_013559,F_USDT_SWAP,13559,2026-03-15 13:45:00+00:00,0.4278,1,0.002081,0.997,,,images/train/F_USDT_SWAP_013559.png
12,MUBARAK_USDT_SWAP_014559,MUBARAK_USDT_SWAP,14559,2025-11-02 08:15:00+00:00,0.5272,1,0.002084,0.9976,,,images/train/MUBARAK_USDT_SWAP_014559.png
13,AVAX_USDT_SWAP_018199,AVAX_USDT_SWAP,18199,2025-12-09 04:30:00+00:00,0.3494,1,0.002108,0.9985,,,images/train/AVAX_USDT_SWAP_018199.png
14,ENS_USDT_SWAP_031779,ENS_USDT_SWAP,31779,2026-04-30 16:00:00+00:00,0.4302,1,0.002272,0.9984,,,images/train/ENS_USDT_SWAP_031779.png
15,BARD_USDT_SWAP_015859,BARD_USDT_SWAP,15859,2026-03-02 16:45:00+00:00,0.5942,1,0.002335,0.9984,drop,,images/train/BARD_USDT_SWAP_015859.png
16,SUI_USDT_SWAP_022979,SUI_USDT_SWAP,22979,2026-01-28 00:30:00+00:00,0.3735,1,0.002335,0.9972,keep,,images/train/SUI_USDT_SWAP_022979.png
17,BARD_USDT_SWAP_003499,BARD_USDT_SWAP,3499,2025-10-24 22:45:00+00:00,0.4595,1,0.002374,0.9978,drop,,images/train/BARD_USDT_SWAP_003499.png
18,UNI_USDT_SWAP_026199,UNI_USDT_SWAP,26199,2026-03-02 13:30:00+00:00,0.5228,1,0.002453,0.997,drop,,images/train/UNI_USDT_SWAP_026199.png
19,API3_USDT_SWAP_010879,API3_USDT_SWAP,10879,2025-09-24 21:30:00+00:00,0.5773,1,0.002523,0.9974,keep,,images/train/API3_USDT_SWAP_010879.png
20,LRC_USDT_SWAP_016799,LRC_USDT_SWAP,16799,2025-11-25 16:00:00+00:00,0.7671,1,0.002527,0.9968,drop,,images/train/LRC_USDT_SWAP_016799.png
21,OFC_USDT_SWAP_002179,OFC_USDT_SWAP,2179,2026-05-02 03:45:00+00:00,0.5938,2,0.002564,0.9965,,,images/train/OFC_USDT_SWAP_002179.png
22,SSV_USDT_SWAP_005119,SSV_USDT_SWAP,5119,2025-07-27 01:15:00+00:00,0.4718,1,0.002635,0.9975,drop,,images/train/SSV_USDT_SWAP_005119.png
23,LINK_USDT_SWAP_018639,LINK_USDT_SWAP,18639,2025-12-13 19:15:00+00:00,0.5362,1,0.002653,0.9973,,,images/train/LINK_USDT_SWAP_018639.png
