task_id,source_task_id,event_id,entry_candidate_time,original_v10_time,future_end,lead_bars,lead_minutes,selection_stratum,proposal_rule,future_return_3h,future_max_drop_3h,future_max_rebound_3h,causal_image_rel,review_image_rel,entry_timing_label
1,191,29,2026-04-09T22:45:00+00:00,2026-04-09T23:15:00+00:00,2026-04-10T01:45:00+00:00,10,30,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.004807191776171282,0.015580371086235223,0.002534865720015045,causal_images/task_01.png,review_images/task_01.jpg,
2,90,35,2026-04-16T13:42:00+00:00,2026-04-16T14:06:00+00:00,2026-04-16T16:42:00+00:00,8,24,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.006661557759901293,0.023092829406753168,0.005604099683618857,causal_images/task_02.png,review_images/task_02.jpg,
3,42,5,2026-03-19T12:12:00+00:00,2026-03-19T12:48:00+00:00,2026-03-19T15:12:00+00:00,12,36,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.015391378791735022,0.027594345079710147,0.0003933455193319002,causal_images/task_03.png,review_images/task_03.jpg,
4,70,51,2026-05-01T20:18:00+00:00,2026-05-01T20:54:00+00:00,2026-05-01T23:18:00+00:00,12,36,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.0037581557198781423,0.009391039582427152,0.00040452370595911447,causal_images/task_04.png,review_images/task_04.jpg,
5,104,3,2026-03-18T11:03:00+00:00,2026-03-18T11:39:00+00:00,2026-03-18T14:03:00+00:00,12,36,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.03421449758026751,0.03644342682694146,0.005546304487346276,causal_images/task_05.png,review_images/task_05.jpg,
6,141,9,2026-03-22T18:03:00+00:00,2026-03-22T18:39:00+00:00,2026-03-22T21:03:00+00:00,12,36,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.020790000770356754,0.023967722055311613,0.001208497034126621,causal_images/task_06.png,review_images/task_06.jpg,
7,85,7,2026-03-21T23:21:00+00:00,2026-03-22T00:00:00+00:00,2026-03-22T02:21:00+00:00,13,39,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.02508736778342091,0.04634453194166155,0.00033083267322120413,causal_images/task_07.png,review_images/task_07.jpg,
8,171,15,2026-03-27T10:15:00+00:00,2026-03-27T10:45:00+00:00,2026-03-27T13:15:00+00:00,10,30,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.024849438180223338,0.03120023129431715,0.0016857043450990705,causal_images/task_08.png,review_images/task_08.jpg,
9,169,36,2026-04-18T07:39:00+00:00,2026-04-18T08:18:00+00:00,2026-04-18T10:39:00+00:00,13,39,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.017245398313339377,0.02045055320140865,0.0009490588499736496,causal_images/task_09.png,review_images/task_09.jpg,
10,15,39,2026-04-19T16:12:00+00:00,2026-04-19T16:54:00+00:00,2026-04-19T19:12:00+00:00,14,42,remaining_not_less_than_consumed,first close below all six MAs inside owner-confirmed v10 box,-0.010957053683970597,0.01624844592240149,0.0010195609435024178,causal_images/task_10.png,review_images/task_10.jpg,
11,91,32,2026-04-14T14:39:00+00:00,2026-04-14T14:51:00+00:00,2026-04-14T17:39:00+00:00,4,12,consumed_exceeds_remaining,first close below all six MAs inside owner-confirmed v10 box,-0.01604395511577905,0.019363394105250675,0.0030111450375231996,causal_images/task_11.png,review_images/task_11.jpg,
