arm,symbol,timeframe_min,entry_time,exit_time,net_r,exit_reason
v126,ETH_USDT_SWAP,1,2024-04-08 06:58:00+00:00,2024-04-08 12:28:00+00:00,61.99468656716587,trailing_stop
v126,ETH_USDT_SWAP,5,2026-08-19 08:40:00+00:00,2026-08-20 03:05:00+00:00,29.4528544423436,trailing_stop
v126,BTC_USDT_SWAP,1,2024-02-27 01:03:00+00:00,2024-02-27 03:46:00+00:00,26.1966740506342,trailing_stop
v126,BTC_USDT_SWAP,1,2026-09-18 13:21:00+00:00,2026-09-18 15:44:00+00:00,24.26902335025373,trailing_stop
v126,ETH_USDT_SWAP,1,2024-03-06 04:19:00+00:00,2024-03-06 06:50:00+00:00,22.444831353919,trailing_stop
v126,ETH_USDT_SWAP,1,2024-08-08 21:38:00+00:00,2024-08-08 23:28:00+00:00,20.175293103446737,trailing_stop
v126,BTC_USDT_SWAP,1,2024-12-24 13:09:00+00:00,2024-12-24 16:36:00+00:00,17.1230670050775,trailing_stop
v126,BTC_USDT_SWAP,1,2024-03-11 06:45:00+00:00,2024-03-11 10:46:00+00:00,16.86819852941216,trailing_stop
v126,ETH_USDT_SWAP,1,2026-08-27 07:52:00+00:00,2026-08-27 09:50:00+00:00,16.36988284518923,trailing_stop
v126,BTC_USDT_SWAP,1,2024-02-09 01:44:00+00:00,2024-02-09 04:14:00+00:00,16.32034078212501,trailing_stop
v126,ETH_USDT_SWAP,3,2025-08-07 05:36:00+00:00,2025-08-07 14:30:00+00:00,15.743886462882354,trailing_stop
v126,ETH_USDT_SWAP,3,2025-05-09 06:15:00+00:00,2025-05-09 08:42:00+00:00,15.666931558935422,trailing_stop
v126,BTC_USDT_SWAP,3,2025-12-02 10:45:00+00:00,2025-12-02 20:00:00+00:00,15.361928969359456,trailing_stop
v126,BTC_USDT_SWAP,3,2024-02-14 07:03:00+00:00,2024-02-14 15:15:00+00:00,12.835410334346635,trailing_stop
v126,ETH_USDT_SWAP,3,2026-07-14 10:06:00+00:00,2026-07-14 17:09:00+00:00,12.5004929078017,trailing_stop
v126,ETH_USDT_SWAP,3,2025-07-02 13:39:00+00:00,2025-07-02 17:48:00+00:00,12.364698492462248,trailing_stop
v126,BTC_USDT_SWAP,1,2026-02-25 00:38:00+00:00,2026-02-25 03:16:00+00:00,11.89088871595331,trailing_stop
v126,ETH_USDT_SWAP,1,2026-06-27 12:56:00+00:00,2026-06-27 16:16:00+00:00,11.47657377049155,trailing_stop
v126,BTC_USDT_SWAP,1,2026-03-16 03:23:00+00:00,2026-03-16 04:56:00+00:00,11.451552270327651,trailing_stop
v126,BTC_USDT_SWAP,3,2026-02-14 07:27:00+00:00,2026-02-14 12:39:00+00:00,11.370809937890382,trailing_stop
