mode,policy,period,timeframe_min,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best
serial,baseline,full,all,95191,94746,445,0.3004876195301121,-0.021338979467646523,-2021.7829486416376,0.9699736133361709,1.0008469114462715,532,8293.680256236317,-2156.4341129608865
serial,baseline,full,30,57801,57575,226,0.29610073816760746,-0.023915796628461473,-1376.9519908836694,0.9668423812290327,0.9809060256086723,330,6096.176625029487,-1511.6031552029183
serial,baseline,full,60,28614,28473,141,0.3063604116180241,-0.039887190433327425,-1135.7079732081318,0.9429486651255415,0.9400542106586252,144,2048.9667536398506,-1200.5351142337727
serial,baseline,full,240,8776,8698,78,0.31030121867095883,0.056435619159595656,490.877015450163,1.0832093776823501,1.1575956461911556,58,1015.7255254684363,422.75880313593785
serial,baseline,earlier,all,36573,36573,0,0.3153692614770459,0.05745986812487874,2101.47975693119,1.0822821916230054,1.0549792907120359,198,3463.5776343277003,2033.3615446169647
serial,baseline,earlier,30,21911,21911,0,0.3215279996348866,0.12872774208247342,2820.553556769075,1.1841217455552546,1.1435475142973315,132,1916.4738266586037,2765.1701883480227
serial,baseline,earlier,60,11165,11165,0,0.30353784146887597,-0.09893750427168868,-1104.6372351934042,0.858968282326423,0.8471337055004038,38,1426.1643903364863,-1142.6643299946275
serial,baseline,earlier,240,3497,3497,0,0.31455533314269374,0.1102554862326337,385.5634353555201,1.161431300926563,1.1958541421530318,28,495.0839867129743,317.4452230412949
serial,baseline,later,all,58050,57607,443,0.2885934001076258,-0.08383464931250223,-4829.462642945316,0.8838412582129702,0.9537997729533904,319,5997.195162912137,-4964.1138072645645
serial,baseline,later,30,35829,35605,224,0.2798202499648926,-0.12050649589901528,-4290.633786484439,0.8362016472741859,0.870806396284212,194,4875.524979669901,-4425.284950803688
serial,baseline,later,60,17192,17051,141,0.30133130021699606,-0.03952931249222723,-674.0143073049665,0.9439233125373685,0.9760738584385354,95,2048.9667536398524,-738.8414483306072
serial,baseline,later,240,5029,4951,78,0.30781660270652395,0.027304675993554576,135.1854508440887,1.0402064351601996,1.1534276577141145,30,513.183302076508,94.9295030302664
serial,four_hour_mfe_lt1_close_nonpositive_next_open,full,all,103054,102730,324,0.20942275868782245,-0.03813254448379742,-3917.356294820509,0.9282781350062098,0.9648604555536596,427,7923.356619223219,-4025.5823493246726
serial,four_hour_mfe_lt1_close_nonpositive_next_open,full,30,62246,62063,183,0.21766592011343314,-0.037962236029841084,-2356.050254720027,0.933170012507999,0.9443551714529009,295,5605.107352609646,-2464.2763092241908
serial,four_hour_mfe_lt1_close_nonpositive_next_open,full,60,31290,31193,97,0.1993716538967076,-0.05922721212539723,-1847.4744278275157,0.8809290594154421,0.9056633459454768,100,2290.05233060561,-1912.3015688531564
serial,four_hour_mfe_lt1_close_nonpositive_next_open,full,240,9518,9474,44,0.1885159383576103,0.030205656293754664,286.1683877270317,1.074356783023227,1.1531368833122022,32,604.4088285075078,247.6427367769965
serial,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,all,39731,39731,0,0.22332687322242079,0.01396881818270648,554.9951152171111,1.0263207732464557,1.0301180024735006,165,2895.8604300008083,499.61174679605875
serial,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,30,23645,23645,0,0.23759780080355256,0.06393029478046802,1511.6318200841665,1.1138062222227771,1.075563639361576,116,1700.7136481464586,1456.248451663114
serial,four_hour_mfe_lt1_close_nonpositive_next_open,earlier,60,12222,12222,0,0.20332187857961054,-0.10653645145469548,-1302.088509679288,0.7909474060656381,0.8164070628497583,28,1370.3728306443397,-1339.5883858402788
