period,timeframe_min,baseline_total_r,baseline_mean_r,baseline_win_rate,baseline_pf_r,four_hour_total_r,four_hour_mean_r,four_hour_win_rate,four_hour_pf_r,joint_closed,delta_r,mean_delta_r,rescued_losers,rescue_delta_r,harmed_winners,harmed_delta_r,original_realized_ge10,retained_original_ge10,be_loss_from_original_win,weekly_blocks,mean_delta_weekly_ci_low,mean_delta_weekly_ci_high
full,all,-2021.7829486416367,-0.021338979467646516,0.3004876195301121,0.9699736133361709,-4191.993466501307,-0.04424454295169513,0.20929643467798112,0.9168174172808387,94746,-2170.2105178596694,-0.022905563484048607,30351,19574.555503992757,8698,-21551.24410142326,532,385,8679,105,-0.07156343411170828,0.014722884852029066
full,30,-1376.9519908836683,-0.023915796628461456,0.29610073816760746,0.9668423812290328,-2827.158739688208,-0.049103929477867264,0.21670864090316977,0.913780289417524,57575,-1450.2067488045395,-0.02518813284940581,16838,10334.581012750481,4590,-11655.666070418032,330,263,4585,105,-0.08061477216057376,0.012790788206454897
full,60,-1135.7079732081315,-0.03988719043332742,0.3063604116180241,0.9429486651255419,-1667.1204045779177,-0.058550922086816205,0.19959259649492503,0.881526883072203,28473,-531.4124313697862,-0.018663731653488787,10243,6690.725168150307,3052,-7165.503064968721,144,93,3049,105,-0.07049252742931167,0.024808802001341418
full,240,490.8770154501631,0.05643561915959567,0.31030121867095883,1.0832093776823501,302.28567776481896,0.03475346950618751,0.1919981604966659,1.0855557698376024,8698,-188.5913376853442,-0.021682149653408162,3270,2549.24932309197,1056,-2730.074966036511,58,29,1045,103,-0.1713848705113511,0.09668689212411498
earlier,all,2101.479756931192,0.057459868124878785,0.3153692614770459,1.0822821916230054,137.59147380724164,0.003762105208958566,0.22401771798868017,1.007068593108683,36573,-1963.8882831239491,-0.05369776291592019,11040,7099.8371612909505,3363,-8988.848587294895,198,144,3357,53,-0.17084252121091392,0.03229940635533845
earlier,30,2820.553556769075,0.12872774208247342,0.3215279996348866,1.1841217455552546,947.1960619415319,0.04322924841137017,0.23568070832002191,1.076429703949425,21911,-1873.3574948275434,-0.08549849367110325,5870,3572.176103038644,1884,-5394.872408810292,132,99,1884,53,-0.21560731228641095,0.004797666602224956
earlier,60,-1104.637235193404,-0.09893750427168867,0.30353784146887597,0.858968282326423,-1122.2319533664995,-0.10051338588145987,0.2057321988356471,0.8006679051976109,11165,-17.5947181730955,-0.0015758816097712048,3876,2513.123319807062,1095,-2508.5753454175556,38,26,1095,53,-0.11066670138209556,0.07964810478453767
earlier,240,385.56343535551997,0.11025548623263368,0.31455533314269374,1.161431300926563,312.6273652322094,0.08939873183649111,0.20932227623677438,1.2167729402926952,3497,-72.93607012331053,-0.020856754396142558,1294,1014.5377384452439,384,-1085.4008330670451,28,19,378,52,-0.33026478496365447,0.2055100608566056
later,all,-4829.462642945315,-0.0838346493125022,0.2885934001076258,0.8838412582129701,-4728.399554519399,-0.08208029500788792,0.19898623431180237,0.8462437109849789,57607,101.06308842591639,0.0017543543046143072,19187,12387.417450517914,5198,-12169.138222766629,319,228,5185,53,-0.0317984015213576,0.033024249022419294
later,30,-4290.633786484437,-0.12050649589901523,0.2798202499648926,0.836201647274186,-3840.628838831803,-0.10786768259603435,0.20474652436455554,0.8115436526423982,35605,450.0049476526346,0.01263881330298089,10961,6759.28581537955,2689,-6231.486568834549,194,160,2684,53,-0.017548125136633827,0.04203009820621193
later,60,-674.0143073049662,-0.039529312492227214,0.30133130021699606,0.9439233125373686,-907.1620862412955,-0.053202867060072455,0.19236408421793444,0.8917252107731558,17051,-233.14777893632925,-0.013673554567845244,6331,4151.721773528837,1867,-4351.1244056304295,95,58,1864,53,-0.06940643739422235,0.035993582002317094
later,240,135.18545084408873,0.027304675993554583,0.30781660270652395,1.0402064351601994,19.3913705536999,0.003916657352797394,0.18036760250454453,1.0097208598414589,4951,-115.79408029038889,-0.023388018640757197,1895,1476.409861609529,642,-1586.5272483016493,30,10,637,52,-0.17059814622143255,0.08295085168881082
