symbol,zero_ready_timeframes,rows,flat_ohlc_rows,zero_volume_rows,unique_closes,close_changes,flat_zero_input,source_sha256
1000XUSDT,"15,60",17904,17904,17904,1,0,True,73fb4bded0bc407c10d0b1eea9566a9f3e897946603033f040b46ebff9f94794
AGIXUSDT,"15,60",17904,17904,17904,1,0,True,d7cf2479e983ba42ea41c8b107c2cc1a9b3cdb1f5115c2b13bcbf41886cd437c
AI16ZUSDT,"15,60",17904,17904,17904,1,0,True,2121e77437bd69a34f46bb8f0caeebe41b3a8f123ce8ca16d1b04b80e2277f1b
ALPACAUSDT,"15,60",17904,17904,17904,1,0,True,b0d4c8fac91fa023b28be0d3b5d5d7380e490c3c548441637a7654d2072f6012
ALPHAUSDT,"15,60",17904,17904,17904,1,0,True,8c7dd5dc064dc9299d9db63860fc4e507b06a9067ae7a1c27e6ca17c7030c3a3
AMBUSDT,"15,60",17904,17904,17904,1,0,True,83df51e68ffab610b886fc0a62fae1c2ea6fccb66873d1d79011f2b91360fdc9
BADGERUSDT,"15,60",17904,17904,17904,1,0,True,7e5810033652809a3326f0512fdbe26f98e73c5e1476438014f9afc2fff19446
BAKEUSDT,"15,60",17904,17904,17904,1,0,True,f948f0e33e1a0242148dc0d76e4e4ca8e6c20fef476f62a16bed7295d7da30ac
BALUSDT,"15,60",17904,17904,17904,1,0,True,026c7bf42b0d5239676123549cb7a658a0731013cae16d1b9b0f08c455d9f471
BLZUSDT,"15,60",17904,17904,17904,1,0,True,df311d5da26fe7a6f1b109e273e3367463d987520628d8f6975b61b3b6d3c046
BNXUSDT,"15,60",17904,17904,17904,1,0,True,f3bf73332b7f5d0ef22113e28a5c097b5abd7110dc1290ae464636b613876166
BONDUSDT,"15,60",17904,17904,17904,1,0,True,996db7239457d736035f0152b6b55dc470903a223ccbe242e02fd140d204944e
BSWUSDT,"15,60",17904,17904,17904,1,0,True,fb58018d1b975a383a3857fd5b708065226ff4f011e99edfc93eb8abfb670584
COMBOUSDT,"15,60",17904,17904,17904,1,0,True,72067f6590e7b84ee2e64332389770d1074a102a8db5c3c09da50be16bfc1e1c
DARUSDT,"15,60",17904,17904,17904,1,0,True,6dc45b7534163c08fd5c009db5729a17cdf1bcebfed648c8e8f834517f1355a7
DEFIUSDT,"15,60",17904,17904,17904,1,0,True,baf708bc19245942b67b8edc732cfce68d4d320991e936d79943a2d0e0d47816
DGBUSDT,"15,60",17904,17904,17904,1,0,True,fb9f4f54a22adcaca86c889fde97cf598c85639b660972257b567f113a843ad4
FTMUSDT,"15,60",17904,17904,17904,1,0,True,a9adf2340b1548999d3b2ae8299cfab49ae3cdd304418f4081593ae9f81dba1f
FTTUSDT,"15,60",17904,17904,17904,1,0,True,f40252da3106a55950494755307d99e9f5acce298dd5d6dbb70917916013b7e3
GLMRUSDT,"15,60",17904,17904,17904,1,0,True,82a64098a3c93212f37dcd5119eb38fe9f67edb9ba092523c9b92c84f529929c
HIFIUSDT,"15,60",17904,17904,17904,1,0,True,a086c42e714420da09f83ded0fd91a534588cdea05406068b1b618332e213d6b
IDEXUSDT,"15,60",17904,17904,17904,1,0,True,7db36617f3888a1f369596692421ef79534206cd7f8f3fc8b3de4f089b3537dd
KDAUSDT,"15,60",17904,17904,17904,1,0,True,3b80d3133ece273c1273c87592e658047b46feb497e455ec6ec910b88195cba5
KEYUSDT,"15,60",17904,17904,17904,1,0,True,b27e4c4f79003bdd958aec4c3d1bd5cb3d680aff358e224891093c9877420fc0
KLAYUSDT,"15,60",17904,17904,17904,1,0,True,298937fc378acc79b15ce178df3dfd114cbed10d185dd7bc99697b928dc9f46b
LEVERUSDT,"15,60",17904,17904,17904,1,0,True,fc8f3c3855f4ca08b7c2144b5564fd4191f5eb90bab74cd4d891a3b881193aa3
LINAUSDT,"15,60",17904,17904,17904,1,0,True,2a0cd4ec5b6314b288f8c6ed8d304c82214bf6920e7e17cbc0c549cab9e796e1
LOKAUSDT,"15,60",17904,17904,17904,1,0,True,8aba1c00ec4fd8ff12522bfaaaae875ff50f4a87643d08e953cbc8c481a69edb
LOOMUSDT,"15,60",17904,17904,17904,1,0,True,2eb1e7ef445407c4a67e683ec75167ca3260c6ff342867e499c8ed457ae00f2c
MDTUSDT,"15,60",17904,17904,17904,1,0,True,6b684791794e049da09794e4e75d78afe7521a73dfff932544d997a99d85ca75
MEMEFIUSDT,"15,60",17904,17904,17904,1,0,True,d13391c2a0bea0622467c1a07c7866391791d230a45043054d438982021cc8fc
MKRUSDT,"15,60",17904,17904,17904,1,0,True,bfa4561d5113c9cd1917de464a484de9255eca3077293e59dd55dd2827cfdac6
MYROUSDT,"15,60",17904,17904,17904,1,0,True,ca7497e67a07fffa6c4e5a3f834b649abaa4e989bd5d0aeae88b269bb9a4b872
NEIROETHUSDT,"15,60",17904,17904,17904,1,0,True,214b31fa79c81d0002378101e24bfdab7670b2125afa9790b1320c22de90552c
NULSUSDT,"15,60",17904,17904,17904,1,0,True,33668e7fae6f130ad3926a3fe1a5d91e5d25ae30b4248b7db7ae0fdb585603f0
OCEANUSDT,"15,60",17904,17904,17904,1,0,True,ad59e69649be82a31bcf2c55742b32dddf84c7d65956c581f9ae6a14c21c1c33
OMGUSDT,"15,60",17904,17904,17904,1,0,True,6e3daaab661be8cac1b8893b8887746f3d7c4836caf868b161d386f293589d18
OMNIUSDT,"15,60",17904,17904,17904,1,0,True,cd310f0fba31b76b3e71796b6796a7d6cd00dad4b249598574d56f55f28d24c1
ORBSUSDT,"15,60",17904,17904,17904,1,0,True,f284e35407ce1b9913a351e0a4af998667781428453e73c2b56c152574e8e99e
RADUSDT,"15,60",17904,17904,17904,1,0,True,bdf65b3f5aa720e2f1978ca853f9bd2cbf4f61dcac8f1d7977cd49337a4ae5c2
RAYUSDT,"15,60",17904,17904,17904,1,0,True,c70235777869e2a251715daba30742ea86e4a73c27c2ab7b1b5d891b4c783b15
REEFUSDT,"15,60",17904,17904,17904,1,0,True,d17be65427d2eced52b54a43909d5cd38fd074af6d6a2b145c5cc430062c7924
RENUSDT,"15,60",17904,17904,17904,1,0,True,527b52bdb97f0e8cdda839afc5baea406c8108d08b2f6c8c76fd6fafba6e6d8e
SCUSDT,"15,60",17904,17904,17904,1,0,True,81e37c0b7405f54180b8314e0951ca67a56ee0d188f8e5bb711eb282ae72f048
SLERFUSDT,"15,60",17904,17904,17904,1,0,True,41a08c61544cd46dd9d02c6b259c0b5e8bae5249028b8698f73d192c6f795307
SNTUSDT,"15,60",17904,17904,17904,1,0,True,65778cc7b9814b26388b181c6e621987f79b480ae9eb63104ef2c7488dcbf6c0
STMXUSDT,"15,60",17904,17904,17904,1,0,True,f7fc3a045474aea72b358c5f531b8b4dd6cd081075744c86d52f4e58ec3523aa
STPTUSDT,"15,60",17904,17904,17904,1,0,True,da80d04922912e31245736666bb912e357624a0dbcb31d5d457602b5f6bcf0bf
STRAXUSDT,"15,60",17904,17904,17904,1,0,True,7161e92f7920b69a37486b80934ef49ce6248658ac2d8152a83c78a35394160b
TROYUSDT,"15,60",17904,17904,17904,1,0,True,faffa94abd1e7e4e8d664fbf6f385870aba4ed5037fffb402fd1780ba4844128
UNFIUSDT,"15,60",17904,17904,17904,1,0,True,76ed099552272c6bbb2c0e5b5c4bc1b16a9caeb0f33730a7446072dc689fbbd1
UXLINKUSDT,"15,60",17904,17904,17904,1,0,True,568dd4fb84801134f2b6680b898011f9eff8e2bf4343b92a9bec3a1b9e5e68ad
VIDTUSDT,"15,60",17904,17904,17904,1,0,True,9ff589b948eacbae82c1cb488e095955b2044e46c927e8b0bef716665588bbee
WAVESUSDT,"15,60",17904,17904,17904,1,0,True,0fd3d0bc34e2c74b19591ddbffd951db6d3b30448bd6bf583904d6ecc5137447
XEMUSDT,"15,60",17904,17904,17904,1,0,True,d1c531356d30390f95d95fc70994dbcf60e3b073d20d7185c7a93d8cf43e7db4
