signal_i,entry_i,entry_time,exit_i,exit_time,side,entry_price,initial_stop,initial_risk,exit_price,exit_reason,exit_at_open,gross_r,net_r,cost_r,mfe_r,winner,peak_known_gross_r,peak_known_net_r,peak_possible_upper_r,peak_exit_bar_uncertain,peak_bar_open,peak_is_intrabar,minutes_to_peak_lower,holding_minutes_lower,peak_to_exit_minutes_lower,max_closed_bar_r,giveback_r,gross_capture,net_capture,arm_bar_open,pre_peak_pullback_known_r,pre_peak_pullback_possible_r,peak_bar_close_r,peak_bar_4atr_r,peak_bar_protection_next_r,hit1_minutes_lower,hit2_minutes_lower,hit3_minutes_lower,hit4_minutes_lower,hit5_minutes_lower,hit6_minutes_lower,hit8_minutes_lower,hit10_minutes_lower,hit15_minutes_lower,hit20_minutes_lower
143317,143318,2026-02-04 13:00:00+00:00,143464,2026-02-06 01:30:00+00:00,-1,2243.0,2273.74,30.740000000000236,1929.63,trailing_stop,False,10.19420949902399,10.048275862068882,0.1459336369551062,16.36304489264789,True,16.36304489264789,16.21711125569278,16.36304489264789,False,2026-02-06 00:15:00+00:00,True,2115.0,2190.0,75.0,15.478204294079255,6.1688353936238975,0.6230019880715704,0.6196094793726954,2026-02-04 14:45:00+00:00,3.9967469095640586,3.9967469095640586,14.84482758620678,5.46126315540147,10.19420949902399,30.0,90.0,120.0,195.0,300.0,1395.0,1560.0,1575.0,2100.0,
145981,145982,2026-03-04 07:00:00+00:00,146057,2026-03-05 01:45:00+00:00,1,1979.21,1956.02,23.190000000000055,2106.59,trailing_stop,False,5.49288486416558,5.322189736955579,0.1706951272100039,9.5825786977145,True,9.582578697714501,9.411883570504497,9.582578697714501,False,2026-03-04 19:15:00+00:00,True,735.0,1125.0,390.0,8.695558430357897,4.089693833548921,0.5732157321573226,0.5654755179541919,2026-03-04 08:30:00+00:00,2.445019404915918,2.605433376455366,8.411815437688647,3.314231373095301,5.49288486416558,45.0,90.0,105.0,120.0,450.0,495.0,540.0,,,
144170,144171,2026-02-13 10:15:00+00:00,144278,2026-02-14 13:00:00+00:00,1,1958.0,1940.16,17.839999999999918,2065.91,trailing_stop,False,6.048766816143518,5.8292600896861275,0.2195067264574001,8.382847533632336,True,8.382847533632336,8.163340807174936,8.382847533632336,False,2026-02-14 11:15:00+00:00,True,1500.0,1605.0,105.0,7.957959641255631,2.3340807174888187,0.7215646940822449,0.7140777565678337,2026-02-13 15:00:00+00:00,1.924327354260095,2.0084080717488844,7.701793721973135,1.875916108310212,5.85874439461886,195.0,270.0,285.0,285.0,315.0,375.0,1500.0,,,
150212,150213,2026-04-17 08:45:00+00:00,150307,2026-04-18 08:15:00+00:00,1,2347.7,2327.64,20.059999999999945,2393.76,trailing_stop,False,2.2961116650050113,2.062043868394843,0.2340677966101701,5.846959122632118,True,5.846959122632118,5.6128913260219475,5.846959122632118,False,2026-04-17 16:30:00+00:00,True,465.0,1410.0,945.0,5.501994017946194,3.5508474576271065,0.3927018501151029,0.367376410591631,2026-04-17 13:00:00+00:00,1.8918245264207338,1.8918245264207338,5.501994017946194,3.2057034050658384,2.2961116650050113,30.0,255.0,255.0,300.0,345.0,,,,,
147343,147344,2026-03-18 11:30:00+00:00,147522,2026-03-20 08:00:00+00:00,-1,2294.4,2332.35,37.94999999999982,2163.45,trailing_stop,False,3.4505928853755177,3.329675889328086,0.1209169960474314,5.238998682476973,True,5.238998682476973,5.118081686429542,5.238998682476973,False,2026-03-19 15:45:00+00:00,True,1695.0,2670.0,975.0,5.0121212121212375,1.7884057971014555,0.6586359521174939,0.6505710720007915,2026-03-18 14:15:00+00:00,2.1451910408432333,2.1451910408432333,4.650065876152862,1.8088764920502545,3.408695652173933,30.0,165.0,210.0,1185.0,1620.0,,,,,
146183,146184,2026-03-06 09:30:00+00:00,146375,2026-03-08 09:15:00+00:00,-1,2056.12,2083.4,27.2800000000002,1967.68,trailing_stop,False,3.2419354838709378,3.0911935483870705,0.1507419354838698,4.682184750733096,True,4.682184750733096,4.531442815249226,4.682184750733096,False,2026-03-08 04:45:00+00:00,True,2595.0,2865.0,270.0,4.357038123167119,1.4402492668621578,0.6923980270883894,0.6821654105364799,2026-03-06 14:30:00+00:00,1.5029325513196374,1.5029325513196374,4.357038123167119,1.1150506329060654,3.2419354838709378,255.0,270.0,315.0,2055.0,,,,,,
145047,145048,2026-02-22 13:30:00+00:00,145084,2026-02-22 22:30:00+00:00,-1,1964.14,1975.7,11.559999999999944,1958.39,trailing_stop,False,0.4974048442906598,0.1575882352941195,0.3398166089965414,2.737024221453309,True,2.7370242214533094,2.397207612456768,2.7370242214533094,False,2026-02-22 17:30:00+00:00,True,240.0,540.0,300.0,2.2820069204152453,2.23961937716265,0.18173198482932934,0.06573825081950907,2026-02-22 17:30:00+00:00,,,2.2820069204152453,2.1538661729180704,0.12802768166090187,0.0,240.0,,,,,,,,
143230,143231,2026-02-03 15:15:00+00:00,143251,2026-02-03 20:15:00+00:00,-1,2257.51,2319.71,62.19999999999982,2229.08,trailing_stop,False,0.4570739549839288,0.3844852090032198,0.0725887459807076,2.42411575562702,True,2.42411575562702,2.3515270096463126,2.42411575562702,False,2026-02-03 18:45:00+00:00,True,210.0,300.0,90.0,2.2226688102893957,1.9670418006430914,0.18855285846929465,0.16350448343821034,2026-02-03 18:30:00+00:00,0.0,0.0,2.2226688102893957,1.765580749460409,0.45707395498392883,150.0,180.0,,,,,,,,
144655,144656,2026-02-18 11:30:00+00:00,144817,2026-02-20 03:45:00+00:00,-1,1982.01,2017.71,35.700000000000045,1953.85,opposite_v6_next_open,True,0.7887955182072842,0.6777585434173703,0.1110369747899158,2.1378151260504157,True,2.1378151260504157,2.0267781512605,2.1378151260504157,False,2026-02-19 16:00:00+00:00,True,1710.0,2415.0,705.0,1.9182072829131633,1.3490196078431316,0.3689727463312383,0.3344019388584077,,,,1.8131652661064408,1.6144847112932537,-1.0,420.0,1575.0,,,,,,,,
