window,n,wins,losses,net_r,winner_peak_mean,winner_peak_min,winner_peak_max,winner_peak_p10,winner_peak_p25,winner_peak_p50,winner_peak_p75,winner_peak_p90,winner_gross_mean,winner_net_mean,winner_net_median,winner_giveback_mean,winner_giveback_median,winner_giveback_max,winner_gross_capture_weighted,winner_net_capture_weighted,winner_net_total,winner_top1_net,winner_top3_net,winner_hold_median_minutes,winner_peak_time_median_minutes,uncertain_peak_n,uncertain_winner_peak_n
development,66,14,52,-34.5094507631931,5.182388801465666,2.190913370998143,8.553861288735893,2.266096182819602,3.828199688749483,5.103101220368695,6.68317476732158,8.223313757692996,2.4914708032613,2.2398769928177065,1.893006944263711,2.6909179982043656,2.9099515564804213,3.914190774042198,0.4807572142322997,0.45426285150691614,31.35827789944789,5.272111165764898,13.642381613608585,1342.5,1065.0,1,0
validation,40,9,31,1.930778704004112,7.214748520999418,2.6344537815126143,35.59011893870061,2.756912638140582,2.8244127839815025,3.6563055062167424,4.269591611479016,12.082144259150027,4.247111500863408,4.099633669522917,1.6605253108348357,2.9676370201360083,1.692046312610115,11.26440988106124,0.5886707608036046,0.5800872570965255,36.89670302570625,23.996340347666816,29.49307505125933,1245.0,855.0,0,0
common,17,9,8,22.739913029701768,6.3772854203297396,2.1378151260504157,16.36304489264789,2.3668556297116994,2.7370242214533094,5.238998682476973,8.382847533632336,10.93867193670118,3.6075306145629367,3.4336078869483666,3.0911935483870705,2.7697548057668033,2.23961937716265,6.1688353936238975,0.5656843589064904,0.5535075179435464,30.9024709825353,10.048275862068882,21.19972568871059,1605.0,1500.0,0,0
available,123,32,91,-9.838759029487216,6.090054646640054,2.1378151260504157,35.59011893870061,2.371371971602331,2.81519142606052,4.364093499659823,6.376587864387305,8.536759913225538,3.2991365713904783,3.0986703721152953,1.893006944263711,2.790918075249576,2.2868500473257343,11.26440988106124,0.5417252820893235,0.5261268083174313,99.15745190768945,23.996340347666816,39.87387629942183,1432.5,1065.0,1,0
