window,start,end,policy,candidates,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,partial_trades,ambiguous_trades,paired_n,paired_delta_net_r,paired_improved,paired_worsened,saved_losers,lost_3r_winners,matched_n,matched_missing,random_mean_net_r,excess_net_r,p,months,target_censored,target_invalid,natural_target_n,controls_per_trade,permutations,p_holm
development,2023-08-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,original,70,66,0,14,52,0,0.2121212121212121,-11.890195983706771,-34.5094507631931,-0.5228704661089864,0.3427159815073687,0.4760795390419124,13,7,43,0,6,5,29,15,34.509450763193115,0.0,0,0,66,0.0,0,0,0,0,62,4,-0.2379772763588853,-0.3478384349647616,0.9934,17,0,0,66,5,9999,1.0
validation,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,original,43,40,0,9,31,0,0.225,9.572991722341548,1.930778704004112,0.0482694676001028,0.1910553254584358,1.0552188664094817,14,14,28,0,2,2,18,9,18.246603515355147,0.0,0,0,40,0.0,0,0,0,0,37,3,-0.0814952617936974,0.2171196215686769,0.382,12,0,0,40,5,9999,1.0
common,2026-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,original,21,17,0,9,8,0,0.5294117647058824,26.31575505474804,22.739913029701768,1.3376419429236337,0.2103436485321338,3.7858807448721254,2,2,5,0,5,5,12,3,3.2876000539177106,0.0,0,0,17,0.0,0,0,0,0,17,0,0.1110931771604989,1.2265487657631349,0.1846,4,0,0,17,5,9999,0.9888
available,2023-08-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,original,134,123,0,32,91,0,0.2601626016260163,23.99855079338282,-9.838759029487216,-0.0799899108088391,0.2751000798607321,0.9097330178279492,14,14,76,0,13,12,59,27,38.32840889150067,0.0,0,0,123,0.0,0,0,0,0,116,7,-0.1369080328352518,0.0630928624844751,0.396,33,0,0,123,5,9999,1.0
