uid,kind,kind_id,track,track_id,source,ax,ap,bx,bp,cx,cp,fit,wave,score,born_i,break_i,A,B,C,ax_bj,bx_bj,cx_bj,born_i_bj,break_i_bj
1,auxiliary_touch,1,soft,1,1,190,0.0007342455891812689,235,0.000721,264,0.0007124,0.022284297029638394,3.902578987809397,0.11307915224712982,266,276.0,190,235,264,2026-09-06T09:45:00+08:00,2026-09-06T21:00:00+08:00,2026-09-07T04:15:00+08:00,2026-09-07T05:00:00+08:00,2026-09-07T07:30:00+08:00
2,auxiliary_touch,1,raw,0,0,235,0.000721,279,0.000716,383,0.000704,0.04790599129452652,5.439674882477427,0.07896345982359881,385,868.0,235,279,383,2026-09-06T21:00:00+08:00,2026-09-07T08:00:00+08:00,2026-09-08T10:00:00+08:00,2026-09-08T10:45:00+08:00,2026-09-13T11:30:00+08:00
3,auxiliary_touch,1,raw,0,0,190,0.0007358,395,0.0007053,403,0.0007051,0.19805913450788695,2.7601442932158182,0.2512485826790241,405,,190,395,403,2026-09-06T09:45:00+08:00,2026-09-08T13:00:00+08:00,2026-09-08T15:00:00+08:00,2026-09-08T15:45:00+08:00,
4,auxiliary_touch,1,raw,0,0,235,0.000721,395,0.0007053,403,0.0007051,0.11700611677762696,2.7601442932158182,0.17019556494876414,405,905.0,235,395,403,2026-09-06T21:00:00+08:00,2026-09-08T13:00:00+08:00,2026-09-08T15:00:00+08:00,2026-09-08T15:45:00+08:00,2026-09-13T20:45:00+08:00
5,auxiliary_touch,1,raw,0,0,279,0.000716,395,0.0007053,403,0.0007051,0.1075918315196657,2.7601442932158182,0.1607812796908029,405,906.0,279,395,403,2026-09-07T08:00:00+08:00,2026-09-08T13:00:00+08:00,2026-09-08T15:00:00+08:00,2026-09-08T15:45:00+08:00,2026-09-13T21:00:00+08:00
6,auxiliary_touch,1,soft,1,1,190,0.0007342455891812689,395,0.0007053,403,0.0007051,0.18592651336787555,2.7601442932158182,0.28911596153901276,405,784.0,190,395,403,2026-09-06T09:45:00+08:00,2026-09-08T13:00:00+08:00,2026-09-08T15:00:00+08:00,2026-09-08T15:45:00+08:00,2026-09-12T14:30:00+08:00
7,auxiliary_touch,1,raw,0,0,504,0.000669,595,0.0006456,623,0.0006403,0.29945031735382005,5.311302997275673,0.3311394947053641,625,,504,595,623,2026-09-09T16:15:00+08:00,2026-09-10T15:00:00+08:00,2026-09-10T22:00:00+08:00,2026-09-10T22:45:00+08:00,
8,auxiliary_touch,1,raw,0,0,523,0.0006633,595,0.0006456,623,0.0006403,0.24954193112818907,5.311302997275673,0.2812311084797331,625,680.0,523,595,623,2026-09-09T21:00:00+08:00,2026-09-10T15:00:00+08:00,2026-09-10T22:00:00+08:00,2026-09-10T22:45:00+08:00,2026-09-11T12:30:00+08:00
9,auxiliary_touch,1,soft,1,1,504,0.0006689975774811731,595,0.0006456,623,0.0006398069754277568,0.2216294899771072,5.23359964747491,0.2537136807032498,625,680.0,504,595,623,2026-09-09T16:15:00+08:00,2026-09-10T15:00:00+08:00,2026-09-10T22:00:00+08:00,2026-09-10T22:45:00+08:00,2026-09-11T12:30:00+08:00
10,auxiliary_touch,1,soft,1,1,504,0.0006689975774811731,623,0.0006398069754277568,671,0.0006269,0.30695627347675347,2.647771227128521,0.36178427324620105,673,681.0,504,623,671,2026-09-09T16:15:00+08:00,2026-09-10T22:00:00+08:00,2026-09-11T10:00:00+08:00,2026-09-11T10:45:00+08:00,2026-09-11T12:45:00+08:00
