arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1164,closed,,BOMEUSDT,BOME,4h,2024-09-26 12:00:00+00:00
v9_long,2840,closed,,BOMEUSDT,BOME,4h,2025-07-02 20:00:00+00:00
v9_long,2882,skipped_in_position,binance_um:BOMEUSDT:4h:v9_long:2840,BOMEUSDT,BOME,4h,2025-07-09 20:00:00+00:00
v9_long,3087,closed,,BOMEUSDT,BOME,4h,2025-08-13 00:00:00+00:00
v9_long,3271,closed,,BOMEUSDT,BOME,4h,2025-09-12 16:00:00+00:00
v9_long,3306,closed,,BOMEUSDT,BOME,4h,2025-09-18 12:00:00+00:00
v9_long,4345,closed,,BOMEUSDT,BOME,4h,2026-03-10 16:00:00+00:00
v10_4,2840,closed,,BOMEUSDT,BOME,4h,2025-07-02 20:00:00+00:00
box_chart,2840,closed,,BOMEUSDT,BOME,4h,2025-07-02 20:00:00+00:00
box_any,2840,closed,,BOMEUSDT,BOME,4h,2025-07-02 20:00:00+00:00
