event_order,symbol,direction,confidence,window_start_i,window_end_i,window_len,core_start_i,core_end_i,core_bars,confirmation_bars,similarity_distance_to_owner50,distance_threshold,distance_ok,morphology_gate_ok,strict_training_spec_match,same_input_strict_alternative_exists,same_input_best_alternative,semantic_classification,failed_gate_count,failed_gates,prediction_price_low,prediction_price_high,ma_price_low,ma_price_high,candle_price_low,candle_price_high,prediction_height_atr,prediction_height_over_ma_span,prediction_vs_ma_vertical_iou,prediction_coverage_of_ma,candle_to_ma_span_ratio,prediction_w_norm,prediction_h_norm,nearest_training_sample_id,nearest_training_source_order,nearest_training_symbol,nearest_training_feature_rms,ma_envelope_atr,ma_spread_end_atr,candle_envelope_atr,max_body_atr,core_progress_atr,post1_progress_atr,post2_progress_atr,post3_progress_atr,post5_progress_atr,aligned_ma_slope_atr,ma_slope_std_atr,minimum_close_to_ma_atr,max_close_to_ma_envelope_atr,max_body_to_ma_envelope_atr
1,ENA_USDT_SWAP,LONG,0.719118058681488,587,604,18,597,600,4,4,0.7001678791165767,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"ma_envelope,ma_spread_end",0.14144364198700093,0.14748980183844013,0.14164766666666667,0.14514100000000002,0.14374,0.14727,2.896068722138724,1.7307709498394561,0.5777772039060157,1.0,1.0104961832061041,0.2132255584001541,0.3779454827308655,42342a0f0ed46a26549330c9,3419,ZIL_USDT_SWAP,0.47171960983168193,1.6732824885969801,1.4641221775223576,1.6908455681528598,0.7280694797712122,0.4981528019487234,1.4752986826942773,3.5445487830966362,3.17572411242307,2.3997553247721792,0.07295784642857515,0.06996815146944581,0.06059262446778817,0.7685443949295394,0.07041198258315322
2,ENA_USDT_SWAP,LONG,0.8293713927268982,593,611,19,604,607,4,4,0.9920361096980541,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,4,"ma_envelope,ma_spread_end,minimum_close_to_ma,body_to_ma_envelope",0.14200352466109564,0.15301995853296196,0.14237775,0.14781632857311283,0.14978,0.15268,5.039825617709653,2.02560903069953,0.4936786837165003,1.0,0.5332275632344435,0.2009429931640625,0.5946305394172668,21dbfa09c62c57d57b3abb09,4574,GMT_USDT_SWAP,1.0881995635713755,2.4880544771115995,2.3908013240774335,1.3266992260247656,0.7731454110282205,0.2927887947089132,0.7594209362762393,1.4364950240406034,2.086120162301005,2.6671229268015,0.2911633947074802,0.13746093849927224,1.355827789049275,1.5717437023632643,1.5184310843830495
3,ENA_USDT_SWAP,LONG,0.958868682384491,624,641,18,634,637,4,4,0.5335700340696443,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"ma_envelope,ma_spread_end",0.14411284451717737,0.1580611683983287,0.14450058333333335,0.1515377373730363,0.1502,0.15756,3.696674366965773,1.9820972800163554,0.5045161052800337,1.0,1.045877347358831,0.2133766263723373,0.4674810767173767,e76b3feb4aa92be721f80e8a,4097,GLM_USDT_SWAP,0.5833328452776871,1.865031754110106,1.780731266473645,1.950594463728665,1.0017998740345524,0.42404227472361994,0.36308619773210443,1.6378632861199895,1.9452939352946144,3.177666796210146,0.14472740699944417,0.10295161362116663,0.6622487702699027,1.507965679138485,1.2276719884093195
4,MOVE_USDT_SWAP,LONG,0.8977793455123901,594,611,18,604,607,4,4,1.0508406177693397,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,3,"ma_envelope,ma_spread_end,ma_slope",0.008221176557103065,0.00829416979610028,0.00824205,0.008374,0.008224,0.00829,1.1682232017023686,0.5531886244578662,0.3410458180518114,0.39499656006274897,0.5001894657067125,0.2126116752624511,0.1258048117160797,60a3a9d8c6d0dbd6001dd8bc,3101,GAS_USDT_SWAP,0.8406066937973964,2.1117990321063567,2.0399119739843083,1.0562996295492313,0.5121452749329446,0.11203177889158597,1.808513002106991,3.312939747222566,4.46526661582174,4.385243916613468,0.009223618702510148,0.047789875909595395,0.009602723904991497,0.009602723904991497,0.0
5,MOVE_USDT_SWAP,LONG,0.9701217412948608,605,622,18,615,618,4,4,0.5693605529307431,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,4,"ma_envelope,ma_spread_end,minimum_close_to_ma,body_to_ma_envelope",0.00828993704735376,0.008669816713091923,0.008304591800650862,0.008436103155959086,0.008422,0.008655,4.507241796592971,2.8885693166786544,0.34619214232664625,1.0,1.7717101268853486,0.2143096923828125,0.4618516862392425,a2f8d53b4eb0758722befa61,1260,GMT_USDT_SWAP,0.38788594196001497,1.5603716935467224,1.4253689771737883,2.76452633116197,0.2847580770295572,0.011864919876222972,1.2102218273756282,2.3611190553701005,2.491633174008656,3.606935642374439,0.2402095879682106,0.1758713923401509,1.1378083709289235,1.6247547899597252,1.5466182925546246
6,MOVE_USDT_SWAP,LONG,0.7751464247703552,625,648,24,639,643,5,5,2.5886684397105806,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"ma_envelope,ma_spread_end",0.008780855426183842,0.009112868818941503,0.008389983333333332,0.0088649,0.008854,0.009099,3.4432065125903204,0.6990982125095473,0.11626263839762992,0.17696699171677327,0.5158799789436694,0.1997202485799789,0.2793906331062317,21dbfa09c62c57d57b3abb09,4574,GMT_USDT_SWAP,3.091450760584693,4.925211438075731,4.733958711062889,2.5408179729676283,0.5807583938211804,0.7259479922764756,0.5081635945935329,1.3896718709292455,2.7171196282347854,2.4785938593439405,0.4275943115868224,0.14793237946963245,0.8571371651664319,1.7256820844972305,1.2144072842224953
7,HUMA_USDT_SWAP,LONG,0.9151792526245116,594,614,21,606,610,5,4,1.8229384770754125,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"ma_envelope,ma_spread_end",0.024074422952646238,0.024993983509749303,0.023393833333333332,0.02457819586031405,0.02451,0.02496,3.177013917077711,0.7764181457575248,0.31482851740588924,0.42535363640056634,0.3799512309353279,0.2309397757053375,0.32848060131073,8fbd55fc766bec2e2c9907a9,3604,ENJ_USDT_SWAP,2.3046524540687243,4.091885196704164,3.7622276493250513,1.5547168173337933,0.7255345147557782,0.7600837773631944,0.10364778782224889,1.7274631303708867,1.9347587060153966,2.3148005946969876,0.3005281547494794,0.058471210678171515,0.6305944018686227,1.2376625499614555,0.8697190729971551
8,HUMA_USDT_SWAP,SHORT,0.3238845467567444,605,628,24,619,623,5,5,3.139246479727465,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,5,"ma_envelope,ma_spread_end,ma_slope,close_to_ma_envelope,body_to_ma_envelope",0.025562497353760445,0.026178020547818013,0.023747499999999998,0.02536545281606269,0.02561,0.02615,1.8343501324708296,0.3804333401733257,0.0,0.0,0.3337550975770081,0.2000195980072021,0.191312238574028,d2c0b1c6f83398237d20737a,581,RVN_USDT_SWAP,3.1328330077376623,4.821738630045143,4.44301150556731,1.6092798469615461,0.5960295729487185,0.5662280943012836,0.9536473167179579,1.7880887188461658,2.4437212490897644,2.7715375142115586,-0.4854478756557981,0.14827274410974586,0.9373971185718951,2.2846995642439683,2.137775032800353
9,HUMA_USDT_SWAP,LONG,0.979958474636078,650,667,18,660,663,4,4,1.4379311363974812,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"ma_envelope,ma_spread_end",0.025050655759370065,0.02550745841082019,0.024558029068415338,0.025297999999999998,0.02519,0.02549,2.044204047319193,0.6173251298829746,0.26051885020050386,0.33426210418866187,0.4054213310211299,0.212372824549675,0.1763552874326706,8c8d4fed3872abf56f320b49,7303,DOOD_USDT_SWAP,1.755220487956166,3.3113896524943183,3.109269653756548,1.3425080004438434,0.5817534668590097,0.8950053336292291,2.6402657342062428,3.938023467968642,4.6987780015534915,5.59378333518272,0.14188176031164484,0.08413448890006305,0.02459677263528145,0.8838177669588524,0.4363151001442379
10,MERL_USDT_SWAP,LONG,0.845185399055481,602,620,19,612,616,5,4,0.6607667842412844,0.5,False,False,False,False,,OUT_OF_TRAINING_SPEC,2,"post1,post5",0.02041249435097493,0.020890102908077992,0.020428797247800615,0.020642,0.02052,0.02087,2.4205613761651157,2.240161312066025,0.44639642449575817,1.0,1.6416298400908205,0.2558415532112121,0.3331622183322906,59c6e40fa5bbb076cb5b7d1b,2466,1INCH_USDT_SWAP,0.26466995738799076,1.0805299435926397,0.9963023259015239,1.773830198513328,0.5574894909613272,-0.3547660397026691,-0.3547660397026691,1.0642981191080074,1.419064158810659,1.3177024331813298,0.0930759915663134,0.07913303387495703,0.01267021570366173,0.8848033966393812,0.39531072995439015
