period,name,cash,n,months,attempts,rejected_censored,rejected_invalid,random_mean_net_r,excess_net_r,excess_cash,p
development,whole_3r,fixed,751,17,6760,1,0,-0.7757911660585909,0.08314270698338751,62.44017294452402,0.1278
development,whole_3r,x1.5_net_win,582,17,5238,0,0,-0.7832263985732408,0.05911055429518964,27.791718708206346,0.1571
development,whole_3r,x1.5_recovery,546,17,4915,1,0,-0.7687012148810514,0.04802997882035781,-62.12124223416155,0.1981
development,whole_3r,x2.0_net_win,419,17,3771,0,0,-0.8200200820634408,0.03843077113249277,-73.69645657941095,0.2503
development,whole_3r,x2.0_recovery,448,17,4032,0,0,-0.8341053321299261,0.13352625678713442,-46.38903907841569,0.001
development,whole_3r_be1,fixed,775,17,6975,0,0,-0.7827765759115635,0.09402661588899117,72.87062731396816,0.0759
development,whole_3r_be1,x1.5_net_win,574,17,5166,0,0,-0.8308082850102131,0.11491659088522195,142.03592817970414,0.051
development,whole_3r_be1,x1.5_recovery,533,17,4797,0,0,-0.829567020689582,0.12215006256204324,75.87801122940603,0.0388
development,whole_3r_be1,x2.0_net_win,528,17,4752,0,0,-0.7593573729776375,0.09102923887661363,157.06931687729892,0.0723
development,whole_3r_be1,x2.0_recovery,524,17,4716,0,0,-0.7822541510371095,0.10927511643781009,122.23076134520505,0.0511
development,p50_1_keep,fixed,751,17,6760,1,0,-0.7842213464301168,0.09000056962204118,67.59042778615293,0.061
development,p50_1_be,fixed,775,17,6975,0,0,-0.7826407762516692,0.0911488057667135,70.64032446920297,0.0454
development,p50_1_be,x1.5_net_win,641,17,5770,1,0,-0.780541205806367,0.114806358162989,113.17194735961856,0.0218
development,p50_1_be,x1.5_recovery,600,17,5400,0,0,-0.8178601399707178,0.1488788856558634,242.21613019591376,0.0063
development,p50_1_be,x2.0_net_win,615,17,5535,0,0,-0.748885898484997,0.15365280094872413,201.75328781706463,0.0055
development,p50_1_be,x2.0_recovery,541,17,4869,0,0,-0.7630695966839666,0.13484333474726315,114.0778558625005,0.0135
development,p70_1_be,fixed,775,17,6975,0,0,-0.7825940120639884,0.08999930762288247,69.74946340773391,0.0364
