cycle_id,trades,net_pnl,finish_reason,recovered,balance_after
0,5,-40.00123765216745,capacity,False,959.9987623478326
1,5,-29.56400753767923,capacity,False,930.4347548101533
2,2,1.1304816205068846,reset_net_win,True,931.5652364306602
3,1,0.10225143586467311,reset_net_win,True,931.6674878665249
4,1,1.381777114427905,reset_net_win,True,933.0492649809528
5,3,-4.631659875998253,reset_net_win,False,928.4176051049545
6,1,0.8559365443425122,reset_net_win,True,929.273541649297
7,2,-2.036860829817215,reset_net_win,False,927.2366808194798
8,6,-74.45280853587121,loss_cap,False,852.7838722836086
9,4,-5.269058151652644,reset_net_win,False,847.514814131956
10,1,0.03129852941174249,reset_net_win,True,847.5461126613677
11,2,1.7819599705666178,reset_net_win,True,849.3280726319343
12,5,-47.95362247535536,capacity,False,801.374450156579
13,4,-16.215254531372352,reset_net_win,False,785.1591956252066
14,1,1.0728399366086023,reset_net_win,True,786.2320355618152
15,3,4.527542842919047,reset_net_win,True,790.7595784047343
16,3,-3.3968249365800602,reset_net_win,False,787.3627534681542
17,4,-6.9249221141341195,reset_net_win,False,780.4378313540201
18,2,-0.5280945625981985,reset_net_win,False,779.9097367914219
19,1,0.24465271493215823,reset_net_win,True,780.154389506354
20,1,0.751794915984533,reset_net_win,True,780.9061844223386
21,1,0.26015136476428324,reset_net_win,True,781.1663357871029
22,1,0.31684275618374613,reset_net_win,True,781.4831785432866
23,1,1.6581824104234784,reset_net_win,True,783.1413609537101
24,3,-3.04524296042905,reset_net_win,False,780.096117993281
25,1,1.6088904109589066,reset_net_win,True,781.70500840424
26,4,1.9014724895397421,reset_net_win,True,783.6064808937797
27,5,-17.93726715630669,reset_net_win,False,765.669213737473
28,1,0.3544387001477389,reset_net_win,True,766.0236524376207
29,2,1.8208930916663348,reset_net_win,True,767.8445455292871
30,3,-3.10263091336833,reset_net_win,False,764.7419146159187
31,3,-5.0857242691954525,reset_net_win,False,759.6561903467233
32,1,0.7428086890244003,reset_net_win,True,760.3989990357477
33,4,-5.700600068705285,reset_net_win,False,754.6983989670424
34,1,1.6436144578312906,reset_net_win,True,756.3420134248737
35,2,0.4669178478483218,reset_net_win,True,756.808931272722
36,3,-2.649804225737853,reset_net_win,False,754.1591270469842
37,1,0.17509132770533142,reset_net_win,True,754.3342183746895
38,1,0.2738796833773449,reset_net_win,True,754.6080980580668
39,4,-7.431148716041662,reset_net_win,False,747.1769493420252
40,3,0.9108896422213775,reset_net_win,True,748.0878389842466
41,3,-2.3582120557365442,reset_net_win,False,745.72962692851
42,2,1.1787873375441222,reset_net_win,True,746.9084142660541
43,1,0.9232122679579788,reset_net_win,True,747.8316265340121
44,1,1.4112693935120433,reset_net_win,True,749.2428959275242
45,1,0.787609329446127,reset_net_win,True,750.0305052569703
46,2,-0.5559506747451906,reset_net_win,False,749.4745545822251
47,3,-3.1958443079686276,reset_net_win,False,746.2787102742565
48,1,1.5372547452546996,reset_net_win,True,747.8159650195112
49,2,-0.6162584142638252,reset_net_win,False,747.1997066052473
50,1,0.17964354958985496,reset_net_win,True,747.3793501548372
51,3,-0.9227006214325684,reset_net_win,False,746.4566495334046
52,1,0.04779978925182604,reset_net_win,True,746.5044493226565
53,2,-1.2732838577406937,reset_net_win,False,745.2311654649158
54,1,0.1633312597200529,reset_net_win,True,745.3944967246358
55,1,1.4280952380952385,reset_net_win,True,746.822591962731
56,5,-52.4181533467048,capacity,False,694.4044386160263
57,1,1.060542452830191,reset_net_win,True,695.4649810688564
58,4,10.446117918736718,reset_net_win,True,705.9110989875932
59,2,-0.9192670050426841,reset_net_win,False,704.9918319825505
60,4,-13.815276285880714,capacity,False,691.1765556966698
61,3,-1.5785676544505804,reset_net_win,False,689.5979880422192
62,1,0.8283145336225743,reset_net_win,True,690.4263025758418
63,3,-1.342952785534976,reset_net_win,False,689.0833497903068
64,3,-3.9820698152835803,reset_net_win,False,685.1012799750232
65,2,-0.0975878791790592,reset_net_win,False,685.0036920958441
66,3,0.3762213413892823,reset_net_win,True,685.3799134372334
67,1,0.04215202369198323,reset_net_win,True,685.4220654609254
68,5,-48.84016343900953,capacity,False,636.5819020219159
69,3,-3.552960007069487,reset_net_win,False,633.0289420148464
70,1,0.15885501858736006,reset_net_win,True,633.1877970334338
71,1,1.530863821138155,reset_net_win,True,634.7186608545719
72,1,0.10265809768645795,reset_net_win,True,634.8213189522584
73,1,0.0218445595854746,reset_net_win,True,634.8431635118438
74,5,-45.87413340615683,capacity,False,588.969030105687
75,4,-32.019255217106206,capacity,False,556.9497748885808
76,3,2.6508169828623522,reset_net_win,True,559.6005918714432
77,2,0.8938686695630622,reset_net_win,True,560.4944605410062
78,1,1.306142208774645,reset_net_win,True,561.8006027497809
79,3,-13.142239635922238,unfinished,False,548.6583631138586
