period,name,cash,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf,n_partial,n_full_initial_stop,max_full_initial_stop,max_price_loss,mean_net_r,mean_gross_r
development,whole_3r,fixed,923,751,751,172,0,0,191,560,17,13,1.0,2.7725627582683625,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173,0,443,12,17,-0.6926484590752033,0.026357365247481244
development,whole_3r,x1.5_net_win,923,582,582,130,211,0,140,442,17,11,7.59375,9.77646180240376,0.9889833904804904,110,123,75,18,-421.43542136982575,536.7652430912561,-1520.9269039320536,0,0.0,1000.0,15.838339159201238,-984.1616608407987,15.838339159201238,0.24054982817869416,17,False,0.35291981600401473,0,342,11,17,-0.7241158442780512,-0.02576386067614203
development,whole_3r,x1.5_recovery,923,546,546,128,249,0,133,413,17,11,7.59375,9.727956917952076,0.9890103016202259,104,101,80,21,-393.48649488913895,512.0131227678875,-1496.2016947484212,0,0.0,1000.0,15.81142801946587,-984.1885719805341,15.81142801946587,0.24358974358974358,17,False,0.3422086237203333,0,319,11,17,-0.7206712360606936,-0.023851509832503292
development,whole_3r,x2.0_net_win,923,419,419,101,403,0,95,324,24,12,32.0,9.775464673718986,0.9920144236716433,86,123,113,1,-327.48592128006726,381.0278148433016,-1371.372865617582,0,0.0,1000.0,9.654949225720138,-990.3450507742799,9.654949225720138,0.22673031026252982,17,False,0.2778440673548766,0,240,9,13,-0.7815893109309481,-0.047101665709497045
development,whole_3r,x2.0_recovery,923,448,448,102,373,0,109,339,24,12,32.0,9.79726898637986,0.9899284287563132,101,139,138,1,-313.8594257535708,382.8993914798273,-1369.9060669635269,0,0.0,1000.0,12.993324516300422,-987.0066754836996,12.993324516300422,0.24330357142857142,17,False,0.27950777116313175,0,255,9,13,-0.7005790753427916,-0.004685406761776241
development,whole_3r_be1,fixed,923,775,775,148,0,0,150,625,30,17,1.0,2.8272849679317673,0.5337812190174944,85,88,0,88,-533.7812190174933,298.62173921475267,-832.4029582322473,0,0.0,1000.0,466.2187809825055,-533.7812190174945,466.2187809825055,0.1935483870967742,17,False,0.35874660975367983,0,348,10,10,-0.6887499600225722,0.0305772786824787
development,whole_3r_be1,x1.5_net_win,923,574,574,109,240,0,106,468,29,18,7.59375,9.745767365194924,0.9895736601827015,88,123,81,24,-410.92183242774485,465.67390322848473,-1449.420419278952,0,0.0,1000.0,16.253483949531656,-983.7465160504684,16.253483949531656,0.18466898954703834,17,False,0.3212828362526761,0,259,10,10,-0.7158916941249911,-0.012071370481083872
development,whole_3r_be1,x1.5_recovery,923,533,533,107,283,0,99,434,29,17,7.59375,9.779871170700485,0.9898839076224728,83,113,88,25,-377.0532386819782,387.93320375842546,-1371.989967248664,0,0.0,1000.0,15.943236509760398,-984.0567634902396,15.943236509760398,0.18574108818011256,17,False,0.28275221613782775,0,233,10,10,-0.7074169581275386,-0.005932692475757134
development,whole_3r_be1,x2.0_net_win,923,528,528,105,290,0,96,432,24,14,16.0,9.80369238142339,0.9882320586527648,88,159,151,0,-352.8772548053405,462.11070328467565,-1440.6752799519713,0,0.0,1000.0,21.435423332704342,-978.5645766672957,21.435423332704342,0.18181818181818182,17,False,0.32075979210254885,0,232,8,9,-0.6683281341010239,-0.00198807135437704
development,whole_3r_be1,x2.0_recovery,923,524,524,100,299,0,97,427,24,14,16.0,9.77168795396492,0.9880412966812953,89,163,163,0,-352.64101413003283,426.115812599566,-1412.5604214503835,0,0.0,1000.0,13.555391149182931,-986.4446088508171,13.555391149182931,0.1851145038167939,17,False,0.3016620076060466,0,228,8,8,-0.6729790345992992,-0.0014840503026473607
development,p50_1_keep,fixed,923,751,751,172,0,0,217,534,17,12,1.0,2.7636287532369503,0.5213598033828648,68,81,0,81,-521.3598033828654,226.60150379475232,-747.9613071776173,0,0.0,1000.0,478.64019661713513,-521.3598033828648,478.64019661713513,0.28894806924101196,17,False,0.3029588584599625,378,337,10,10,-0.6942207768080757,0.024785047514607837
development,p50_1_be,fixed,923,775,775,148,0,0,244,531,30,17,1.0,2.799794016805213,0.5359062771258407,84,82,0,82,-535.9062771258409,194.29878220180353,-730.2050593276442,0,0.0,1000.0,464.0937228741593,-535.9062771258407,464.0937228741593,0.31483870967741934,17,False,0.2660879703856192,391,348,10,10,-0.6914919704849557,0.02783526822009462
development,p50_1_be,x1.5_net_win,923,641,641,122,160,0,203,438,29,17,7.59375,9.797061268743988,0.984263240770604,137,147,62,19,-426.7360373394057,302.41489969583773,-1281.256915660392,0,0.0,1000.0,21.15798403544588,-978.8420159645541,21.15798403544588,0.3166926677067083,17,False,0.23602986723389938,323,284,10,10,-0.6657348476433781,0.021576354098235908
development,p50_1_be,x1.5_recovery,923,600,600,121,202,0,186,414,30,17,7.59375,9.802173366924091,0.9854952580033555,114,106,82,24,-401.3887525889129,336.715232374439,-1316.665902302434,0,0.0,1000.0,20.049330072005034,-979.950669927995,20.049330072005034,0.31,17,False,0.2557332363400845,304,262,10,10,-0.6689812543148543,0.024564856919828355
development,p50_1_be,x2.0_net_win,923,615,615,124,184,0,205,410,24,13,32.0,9.802467275758085,0.9793371355333119,160,170,124,1,-366.06835498480825,371.23634653246665,-1346.1542045456636,0,0.0,1000.0,25.082141986803144,-974.9178580131969,25.082141986803144,0.3333333333333333,17,False,0.27577549828904,321,262,9,9,-0.5952330975362728,0.05839441580358311
development,p50_1_be,x2.0_recovery,923,541,541,111,271,0,173,368,24,13,16.0,9.785063995665864,0.985767891226225,133,136,136,0,-339.8704077077567,287.003714572583,-1266.121091582284,0,0.0,1000.0,20.882622990299016,-979.1173770097009,20.882622990299016,0.3197781885397412,17,False,0.22667951468521202,278,231,8,8,-0.6282262619367035,0.03254464074824612
development,p70_1_be,fixed,923,775,775,148,0,0,299,476,28,17,1.0,2.7889467481897476,0.5367608959418577,64,73,0,73,-536.760895941858,170.85288640949938,-707.6137823513573,0,0.0,1000.0,463.2391040581423,-536.7608959418577,463.2391040581423,0.3858064516129032,17,False,0.24144934803525972,391,348,10,10,-0.692594704441106,0.026732534263944178
development,p70_1_be,x1.5_net_win,923,706,706,137,80,0,282,424,27,16,7.59375,9.722659349258091,0.9796779359450623,172,175,52,13,-452.01723993698124,260.4070520034071,-1236.1045871191584,0,0.0,1000.0,24.30246488424902,-975.697535115751,24.30246488424902,0.39943342776203966,17,False,0.21066749101733112,364,307,10,10,-0.6402510480693773,0.049656525678519685
development,p70_1_be,x1.5_recovery,923,601,601,120,202,0,231,370,27,17,7.59375,9.770546501323354,0.9860438510375776,110,100,77,23,-400.4015629455339,327.7587602371954,-1309.067475194362,0,0.0,1000.0,18.691285042833165,-981.3087149571668,18.691285042833165,0.3843594009983361,17,False,0.2503757571308781,303,265,10,10,-0.6662255623053798,0.023199556529770217
development,p70_1_be,x2.0_net_win,923,633,633,127,163,0,259,374,25,15,32.0,9.669622751072039,0.9788740008849091,188,177,104,2,-381.68356322772985,275.1523849740815,-1250.8063502401226,0,0.0,1000.0,24.34603473395873,-975.6539652660413,24.34603473395873,0.40916271721958924,17,False,0.21998000323651964,331,270,9,9,-0.602975613313948,0.05997785533645652
development,p70_1_be,x2.0_recovery,923,556,556,110,257,0,220,336,25,15,16.0,9.758538256771986,0.9860674037242967,148,126,126,0,-356.33990960001887,303.5059243908589,-1284.11060852724,0,0.0,1000.0,19.395315863619345,-980.6046841363807,19.395315863619345,0.39568345323741005,17,False,0.236354970027818,283,242,8,8,-0.6408991179856446,0.03292428680226858
development,p30_1_be,fixed,923,775,775,148,0,0,183,592,30,17,1.0,2.8107259931406694,0.5350516583098258,82,89,0,89,-535.0516583098245,228.77106395278253,-763.8227222626081,0,0.0,1000.0,464.9483416901742,-535.0516583098258,464.9483416901742,0.2361290322580645,17,False,0.29950806291165727,391,348,10,10,-0.6903892365288051,0.028938002176245016
development,p50_05_be,fixed,923,815,815,108,0,0,132,683,36,32,1.0,2.7917550286221844,0.5878538968847504,48,107,0,107,-587.8538968847532,106.97132027344617,-694.8252171581973,0,0.0,1000.0,412.1461031152495,-587.8538968847505,412.1461031152495,0.1619631901840491,17,False,0.1539542861022717,530,265,6,6,-0.7212931250119657,0.0004545213375606049
development,p50_15_be,fixed,923,764,764,159,0,0,252,512,17,14,1.0,2.8205384708605914,0.5491247527876986,79,77,0,77,-549.1247527876993,261.81483044422765,-810.9395832319267,0,0.0,1000.0,450.8752472123015,-549.1247527876985,450.8752472123015,0.3298429319371728,17,False,0.3228536821458243,296,407,11,14,-0.7187496764236891,0.001955054168316322
development,p50_1_lock05,fixed,923,794,794,129,0,0,297,497,28,17,1.0,2.7929785995220433,0.5546108091203927,75,79,0,79,-554.6108091203932,171.39826263245465,-726.0090717528476,0,0.0,1000.0,445.3891908796072,-554.6108091203928,445.3891908796072,0.37405541561712846,17,False,0.23608281122250643,399,359,10,10,-0.69850227848916,0.01903280322577167
development,p50_1_netbe,fixed,923,786,786,137,0,0,323,460,28,19,1.0,2.7864850744668974,0.5471904250559998,86,71,0,71,-547.1904250559986,156.2929608116557,-703.4833858676554,0,0.0,1000.0,452.80957494400025,-547.1904250559998,452.80957494400025,0.410941475826972,17,False,0.22217008098761082,399,351,10,10,-0.6961710242442724,0.025793216063471715
